,cl
E611,1
E612,1
E613,0
E614,1
E615,0
E616,2
E617,1
E618,1
E619,1
E620,2
E621,2
E622,2
E623,1
E624,0
E625,0
E626,1
E627,2
E628,1
E629,1
E630,1
E631,0
E632,2
E633,0
E634,1
E635,1
E636,1
E637,0
E638,1
E639,0
E640,1
E641,1
E642,0
E643,0
E644,0
E645,0
E646,1
E647,0
E648,1
E649,0
E650,2
E651,1
E652,1
E653,2
E654,0
E655,1
E656,1
E657,0
E658,1
E659,2
E660,0
E661,1
E662,1
E663,1
E664,1
E665,0
E666,0
E667,0
E668,0
E669,0
E670,0
E671,0
E672,1
E673,1
E674,0
E675,0
E676,0
E677,0
E678,2
E679,0
E680,0
E681,2
E682,2
E683,0
E684,0
E685,0
E686,1
E687,0
E688,1
E689,0
E690,0
E691,1
E692,1
E693,0
E694,0
E695,0
E696,1
E697,0
E698,2
E699,1
E700,2
E701,0
E702,1
E703,2
E704,1
E705,0
E706,1
E707,2
E708,0
E709,2
E710,0
E711,0
E712,1
E713,0
E714,1
E715,2
E716,0
E717,0
E718,1
E719,1
E720,2
E721,1
E722,2
E723,2
E724,1
E725,1
E726,2
E727,2
E728,0
E729,2
E730,0
E731,2
E732,0
E733,0
E734,2
E735,0
E736,0
E737,0
E738,1
E739,0
E740,1
E741,0
E742,1
E743,0
E744,0
E745,0
E746,0
E747,2
E748,0
E749,0
E750,0
E751,2
E752,0
E753,2
E754,1
E755,0
E756,0
E757,1
E758,1
E759,0
E760,1
E761,1
E762,1
E763,0
E764,0
E765,0
E766,2
E767,0
E768,0
E769,2
E770,0
E771,0
E772,0
E773,0
E774,0
E775,1
E776,0
E777,0
E778,1
E779,0
E780,0
E781,0
E782,1
E783,1
E784,2
E785,1
E786,0
E787,0
E788,0
E789,0
E790,0
E791,0
E792,0
E793,0
E794,1
E795,1
E796,0
E797,1
E798,0
E799,1
E800,2
E801,1
E802,0
E803,1
E804,1
E805,0
E806,1
E807,0
E808,1
E809,1
E810,0
E811,0
E812,1
E813,0
E814,2
E815,1
E816,0
E817,1
E818,0
E819,1
E820,1
E821,1
E822,0
E823,0
E824,0
E825,0
E826,0
E827,1
E828,1
E829,2
E830,1
E831,1
E832,0
E833,0
E834,0
E835,0
E836,2
E837,2
E838,0
E839,1
E840,0
E841,1
E842,1
E843,0
E844,0
E845,2
E846,1
E847,1
E848,0
E849,1
E850,1
E851,0
E852,1
E853,2
E854,1
E855,0
E856,0
E857,2
E858,0
E859,0
E860,2
E861,0
E862,0
E863,0
E864,1
E865,0
E866,1
E867,2
E868,1
E869,0
E870,2
E871,0
E872,0
E873,0
E874,1
E875,0
E876,0
E877,1
E878,0
E879,0
E880,0
E881,2
E882,0
E883,1
E884,1
E885,0
E886,0
E887,1
E888,0
E889,1
E890,1
E891,0
E892,1
E893,0
E894,2
E895,0
E896,0
E897,1
E898,0
E899,1
E900,1
E901,2
E902,0
E903,0
E904,1
E905,0
E906,0
E907,0
E908,0
E909,0
E910,2
E911,0
E912,0
E913,2
E914,2
E915,1
E916,0
E917,0
E918,0
E919,0
E920,0
E921,1
E922,0
E923,1
E924,0
E925,1
E926,1
E927,1
E928,0
E929,0
E930,0
E931,2
E932,2
E933,2
E934,0
E935,0
E936,0
E937,0
E938,2
E939,2
E940,2
E941,1
E942,0
E943,2
E944,1
E945,1
E946,1
E947,0
E948,0
E949,0
E950,0
E951,2
E952,2
E953,2
E954,1
E955,0
E956,0
E957,0
E958,0
E959,2
E960,0
E961,0
E962,1
E963,0
E964,2
E965,1
E966,1
E967,2
E968,0
E969,1
E970,1
E971,0
E972,1
E973,0
E974,0
E975,0
E976,0
E977,0
E978,0
E979,2
E980,1
E981,0
E982,1
E983,0
E984,0
E985,0
E986,1
E987,0
E988,1
E989,0
E990,1
E991,2
E992,0
E993,1
E994,1
E995,2
E996,0
E997,1
E998,0
E999,1
