,cl
E298,1
E299,1
E300,3
E301,0
E302,3
E303,0
E304,3
E305,1
E306,0
E307,2
E308,1
E309,0
E310,1
E311,2
E312,1
E313,3
E314,1
E315,0
E316,1
E317,0
E318,0
E319,1
E320,2
E321,3
E322,3
E323,0
E324,0
E325,1
E326,1
E327,1
E328,1
E329,2
E330,0
E331,1
E332,1
E333,0
E334,1
E335,3
E336,2
E337,1
E338,3
E339,1
E340,0
E341,0
E342,1
E343,3
E344,1
E345,0
E346,1
E347,1
E348,3
E349,1
E350,0
E351,1
E352,1
E353,1
E354,0
E355,1
E356,3
E357,2
E358,0
E359,3
E360,1
E361,2
E362,3
E363,1
E364,0
E365,1
E366,0
E367,1
E368,1
E369,0
E370,1
E371,3
E372,0
E373,1
E374,1
E375,1
E376,1
E377,3
E378,1
E379,1
E380,1
E381,1
E382,0
E383,1
E384,0
E385,0
E386,1
E387,3
E388,0
E389,1
E390,1
E391,0
E392,0
E393,2
E394,0
E395,2
E396,1
E397,3
E398,2
E399,1
E400,1
E401,2
E402,1
E403,1
E404,2
E405,1
E406,0
E407,1
E408,0
E409,3
E410,3
E411,1
E412,1
E413,0
E414,1
E415,3
E416,1
E417,3
E418,2
E419,1
E420,1
E421,1
E422,2
E423,0
E424,1
E425,0
E426,0
E427,3
E428,1
E429,0
E430,1
E431,3
E432,1
E433,0
E434,1
E435,0
E436,1
E437,1
E438,0
E439,1
E440,1
E441,1
E442,1
E443,0
E444,0
E445,2
E446,1
E447,1
E448,3
E449,1
E450,0
E451,3
E452,2
E453,2
E454,1
E455,3
E456,0
E457,3
E458,1
E459,2
E460,0
E461,3
E462,1
E463,1
E464,3
E465,3
E466,1
E467,0
E468,0
E469,1
E470,2
E471,2
E472,0
E473,1
E474,3
E475,0
E476,0
E477,1
E478,1
E479,3
E480,1
E481,1
E482,0
E483,0
E484,3
E485,1
E486,1
E487,1
E488,1
E489,1
E490,1
E491,1
E492,0
E493,1
E494,1
E495,1
E496,0
E497,3
E498,1
E499,3
E500,0
E501,1
E502,0
E503,1
E504,3
E505,2
E506,3
E507,1
E508,1
E509,1
E510,0
E511,1
E512,1
E513,1
E514,2
E515,1
E516,1
E517,1
E518,1
E519,2
E520,1
E521,1
E522,1
E523,1
E524,1
E525,0
E526,1
E527,0
E528,1
E529,0
E530,1
E531,1
E532,1
E533,0
E534,1
E535,0
E536,1
E537,2
E538,0
E539,1
E540,0
E541,1
E542,1
E543,1
E544,1
E545,1
E546,2
E547,1
E548,1
E549,0
E550,1
E551,1
E552,2
E553,0
E554,3
E555,1
E556,0
E557,0
E558,1
E559,2
E560,1
E561,3
E562,0
E563,1
E564,2
E565,1
E566,1
E567,1
E568,1
E569,0
E570,3
E571,0
E572,1
E573,1
E574,0
E575,1
E576,0
E577,0
E578,1
E579,1
E580,1
E581,1
E582,0
E583,1
E584,2
E585,1
E586,2
E587,2
E588,1
E589,0
E590,2
E591,0
E592,3
E593,1
E594,0
E595,0
E596,1
E597,3
E598,2
E599,2
E600,1
E601,3
E602,2
E603,1
E604,0
E605,0
E606,2
E607,1
E608,1
E609,1
E610,1
E611,3
E612,0
E613,1
E614,2
E615,1
E616,0
E617,1
E618,0
E619,1
E620,3
E621,1
E622,0
E623,1
E624,0
E625,2
E626,1
E627,1
E628,3
E629,1
E630,0
E631,1
E632,2
E633,1
E634,0
E635,0
E636,1
E637,1
E638,1
E639,0
E640,2
E641,0
E642,3
E643,1
E644,1
E645,0
E646,1
E647,0
E648,0
E649,1
E650,0
E651,1
E652,1
E653,1
E654,1
E655,3
E656,2
E657,1
E658,2
E659,2
E660,0
E661,1
E662,2
E663,1
E664,2
E665,0
E666,0
E667,0
E668,2
E669,1
E670,1
E671,1
E672,0
E673,1
E674,1
E675,3
E676,1
E677,3
E678,1
E679,0
E680,3
E681,3
E682,3
E683,0
E684,1
E685,0
E686,0
E687,0
E688,0
E689,3
E690,2
E691,1
E692,0
E693,0
E694,1
E695,1
E696,1
E697,1
E698,1
E699,3
E700,2
E701,3
E702,1
E703,1
E704,3
E705,3
E706,3
E707,1
E708,2
E709,1
E710,1
E711,1
E712,1
E713,0
E714,1
E715,1
E716,2
E717,1
E718,1
E719,0
E720,3
E721,2
E722,2
E723,1
E724,2
E725,0
E726,1
E727,1
E728,1
E729,0
E730,3
E731,1
E732,3
E733,1
E734,1
E735,1
E736,2
E737,1
E738,2
E739,1
E740,3
E741,1
E742,2
E743,0
E744,0
E745,2
E746,1
E747,0
E748,1
E749,1
E750,0
E751,1
E752,1
E753,1
E754,1
E755,0
E756,1
E757,1
E758,1
E759,1
E760,2
E761,1
E762,3
E763,2
E764,1
E765,1
E766,1
E767,2
E768,0
E769,1
E770,0
E771,1
E772,0
E773,0
E774,1
E775,1
E776,0
E777,0
E778,1
E779,1
E780,1
E781,1
E782,2
E783,0
E784,0
E785,1
E786,0
E787,1
E788,1
E789,0
E790,1
E791,0
E792,3
E793,2
E794,0
E795,0
E796,0
E797,0
E798,1
E799,1
E800,1
E801,0
E802,1
E803,1
E804,1
E805,1
E806,0
E807,0
E808,1
E809,2
E810,1
E811,0
E812,0
E813,1
E814,1
E815,1
E816,1
E817,1
E818,1
E819,0
E820,0
E821,3
E822,0
E823,0
E824,1
E825,3
E826,0
E827,1
E828,2
E829,0
E830,2
E831,2
E832,2
E833,1
E834,0
E835,1
E836,0
E837,2
E838,2
E839,1
E840,0
E841,0
E842,1
E843,1
E844,0
E845,0
E846,0
E847,1
E848,2
E849,1
E850,1
E851,2
E852,0
E853,1
E854,0
E855,3
E856,0
E857,2
E858,1
E859,1
E860,1
E861,2
E862,1
E863,0
E864,3
E865,1
E866,2
E867,0
E868,1
E869,2
E870,2
E871,2
E872,3
E873,2
E874,1
E875,0
E876,1
E877,2
E878,1
E879,0
E880,0
E881,2
E882,1
E883,1
E884,1
E885,0
E886,0
E887,2
E888,0
E889,1
E890,1
E891,0
E892,3
E893,2
E894,1
E895,0
E896,1
E897,3
E898,3
E899,1
E900,1
E901,0
E902,1
E903,2
E904,0
E905,0
E906,1
E907,0
E908,3
E909,1
E910,0
E911,1
E912,1
E913,0
E914,2
E915,2
E916,0
E917,1
E918,1
E919,1
E920,1
E921,1
E922,1
E923,1
E924,1
E925,1
E926,3
E927,0
E928,2
E929,0
E930,0
E931,1
E932,1
E933,1
E934,1
E935,0
E936,0
E937,1
E938,1
E939,1
E940,1
E941,3
E942,2
E943,1
E944,1
E945,0
E946,1
E947,1
E948,1
E949,1
E950,1
E951,0
E952,0
E953,1
E954,1
E955,1
E956,0
E957,1
E958,0
E959,1
E960,1
E961,3
E962,1
E963,1
E964,1
E965,0
E966,0
E967,0
E968,1
E969,0
E970,2
E971,2
E972,1
E973,1
E974,3
E975,0
E976,1
E977,0
E978,0
E979,1
E980,1
E981,1
E982,0
E983,3
E984,1
E985,0
E986,3
E987,3
E988,0
E989,2
E990,1
E991,0
E992,0
E993,0
E994,1
E995,1
E996,2
E997,1
E998,1
E999,1
