Target_genes	CTNNB1|Average	SRX15288290|293	SRX15288296|293	SRX15288297|293	SRX15288298|293	SRX15288299|293	SRX15288300|293	DRX051430|DLD-1	SRX8929135|DLD-1	SRX8929136|DLD-1	SRX596338|ES_cells	SRX596340|ES_cells	SRX596342|ES_cells	SRX10437637|Hep_G2	SRX6699759|Hep_G2	SRX6699760|Hep_G2	SRX11919243|hESC_derived_endodermal_cells	SRX11919244|hESC_derived_endodermal_cells	SRX11919255|hESC_derived_endodermal_cells	SRX11919256|hESC_derived_endodermal_cells	SRX11919257|hESC_derived_endodermal_cells	SRX11919258|hESC_derived_endodermal_cells	SRX15288277|hESC_derived_endodermal_cells	SRX15288278|hESC_derived_endodermal_cells	SRX15288292|hESC_derived_endodermal_cells	SRX15288294|hESC_derived_endodermal_cells	SRX11919231|hESC_derived_mesendodermal_cells	SRX11919232|hESC_derived_mesendodermal_cells	SRX3686691|hESC_derived_neural_cells	SRX3686693|hESC_derived_neural_cells	SRX11919282|hESC_derived_neuromesodermal_cells	SRX11919283|hESC_derived_neuromesodermal_cells	SRX11919284|hESC_derived_neuromesodermal_cells	SRX11919285|hESC_derived_neuromesodermal_cells	SRX11919286|hESC_derived_neuromesodermal_cells	SRX11919287|hESC_derived_neuromesodermal_cells	SRX2844298|hESC_H1	SRX2844299|hESC_H1	SRX833402|hESC_H1	SRX833403|hESC_H1	SRX6039031|iPSC_derived_chondrocytes	SRX6039032|iPSC_derived_chondrocytes	SRX6039033|iPSC_derived_chondrocytes	SRX6039034|iPSC_derived_chondrocytes	SRX6039035|iPSC_derived_chondrocytes	SRX6039036|iPSC_derived_chondrocytes	SRX11919219|iPS_cells	SRX11919220|iPS_cells	DRX431467|JHH-7	SRX1036603|Jurkat	SRX14222008|Jurkat	SRX14222009|Jurkat	SRX14222010|Jurkat	SRX4493018|K-562	SRX4493019|K-562	SRX096347|LS-180	SRX096348|LS-180	SRX13991431|MCF_10A	SRX13991432|MCF_10A	SRX4815187|MCF-7	SRX4815188|MCF-7	SRX11522904|RPMI_8402	SRX11522905|RPMI_8402	SRX11522906|RPMI_8402	SRX11522907|RPMI_8402	SRX11522908|RPMI_8402	SRX11522909|RPMI_8402	SRX11522910|RPMI_8402	SRX11522911|RPMI_8402	SRX11522912|RPMI_8402	SRX11522913|RPMI_8402	SRX11522914|RPMI_8402	SRX12970355|SNU-387	SRX12970356|SNU-387	SRX4815189|SUM_149PT	SRX4815190|SUM_149PT	SRX423971|SW_480	SRX8929141|SW_480	SRX8929142|SW_480	STRING
SLC38A8	140.551282	0	0	0	0	0	0	0	157	223	0	0	0	0	0	0	644	1044	808	700	1095	1317	808	824	572	1692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0
SOX17	135.987179	1608	1418	1650	1113	1704	1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2A	125.166667	0	0	0	0	0	0	0	158	0	0	172	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	157	158	0	0	0	745	84	233	152	0	0	0	0	0	0	1693	1955	144	185	0	0	111	0	0	0	0	0	0	0	0	1372	1376	0	481	247	0
ERCC6L2	123.243590	0	0	0	0	0	0	0	0	0	116	299	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	688	115	125	178	0	0	0	0	0	0	1713	1790	205	261	342	331	245	298	335	0	0	0	0	0	0	909	882	0	314	124	0
DENR	122.589744	0	0	0	0	0	0	0	0	0	74	159	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	102	88	143	0	0	0	0	0	0	1987	2232	176	231	268	260	235	268	199	0	0	0	0	0	0	1035	1333	0	0	0	0
CDK12	108.576923	0	0	0	0	0	0	0	0	0	134	283	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	240	242	232	0	0	0	0	0	0	1402	1454	302	364	263	333	258	318	391	0	0	0	0	0	0	690	733	0	89	0	0
WBP1L	108.551282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	327	0	186	0	383	0	0	0	0	872	999	1153	590	1016	680	0	0	0	788	140	142	0	0	329	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	162	0
CDX1	108.205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	1003	1022	925	963	1422	806	0	249	0	1354	230	0	0	0	172	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR2	104.679487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	1030	539	760	1000	1257	1136	259	213	1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX12	103.820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	2113	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	1666	1624	0	219	0	0
AXIN2	102.384615	0	488	0	0	362	400	104	763	111	0	0	0	93	0	0	170	193	0	0	128	0	0	262	0	198	0	66	0	0	196	144	264	200	315	342	0	0	0	414	457	468	0	0	351	585	0	0	0	0	0	0	0	0	452	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	208	0	0
METTL11B	100.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	576	519	523	148	171	0	226	186	106	0	128	0	0	622	681	1274	164	380	304	131	91	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF76	98.217949	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	280	0	0	0	0	0	0	0	0	0	1877	1947	0	0	0	0	0	0	0	0	0	0	0	0	0	1410	1385	0	331	132	0
TMEM177	95.858974	0	495	0	0	185	146	124	240	960	0	0	0	99	0	0	0	0	0	0	0	140	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	245	0	0	643	1265	0	0	0	0	0	0	0	0	0	97	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	753	1008	0
LHX8	93.525641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	180	425	958	1759	919	0	429	1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTBD10	93.512821	0	0	0	0	0	0	0	0	0	0	162	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	198	91	0	0	0	0	0	0	1435	1541	287	160	170	319	164	334	183	0	0	0	0	0	0	772	680	0	130	107	0
SKA3	93.294872	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	110	112	87	0	0	0	0	0	0	1760	2040	70	78	157	150	141	178	62	0	0	0	0	0	0	649	677	0	213	250	0
MRPL57	93.294872	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	110	112	87	0	0	0	0	0	0	1760	2040	70	78	157	150	141	178	62	0	0	0	0	0	0	649	677	0	213	250	0
PSMD5	91.307692	0	0	0	0	0	0	0	0	0	0	101	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	94	91	154	0	0	0	0	0	0	1577	1856	99	150	173	174	113	171	244	0	0	0	0	0	0	719	791	0	100	71	0
ZFP64	90.230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	1681	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	1260	0	302	96	0
NPAS4	88.730769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	0	0	1666	1864	0	103	0	0	0	0	0	0	0	0	0	0	0	1419	1426	0	0	0	0
PAXBP1	88.282051	0	0	0	0	0	0	0	149	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	130	0	0	0	0	0	264	305	0	98	239	118	231	517	483	1005	930	996	637	0	0	0	0	0	0	0	0	0	200	247	0
TNFRSF19	87.769231	0	877	0	172	346	739	0	265	452	0	0	0	0	0	0	0	205	0	0	355	510	267	0	0	393	0	0	0	0	147	0	413	0	169	122	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	352	430	0
HSPE1-MOB4	87.551282	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	1649	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	1221	1106	0	274	147	0
HSPE1	87.551282	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	1649	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	1221	1106	0	274	147	0
HSPD1	87.551282	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	1649	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	1221	1106	0	274	147	0
TTLL4	87.115385	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	353	0	403	996	1870	937	0	538	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	129	0
ZZZ3	86.500000	0	0	0	0	0	0	0	131	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	97	0	166	0	0	0	0	0	0	1320	1678	0	117	121	156	136	131	203	0	0	0	0	0	0	892	770	0	316	0	0
CPLX2	86.192308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	152	162	0	0	1096	1548	0	159	243	488	593	308	316	0	0	0	0	0	0	733	612	0	188	0	0
H4C8	85.820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	383	135	109	0	0	715	933	587	765	889	805	755	0	0	0	0	0	0	0	0	0	167	0	0
ILF2	85.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	362	0	0	0	0	613	758	585	748	781	875	861	171	0	243	194	0	0	0	0	0	0	0	0
STXBP4	84.371795	0	0	0	0	0	0	0	72	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	63	0	84	0	0	0	0	0	0	1470	1784	118	150	237	169	118	209	221	0	0	0	0	0	0	514	764	0	122	0	0
COX11	84.371795	0	0	0	0	0	0	0	72	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	63	0	84	0	0	0	0	0	0	1470	1784	118	150	237	169	118	209	221	0	0	0	0	0	0	514	764	0	122	0	0
DKK1	84.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	204	247	260	0	239	233	659	0	0	310	375	456	299	661	429	0	113	0	796	253	0	0	0	151	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	106	436
MTRNR2L9	84.282051	0	0	0	0	0	0	0	0	0	0	0	248	167	463	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	173	367	361	428	0	0	391	274	0	0	0	0	0	0	0	0	0	0	0	680	720	671	695	0	0	0	0	254	0	0	0
QRICH1	83.000000	0	0	0	0	0	0	0	0	0	82	199	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	1328	1153	261	170	270	157	175	268	267	0	0	0	0	0	0	719	592	0	124	0	0
DKK4	82.589744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	166	165	467	1326	719	0	212	1242	119	258	0	0	0	0	317	120	139	0	0	0	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANP	82.243590	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	172	130	185	0	0	0	0	0	0	1657	1581	0	0	0	150	139	177	177	0	0	0	0	0	0	758	887	0	0	0	0
SLC25A11	81.512821	0	0	0	0	0	0	0	0	0	148	112	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	104	146	114	0	0	0	0	0	0	1295	1460	134	215	104	150	166	167	189	0	0	0	0	0	0	659	622	0	112	0	0
RNF167	81.512821	0	0	0	0	0	0	0	0	0	148	112	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	104	146	114	0	0	0	0	0	0	1295	1460	134	215	104	150	166	167	189	0	0	0	0	0	0	659	622	0	112	0	0
SH3D19	80.217949	0	0	0	0	0	0	0	142	329	0	0	0	0	0	0	706	769	620	500	204	338	0	0	184	675	0	0	0	0	0	0	0	0	0	0	0	0	0	1173	226	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	140	0
NOP14	79.948718	0	0	0	0	0	0	0	108	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	160	0	132	0	0	0	0	0	0	1257	1383	118	115	126	189	0	104	144	0	0	0	0	0	0	742	955	0	131	133	0
GRK4	79.948718	0	0	0	0	0	0	0	108	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	160	0	132	0	0	0	0	0	0	1257	1383	118	115	126	189	0	104	144	0	0	0	0	0	0	742	955	0	131	133	0
PPP4R3B	79.589744	0	0	0	0	0	0	0	97	122	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	103	96	93	0	0	0	0	0	0	1110	1363	0	107	128	72	174	194	253	0	0	0	0	0	0	599	659	0	229	132	0
SLC7A5	78.282051	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	1424	1469	896	980	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
TMEM18	77.641026	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	143	182	166	0	0	0	0	0	0	1325	1450	73	121	74	96	103	144	137	0	0	0	0	0	0	809	754	0	126	0	0
IREB2	76.897436	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	153	150	168	0	0	0	0	0	0	1303	1643	75	130	118	113	113	138	114	0	0	0	0	0	0	664	681	0	77	0	0
MAPK14	76.269231	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	156	68	133	0	0	0	0	0	90	1192	1399	142	153	149	181	159	205	225	0	0	0	0	0	0	632	506	0	112	0	0
ARF3	76.051282	0	0	0	0	0	0	0	0	0	0	198	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	1407	1553	119	154	126	98	125	121	110	0	0	0	0	0	0	457	691	0	192	0	0
PRDX1	75.820513	0	0	0	0	0	0	0	97	0	124	166	182	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	134	0	0	0	0	0	0	0	250	1033	867	132	120	181	218	236	228	172	0	0	0	0	0	0	625	402	0	112	0	0
RPS11	75.487179	0	0	0	0	0	0	0	0	0	116	242	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	142	156	155	0	0	0	0	325	0	1013	1097	140	158	188	226	117	260	264	0	0	0	0	0	0	362	364	0	0	0	0
TUBGCP5	75.346154	0	0	0	0	0	0	0	0	0	0	106	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	172	177	96	0	0	0	0	0	0	1253	1294	94	109	77	84	124	169	145	0	0	0	0	0	0	702	784	0	148	0	0
IQSEC3	74.294872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	1463	1487	0	0	0	0	0	0	0	0	0	0	0	0	0	1402	1311	0	0	0	0
ZMYM3	73.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	254	209	0	0	624	432	0	467	332	707	883	866	552	0	0	0	0	0	0	149	104	0	110	0	0
MAP2K2	73.102564	0	0	0	0	0	0	0	0	0	82	192	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	1148	1128	132	198	121	202	140	238	225	0	0	0	0	0	0	582	648	0	0	0	0
HTR5A	71.525641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	1710	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	818	0	0	0	0
