Target_genes	ZNF398|Average	SRX3322508|293	SRX3322509|293	SRX6742746|hES_BG01V	SRX6742745|hESC_H9	SRX16497164|K-562	SRX16497166|K-562	STRING
LHX9	825.333333	2315	2637	0	0	0	0	0
FUNDC2	822.833333	2234	2523	101	79	0	0	0
NID1	821.000000	2323	2603	0	0	0	0	0
LMNA	818.833333	2235	2606	72	0	0	0	0
IRX5	812.333333	2378	2496	0	0	0	0	0
EMP3	810.000000	2386	2474	0	0	0	0	0
MKNK2	809.500000	2195	2662	0	0	0	0	0
LPCAT4	806.166667	2077	2550	0	210	0	0	0
TAOK1	803.000000	2217	2601	0	0	0	0	0
SLC16A2	800.333333	2181	2447	0	174	0	0	0
SAMD4A	798.000000	2223	2565	0	0	0	0	0
SALL2	795.666667	2088	2415	0	271	0	0	0
PNMA2	790.000000	2130	2610	0	0	0	0	0
DPYSL2	790.000000	2130	2610	0	0	0	0	0
PKN3	785.666667	2147	2360	0	207	0	0	0
CAMK4	785.166667	2087	2624	0	0	0	0	0
FBXO11	783.833333	1994	2302	131	276	0	0	0
R3HDM2	783.166667	2243	2456	0	0	0	0	0
USP14	782.333333	2186	2508	0	0	0	0	0
IFI27L2	777.833333	2240	2427	0	0	0	0	0
ATN1	777.500000	2247	2267	0	151	0	0	0
CAP2	777.166667	2010	2653	0	0	0	0	0
DOCK11	771.833333	2123	2430	0	78	0	0	0
ACTR3	765.833333	2066	2529	0	0	0	0	0
PDE1B	765.166667	2045	2546	0	0	0	0	0
TSHZ3	764.333333	2176	2410	0	0	0	0	0
NOL4L	761.833333	2210	2361	0	0	0	0	0
RCC2	760.000000	1787	2381	0	392	0	0	0
SOX8	757.500000	2122	2423	0	0	0	0	0
LMF1	757.500000	2122	2423	0	0	0	0	0
PTPN13	755.833333	1990	2545	0	0	0	0	0
CNTROB	752.500000	2042	2473	0	0	0	0	0
MDGA1	749.166667	2152	2343	0	0	0	0	0
S100A2	745.500000	1860	2329	107	177	0	0	0
GGPS1	744.000000	2107	2161	0	196	0	0	0
ARID4B	744.000000	2107	2161	0	196	0	0	0
RFX5	743.500000	2079	2254	0	128	0	0	0
SPAG9	743.333333	2166	2294	0	0	0	0	0
KIAA2026	740.500000	1844	2297	0	302	0	0	0
WASF2	739.166667	2229	2206	0	0	0	0	0
LARP1	738.333333	1912	2349	0	169	0	0	0
YY1	734.166667	1993	2412	0	0	0	0	0
USP22	734.000000	2146	2124	134	0	0	0	0
PRPS2	731.166667	1996	2391	0	0	0	0	0
FBXO46	731.000000	1963	2423	0	0	0	0	0
PTMS	729.166667	2055	2202	0	118	0	0	0
SPRY3	729.000000	1998	2376	0	0	0	0	0
USP32	726.000000	1964	2392	0	0	0	0	0
P3H3	724.000000	2075	2269	0	0	0	0	0
NUAK1	722.500000	1510	2614	125	86	0	0	0
TXLNB	718.333333	1955	2355	0	0	0	0	0
TC2N	715.500000	1848	2445	0	0	0	0	0
CDK18	713.166667	1879	2400	0	0	0	0	0
CA11	713.000000	2068	2210	0	0	0	0	0
DHPS	711.666667	1928	2342	0	0	0	0	0
RASSF2	711.500000	1985	2188	0	96	0	0	0
SFXN2	711.166667	1962	2305	0	0	0	0	0
ARL3	711.166667	1962	2305	0	0	0	0	0
ST3GAL2	710.666667	1896	2368	0	0	0	0	0
TMEM164	708.666667	1938	2314	0	0	0	0	0
GTF2IRD2B	708.000000	1824	2424	0	0	0	0	0
AJUBA	707.666667	1891	2202	0	153	0	0	0
HEXB	706.666667	1820	2420	0	0	0	0	0
PLXNB1	706.500000	2037	2202	0	0	0	0	0
POU3F2	706.000000	1883	2353	0	0	0	0	0
ZNF48	704.833333	2064	2165	0	0	0	0	0
SRCAP	704.500000	1828	2308	0	91	0	0	0
LOC730183	704.500000	1828	2308	0	91	0	0	0
PRMT8	703.166667	1956	2263	0	0	0	0	0
NONO	702.833333	2015	2202	0	0	0	0	0
CNPY1	702.500000	1749	2466	0	0	0	0	0
SCAF11	699.833333	1890	2309	0	0	0	0	0
PRSS35	698.666667	1755	2437	0	0	0	0	0
NAA80	696.333333	1840	2338	0	0	0	0	0
HYAL3	696.333333	1840	2338	0	0	0	0	0
TENM4	695.833333	1792	2383	0	0	0	0	0
NF1	695.000000	1658	2361	0	151	0	0	0
ZSWIM6	690.000000	1804	2221	115	0	0	0	0
CACNB3	687.833333	1915	2212	0	0	0	0	0
KRAS	687.666667	1738	2388	0	0	0	0	0
PAXBP1	684.500000	1588	1950	0	569	0	0	0
KIRREL1	684.166667	1852	2253	0	0	0	0	0
MEGF11	680.833333	1881	2204	0	0	0	0	0
RBFOX2	680.166667	2089	1992	0	0	0	0	0
SRSF10	679.000000	1889	2185	0	0	0	0	0
EFCAB2	676.500000	1761	1957	151	190	0	0	0
PLEKHO2	676.000000	1757	2155	0	144	0	0	0
PANK2	674.666667	1860	2188	0	0	0	0	0
CCDC38	674.166667	1830	2215	0	0	0	0	0
AMDHD1	674.166667	1830	2215	0	0	0	0	0
SEMA6D	670.666667	1935	2089	0	0	0	0	0
HCFC1	669.166667	1858	2157	0	0	0	0	0
PRKAR1A	666.166667	1852	2145	0	0	0	0	0
TUT4	665.833333	1770	2225	0	0	0	0	0
CCDC117	665.833333	1825	2170	0	0	0	0	0
SPACA6	663.500000	1999	1982	0	0	0	0	0
RBMS2	663.500000	1830	2151	0	0	0	0	0
PPP5C	663.333333	1915	2065	0	0	0	0	0
MANSC1	663.166667	1423	2409	0	147	0	0	0
CCDC33	662.000000	1793	2179	0	0	0	0	0
C1GALT1C1	661.666667	1663	2307	0	0	0	0	0
FIBP	660.666667	1837	2127	0	0	0	0	0
PKDCC	659.000000	1666	2288	0	0	0	0	0
GFRA2	656.833333	1718	2223	0	0	0	0	0
ZNF71	652.500000	1837	2078	0	0	0	0	0
NTNG2	650.500000	1845	2058	0	0	0	0	0
PRDM6	648.833333	1993	1900	0	0	0	0	0
TXNIP	646.333333	1666	2212	0	0	0	0	0
ZNF503	643.833333	1845	2018	0	0	0	0	0
ITGA5	640.500000	1662	2006	0	175	0	0	0
RNF43	638.666667	1807	2025	0	0	0	0	0
RABGAP1L	637.166667	1536	2287	0	0	0	0	0
FZD2	636.500000	1563	2165	0	91	0	0	0
ITPKC	636.333333	1927	1891	0	0	0	0	0
COQ8B	636.333333	1927	1891	0	0	0	0	0
PRCC	635.166667	1632	2023	0	156	0	0	0
FBXL19	633.500000	1896	1905	0	0	0	0	0
SLCO2A1	630.833333	1591	2092	0	102	0	0	0
USP9X	629.000000	1679	2095	0	0	0	0	0
PIK3AP1	627.333333	1469	2295	0	0	0	0	0
SLC16A6	626.000000	1591	2165	0	0	0	0	0
ARSG	626.000000	1591	2165	0	0	0	0	0
CBX8	625.500000	1832	1921	0	0	0	0	0
AHCYL2	625.500000	1626	2127	0	0	0	0	0
TSHZ2	625.333333	1786	1966	0	0	0	0	0
LBX1	625.333333	1677	2075	0	0	0	0	0
GRAMD1B	623.666667	1622	2120	0	0	0	0	0
ZNRF2	623.500000	1391	2161	0	189	0	0	0
PTPN9	623.500000	1418	2186	0	137	0	0	0
PBX2	622.833333	1731	2006	0	0	0	0	0
ZNF780A	621.666667	1614	2116	0	0	0	0	0
HDAC7	621.666667	1784	1946	0	0	0	0	0
EP300	621.500000	1685	2044	0	0	0	0	0
SMURF1	621.166667	1849	1878	0	0	0	0	0
SLC25A45	620.666667	1598	2126	0	0	0	0	0
NRL	618.000000	1639	2069	0	0	0	0	0
DCAF11	618.000000	1639	2069	0	0	0	0	0
CDC42EP4	614.500000	1862	1825	0	0	0	0	0
TRIM56	613.333333	1646	2034	0	0	0	0	0
GNAS	612.000000	1695	1977	0	0	0	0	0
SYNCRIP	611.833333	1811	1860	0	0	0	0	0
MARCHF6	609.333333	1720	1936	0	0	0	0	0
TBX3	608.500000	1668	1983	0	0	0	0	0
RNF19A	607.833333	1316	2331	0	0	0	0	0
SERTAD1	606.166667	1551	2086	0	0	0	0	0
USP38	606.000000	1655	1981	0	0	0	0	0
ARHGAP5	606.000000	1622	2014	0	0	0	0	0
TLNRD1	603.500000	1526	2095	0	0	0	0	0
PRRC2B	603.000000	1504	1968	0	146	0	0	0
TEN1	601.000000	1593	1869	0	144	0	0	0
ACOX1	601.000000	1593	1869	0	144	0	0	0
GBA	599.666667	1570	2028	0	0	0	0	0
FAM122C	596.833333	1688	1749	0	144	0	0	0
FAM122B	596.833333	1688	1749	0	144	0	0	0
RCAN3	596.166667	1574	2003	0	0	0	0	0
MICALL1	595.666667	1614	1960	0	0	0	0	0
ARHGEF10	595.166667	1516	1912	0	143	0	0	0
ERBIN	594.666667	1642	1926	0	0	0	0	0
TRDMT1	594.166667	1497	2068	0	0	0	0	0
KHDRBS1	591.833333	1506	2045	0	0	0	0	0
XIAP	591.166667	1445	1974	0	128	0	0	0
VWA7	590.833333	1581	1964	0	0	0	0	0
GPR137	590.833333	1871	1674	0	0	0	0	0
IRF2	589.500000	1445	2092	0	0	0	0	0
HES1	589.333333	1532	2004	0	0	0	0	0
NFIA	589.166667	1607	1928	0	0	0	0	0
DPY19L2	588.500000	1620	1911	0	0	0	0	0
SCNM1	586.833333	1414	2107	0	0	0	0	0
LYSMD1	586.833333	1414	2107	0	0	0	0	0
GRK3	586.500000	1488	2031	0	0	0	0	0
HIVEP2	585.833333	1432	2083	0	0	0	0	0
USP34	585.666667	1592	1922	0	0	0	0	0
C1orf21	585.166667	1345	2166	0	0	0	0	0
RAB6B	584.333333	1448	2058	0	0	0	0	0
CCN3	584.333333	1638	1868	0	0	0	0	0
RAB34	582.833333	1519	1811	0	167	0	0	0
IGF2BP3	582.666667	1617	1879	0	0	0	0	0
MAP7D1	581.666667	1485	1864	0	141	0	0	0
SELENOF	581.333333	1441	1885	0	162	0	0	0
HS2ST1	581.333333	1441	1885	0	162	0	0	0
ZNF862	581.000000	1563	1923	0	0	0	0	0
APPBP2	581.000000	1550	1936	0	0	0	0	0
RARA	580.500000	1533	1950	0	0	0	0	0
PPP1R12A	579.833333	1417	1913	0	149	0	0	0
AHNAK	579.666667	1599	1879	0	0	0	0	0
IGF2BP1	579.333333	1514	1785	0	177	0	0	0
GPR85	579.333333	1592	1884	0	0	0	0	0
PTMA	578.666667	1561	1911	0	0	0	0	0
PTEN	577.666667	1260	2206	0	0	0	0	0
KLLN	577.666667	1260	2206	0	0	0	0	0
STX10	576.333333	1550	1669	0	239	0	0	0
IER2	576.333333	1550	1669	0	239	0	0	0
SLC43A1	575.666667	1443	1913	0	98	0	0	0
OSMR	572.833333	1365	2072	0	0	0	0	0
SCARA3	571.166667	1214	2213	0	0	0	0	0
SIX2	569.666667	1564	1854	0	0	0	0	0
ISYNA1	569.666667	1490	1928	0	0	0	0	0
RAB11FIP2	567.500000	1439	1966	0	0	0	0	0
ARF3	567.333333	1547	1857	0	0	0	0	0
SLC3A2	567.166667	1620	1686	0	97	0	0	0
IKZF4	566.333333	1333	1954	0	111	0	0	0
AMOTL1	566.333333	1239	2159	0	0	0	0	0
IGDCC4	565.500000	1593	1800	0	0	0	0	0
SLC39A11	563.666667	1517	1865	0	0	0	0	0
ITPR1	563.333333	1531	1849	0	0	0	0	0
NUP133	561.000000	1529	1837	0	0	0	0	0
TRAPPC3	558.166667	1485	1864	0	0	0	0	0
MAX	555.666667	1424	1910	0	0	0	0	0
MEA1	555.000000	1581	1749	0	0	0	0	0
KLHDC3	555.000000	1581	1749	0	0	0	0	0
GAB1	553.666667	1461	1861	0	0	0	0	0
CACNB4	552.166667	1440	1873	0	0	0	0	0
YWHAG	552.000000	1394	1918	0	0	0	0	0
ABI1	551.000000	1463	1843	0	0	0	0	0
DLG3	550.833333	1434	1773	0	98	0	0	0
ZNF524	549.833333	1650	1649	0	0	0	0	0
FIZ1	549.833333	1650	1649	0	0	0	0	0
OBSL1	549.000000	1557	1737	0	0	0	0	0
INHA	549.000000	1557	1737	0	0	0	0	0
COL5A1	547.666667	1421	1865	0	0	0	0	0
SURF2	546.500000	1445	1834	0	0	0	0	0
SURF1	546.500000	1445	1834	0	0	0	0	0
SAMD4B	544.333333	1506	1760	0	0	0	0	0
SEC63	544.000000	1390	1874	0	0	0	0	0
RAB10	544.000000	1346	1683	0	235	0	0	0
WDFY3	543.666667	1377	1885	0	0	0	0	0
ZFHX4	542.000000	1357	1895	0	0	0	0	0
NRBF2	540.000000	1341	1702	0	197	0	0	0
PLEC	538.000000	1503	1725	0	0	0	0	0
FBN3	538.000000	1358	1743	0	127	0	0	0
UBE4B	537.833333	1415	1812	0	0	0	0	0
AGFG2	537.833333	1522	1705	0	0	0	0	0
COTL1	537.166667	1487	1736	0	0	0	0	0
FAIM	537.000000	1599	1623	0	0	0	0	0
SLC4A2	535.500000	1412	1801	0	0	0	0	0
NKX2-2	535.333333	1359	1853	0	0	0	0	0
FSTL1	533.166667	1131	1848	0	220	0	0	0
NLGN1	532.333333	1329	1865	0	0	0	0	0
INKA2	532.333333	1284	1910	0	0	0	0	0
DDX20	532.333333	1284	1910	0	0	0	0	0
NCS1	532.166667	1418	1775	0	0	0	0	0
AP2S1	532.000000	1461	1731	0	0	0	0	0
RTN4RL1	531.000000	1442	1744	0	0	0	0	0
UBTD2	528.666667	1311	1861	0	0	0	0	0
FOSL2	528.166667	1135	2034	0	0	0	0	0
CBX4	527.833333	1503	1664	0	0	0	0	0
EIF4A1	527.500000	1213	1952	0	0	0	0	0
CD2AP	527.000000	1409	1753	0	0	0	0	0
APLN	525.666667	1308	1846	0	0	0	0	0
CCND2	524.166667	1422	1723	0	0	0	0	0
CAND1	523.333333	1321	1819	0	0	0	0	0
LAMA3	522.333333	1218	1916	0	0	0	0	0
TMEM198	521.500000	1397	1732	0	0	0	0	0
CHPF	521.500000	1397	1732	0	0	0	0	0
ZNF384	521.000000	1411	1715	0	0	0	0	0
PPP4R3A	519.666667	1325	1793	0	0	0	0	0
LHX6	519.666667	1335	1783	0	0	0	0	0
DDI2	518.333333	1364	1746	0	0	0	0	0
SNX33	518.166667	1288	1821	0	0	0	0	0
SIPA1L1	517.833333	1118	1894	0	95	0	0	0
MCAM	517.833333	1353	1754	0	0	0	0	0
FYN	516.500000	1484	1615	0	0	0	0	0
MRC2	516.000000	1335	1761	0	0	0	0	0
PRR19	515.666667	1331	1763	0	0	0	0	0
PAFAH1B3	515.666667	1331	1763	0	0	0	0	0
BDKRB2	515.166667	1126	1965	0	0	0	0	0
BMP1	512.000000	1420	1652	0	0	0	0	0
B3GALNT2	511.333333	1261	1807	0	0	0	0	0
ASH1L	509.666667	1245	1708	0	105	0	0	0
KCTD15	509.333333	1471	1585	0	0	0	0	0
HOXB13	509.333333	1358	1698	0	0	0	0	0
ARHGAP24	509.166667	1512	1543	0	0	0	0	0
PCF11	507.333333	1377	1667	0	0	0	0	0
HMGA2	507.166667	1410	1633	0	0	0	0	0
CUL4B	506.666667	1206	1648	0	186	0	0	0
PRDX1	506.000000	1311	1725	0	0	0	0	0
METTL21A	505.000000	1201	1829	0	0	0	0	0
AP3M1	505.000000	1511	1519	0	0	0	0	0
ADK	505.000000	1511	1519	0	0	0	0	0
NSUN4	504.333333	1250	1776	0	0	0	0	0
PAK2	504.000000	1178	1846	0	0	0	0	0
ZNF462	503.500000	1363	1658	0	0	0	0	0
FABP6	503.500000	1349	1672	0	0	0	0	0
SYNPO	502.833333	1241	1776	0	0	0	0	0
RIMKLB	502.833333	1257	1592	0	168	0	0	0
SMAP2	501.333333	1331	1677	0	0	0	0	0
PTCH1	501.333333	1518	1490	0	0	0	0	0
RIMS2	499.500000	1355	1642	0	0	0	0	0
CHST3	499.000000	1184	1810	0	0	0	0	0
FOXO3	498.500000	1330	1661	0	0	0	0	0
FAT4	498.500000	1338	1653	0	0	0	0	0
SH2D4A	498.333333	1343	1647	0	0	0	0	0
PLA2G7	497.833333	1261	1726	0	0	0	0	0
SPRY2	497.666667	1276	1710	0	0	0	0	0
MFAP4	496.000000	1286	1690	0	0	0	0	0
SHKBP1	495.666667	1373	1601	0	0	0	0	0
LRRC8B	495.000000	1191	1779	0	0	0	0	0
LRRC75B	494.333333	1273	1693	0	0	0	0	0
DEDD	492.500000	1256	1699	0	0	0	0	0
ARC	490.500000	1339	1604	0	0	0	0	0
FGF11	490.333333	1238	1704	0	0	0	0	0
ACVR1	489.833333	1191	1748	0	0	0	0	0
BEX1	489.000000	1239	1695	0	0	0	0	0
NIM1K	487.833333	1219	1708	0	0	0	0	0
TFAP2A	487.666667	1381	1545	0	0	0	0	0
ZNF423	487.333333	977	1803	0	144	0	0	0
STAU2	486.666667	1111	1617	0	192	0	0	0
CMTM3	486.500000	1280	1639	0	0	0	0	0
CPNE9	486.166667	1118	1799	0	0	0	0	0
CRIP2	485.500000	1312	1601	0	0	0	0	0
PRR14	484.833333	1298	1611	0	0	0	0	0
CRHR1	483.000000	1306	1592	0	0	0	0	0
HNRNPU	481.833333	1224	1667	0	0	0	0	0
ZNF148	481.666667	1079	1811	0	0	0	0	0
BCL9	480.333333	1468	1414	0	0	0	0	0
PPP3R1	480.166667	1122	1759	0	0	0	0	0
PRTFDC1	480.000000	1171	1551	0	158	0	0	0
SPDYE14	479.500000	1394	1483	0	0	0	0	0
SPDYE10P	479.500000	1394	1483	0	0	0	0	0
RUFY4	479.500000	1238	1639	0	0	0	0	0
CLIC4	478.333333	1168	1702	0	0	0	0	0
C10orf67	477.833333	1282	1585	0	0	0	0	0
SLC6A1	477.166667	1228	1635	0	0	0	0	0
ZNF740	477.000000	1243	1619	0	0	0	0	0
CSAD	477.000000	1243	1619	0	0	0	0	0
NOVA1	476.833333	1197	1664	0	0	0	0	0
DSE	476.500000	1192	1667	0	0	0	0	0
DYRK1B	475.500000	1216	1637	0	0	0	0	0
SLC29A2	474.666667	1256	1592	0	0	0	0	0
CMBL	473.500000	1296	1545	0	0	0	0	0
EPHA10	472.333333	1344	1490	0	0	0	0	0
ASF1B	472.000000	1098	1373	0	361	0	0	0
TMEM221	470.666667	1267	1557	0	0	0	0	0
ATP2A2	470.500000	1042	1596	0	185	0	0	0
G0S2	470.333333	1143	1679	0	0	0	0	0
FLI1	470.166667	1185	1636	0	0	0	0	0
UBQLN4	469.166667	1006	1624	0	185	0	0	0
LAMTOR2	469.166667	1006	1624	0	185	0	0	0
MRPL1	468.833333	1318	1495	0	0	0	0	0
NRSN2	468.166667	1212	1597	0	0	0	0	0
HOXD11	468.166667	1210	1599	0	0	0	0	0
PTGIR	467.833333	1179	1628	0	0	0	0	0
CDC14A	467.500000	1159	1646	0	0	0	0	0
ERICH6	466.833333	1206	1595	0	0	0	0	0
ADAM15	466.000000	1165	1631	0	0	0	0	0
ORMDL3	465.500000	1154	1639	0	0	0	0	0
TNS2	464.500000	1172	1615	0	0	0	0	0
GLI3	463.500000	1203	1578	0	0	0	0	0
SLC25A22	463.333333	1159	1621	0	0	0	0	0
UST	462.833333	1191	1586	0	0	0	0	0
PDCD4	461.333333	1187	1581	0	0	0	0	0
TNFRSF12A	459.833333	1031	1728	0	0	0	0	0
BNIP3	459.333333	1040	1716	0	0	0	0	0
IDNK	458.000000	922	1826	0	0	0	0	0
NPTN	457.333333	1270	1474	0	0	0	0	0
MEF2C	457.333333	1076	1668	0	0	0	0	0
TPM2	457.166667	1185	1558	0	0	0	0	0
PAK1	457.000000	1171	1571	0	0	0	0	0
MSRB2	456.166667	1161	1576	0	0	0	0	0
TESK2	455.666667	1245	1489	0	0	0	0	0
OCIAD1	455.333333	1242	1490	0	0	0	0	0
HMCES	455.166667	1093	1638	0	0	0	0	0
CD276	453.833333	1214	1509	0	0	0	0	0
AGPAT1	453.833333	1086	1637	0	0	0	0	0
LCK	453.333333	1094	1626	0	0	0	0	0
LAMA4	452.500000	1130	1585	0	0	0	0	0
ZNF205	451.666667	1204	1506	0	0	0	0	0
FIGN	451.500000	1041	1668	0	0	0	0	0
DNM1	450.833333	1114	1591	0	0	0	0	0
CIZ1	450.833333	1114	1591	0	0	0	0	0
FAM131B	449.666667	1176	1417	0	105	0	0	0
INTS3	448.666667	1053	1548	91	0	0	0	0
OLIG2	448.333333	1111	1579	0	0	0	0	0
HIP1R	448.000000	1123	1435	0	130	0	0	0
ATF7-NPFF	448.000000	1129	1559	0	0	0	0	0
ATF7	448.000000	1129	1559	0	0	0	0	0
ACYP2	448.000000	1052	1636	0	0	0	0	0
TGIF1	447.833333	1112	1575	0	0	0	0	0
UNC45A	447.666667	1101	1585	0	0	0	0	0
SPTAN1	447.500000	1181	1504	0	0	0	0	0
ERF	446.833333	1142	1331	0	208	0	0	0
C1R	446.166667	1050	1627	0	0	0	0	0
HRH2	446.000000	1206	1470	0	0	0	0	0
PANK1	445.833333	1133	1542	0	0	0	0	0
PHF21A	445.166667	1152	1519	0	0	0	0	0
GNAO1	444.500000	1074	1593	0	0	0	0	0
WDTC1	444.333333	1301	1365	0	0	0	0	0
RBP5	444.000000	1108	1556	0	0	0	0	0
CLSTN3	444.000000	1108	1556	0	0	0	0	0
GPBP1	443.833333	1243	1420	0	0	0	0	0
NTS	443.333333	935	1725	0	0	0	0	0
UBE2E2	441.333333	1133	1515	0	0	0	0	0
IRF2BPL	440.666667	1211	1433	0	0	0	0	0
RGMB	440.500000	1206	1437	0	0	0	0	0
ETV4	439.833333	1262	1377	0	0	0	0	0
ZNF674	439.666667	1023	1615	0	0	0	0	0
MDFIC	439.000000	968	1666	0	0	0	0	0
FEM1B	439.000000	1259	1375	0	0	0	0	0
SEMA5B	438.833333	978	1655	0	0	0	0	0
LY6G6D	438.666667	1085	1547	0	0	0	0	0
C17orf58	438.000000	1247	1381	0	0	0	0	0
CCT5	437.833333	1085	1542	0	0	0	0	0
ATPSCKMT	437.833333	1085	1542	0	0	0	0	0
JARID2	437.500000	998	1548	79	0	0	0	0
GPRC5C	437.000000	1082	1540	0	0	0	0	0
ZNFX1	436.166667	1115	1502	0	0	0	0	0
EPB41L1	436.166667	878	1739	0	0	0	0	0
CHD8	435.333333	1141	1471	0	0	0	0	0
EPHX4	435.166667	1180	1431	0	0	0	0	0
NACAD	433.000000	862	1736	0	0	0	0	0
ZYX	432.166667	1176	1417	0	0	0	0	0
MARCHF7	432.166667	1002	1591	0	0	0	0	0
NR2F1	432.000000	1196	1396	0	0	0	0	0
ADAMTS3	431.833333	1074	1517	0	0	0	0	0
BHLHE40	429.500000	1229	1348	0	0	0	0	0
PDLIM7	429.166667	1069	1506	0	0	0	0	0
EFNB3	429.166667	964	1611	0	0	0	0	0
SLC1A4	428.500000	992	1579	0	0	0	0	0
WBP1L	428.333333	1055	1515	0	0	0	0	0
SLC1A5	427.666667	1167	1399	0	0	0	0	0
PPM1D	427.333333	1098	1466	0	0	0	0	0
IREB2	427.000000	1021	1541	0	0	0	0	0
WBP4	426.333333	1362	1196	0	0	0	0	0
SGCG	426.333333	1147	1411	0	0	0	0	0
ELF1	426.333333	1362	1196	0	0	0	0	0
SCARB1	425.166667	1137	1296	0	118	0	0	0
NPRL3	425.166667	1115	1436	0	0	0	0	0
CD63	424.333333	1000	1546	0	0	0	0	0
THRA	423.833333	1167	1376	0	0	0	0	0
EBF1	423.000000	1038	1500	0	0	0	0	0
ALX4	423.000000	1130	1408	0	0	0	0	0
TGFB1	422.500000	1034	1501	0	0	0	0	0
ALDOA	422.333333	1138	1396	0	0	0	0	0
SCN4B	422.166667	1116	1417	0	0	0	0	0
KRT80	421.833333	1088	1443	0	0	0	0	0
VPS13B	421.333333	1171	1357	0	0	0	0	0
PKM	420.333333	1081	1441	0	0	0	0	0
E2F3	419.333333	1004	1411	101	0	0	0	0
SYCN	417.833333	1073	1434	0	0	0	0	0
MTMR4	417.666667	1090	1416	0	0	0	0	0
ADAM10	417.166667	960	1543	0	0	0	0	0
NKX6-1	416.833333	1004	1497	0	0	0	0	0
MAP1B	416.833333	1202	1299	0	0	0	0	0
STX3	416.666667	1085	1415	0	0	0	0	0
DDR1	416.666667	870	1630	0	0	0	0	0
INTS6L	416.000000	1128	1368	0	0	0	0	0
FOXP4	415.333333	983	1509	0	0	0	0	0
SEMA4D	415.166667	1113	1378	0	0	0	0	0
BRPF3	414.666667	785	1599	104	0	0	0	0
PHLDB3	414.500000	923	1564	0	0	0	0	0
C6orf136	413.500000	1036	1445	0	0	0	0	0
PPP4R2	413.166667	1085	1319	0	75	0	0	0
TBC1D16	412.833333	1090	1387	0	0	0	0	0
