Target_genes	UBTF|Average	SRX2423977|GM12878	SRX2423978|GM12878	SRX2424229|HeLa	SRX2424230|HeLa	SRX10478330|Hep_G2	SRX10478331|Hep_G2	SRX1519704|hESC_H9	SRX1519705|hESC_H9	SRX150418|K-562	SRX150721|K-562	SRX23177015|PLC/PRF/5	SRX23177016|PLC/PRF/5	STRING
AMACR	374.166667	0	0	0	0	1729	889	0	0	648	978	246	0	0
BLOC1S6	373.416667	0	0	0	0	1832	1166	0	0	415	811	257	0	0
RPL37	372.666667	0	0	0	0	1274	1527	0	0	642	1029	0	0	0
AP5S1	369.500000	0	0	0	0	1862	769	0	0	623	887	168	125	0
CHGB	365.333333	0	0	0	0	2029	1661	0	0	168	526	0	0	0
AP3S2	362.916667	0	0	0	0	1480	1191	0	0	637	868	179	0	0
DHRS7	362.416667	0	0	0	0	2373	947	0	0	366	663	0	0	0
ZC3H7B	362.083333	210	161	0	0	1644	554	0	0	879	897	0	0	0
SOD2	361.833333	0	0	0	0	1567	1189	0	0	389	481	435	281	0
SCRT2	360.000000	0	0	0	0	2332	297	0	0	552	1139	0	0	0
REXO4	360.000000	64	0	0	0	1507	964	0	0	660	1001	124	0	0
ANKRD40	357.333333	0	0	0	0	1806	874	0	0	430	685	296	197	0
QRICH1	357.000000	0	0	0	170	1631	1040	0	0	486	568	227	162	0
PNMT	355.000000	0	0	0	0	2100	819	0	0	437	904	0	0	0
SMPD3	354.333333	0	0	0	0	1518	740	0	0	748	1246	0	0	0
ZNF337	352.416667	0	0	0	0	2169	1349	0	0	137	460	114	0	0
RALGAPA1	352.416667	0	0	0	151	1843	1035	0	0	283	785	132	0	0
GALNT2	350.666667	0	0	0	0	1489	916	0	0	585	1091	127	0	0
WDR26	350.333333	70	0	0	0	1304	694	0	0	932	1204	0	0	0
DDX59	349.916667	0	0	0	0	1275	583	0	0	394	621	754	572	0
ZBTB7A	349.750000	179	143	0	0	992	0	0	0	1406	1352	125	0	0
MRPL58	349.250000	0	0	0	0	1515	1302	0	0	336	700	219	119	0
TMED3	345.666667	0	0	0	0	2218	1086	0	0	237	607	0	0	0
KATNBL1	345.416667	0	0	0	0	1928	346	0	0	855	780	236	0	0
DTD2	344.583333	0	0	0	0	1848	1627	0	0	232	428	0	0	0
YBEY	344.250000	0	0	0	0	1636	1008	0	0	365	622	318	182	0
MCM3AP	344.250000	0	0	0	0	1636	1008	0	0	365	622	318	182	0
TARS3	341.750000	0	0	0	0	1904	993	0	0	313	668	223	0	0
CAPN15	340.916667	0	0	0	210	1135	672	0	0	775	1299	0	0	0
SLC33A1	337.750000	0	0	0	0	1057	1092	0	0	571	1130	203	0	0
SPATA5L1	337.666667	0	0	0	0	1215	1017	0	0	480	1144	196	0	0
GATM	337.666667	0	0	0	0	1215	1017	0	0	480	1144	196	0	0
NSMAF	336.083333	0	98	0	0	1775	922	0	0	507	731	0	0	0
ANKRD36	336.000000	0	0	0	101	1651	995	0	0	278	498	301	208	0
ZFYVE9	333.916667	0	0	0	0	1942	564	0	0	583	918	0	0	0
HECTD1	333.000000	133	92	0	0	1401	1441	0	0	260	525	144	0	0
MOB4	332.666667	0	0	0	0	1702	1419	0	0	295	492	84	0	0
SYPL1	330.583333	0	0	0	0	1764	413	0	0	535	779	306	170	0
VCP	330.166667	0	0	0	0	1577	960	0	0	340	377	448	260	0
DMTF1	329.500000	0	0	0	0	1746	754	0	0	465	723	168	98	0
NPAS4	329.083333	0	0	0	0	1996	1287	0	0	148	518	0	0	0
SLC35A3	328.833333	0	0	0	0	1805	1331	0	0	191	335	164	120	0
PYURF	328.750000	0	0	0	0	2064	886	0	0	390	605	0	0	0
PIGY	328.750000	0	0	0	0	2064	886	0	0	390	605	0	0	0
HERC3	328.750000	0	0	0	0	2064	886	0	0	390	605	0	0	0
NET1	328.333333	0	0	0	0	1560	982	0	0	381	1017	0	0	0
METTL9	327.833333	0	0	0	0	1716	1374	0	0	167	386	171	120	0
ANKHD1-EIF4EBP3	327.166667	0	0	0	0	1379	1010	0	0	390	747	192	208	0
ANKHD1	327.166667	0	0	0	0	1379	1010	0	0	390	747	192	208	0
SFT2D3	326.416667	0	0	0	0	1945	800	0	0	472	568	132	0	0
PKP4	325.750000	0	0	0	0	1684	1208	0	0	285	583	149	0	0
RNF125	324.666667	0	0	0	0	1519	771	0	0	449	1157	0	0	0
ZNF143	324.166667	0	0	0	0	1681	567	0	0	537	651	274	180	0
ABCC6	324.166667	0	0	0	0	2204	1550	0	0	0	136	0	0	0
NPC1	323.583333	0	0	0	0	1145	342	0	0	833	1238	203	122	0
H2BC14	323.583333	0	0	0	0	1309	942	0	0	405	790	299	138	0
H2AC14	323.583333	0	0	0	0	1309	942	0	0	405	790	299	138	0
BEND3	322.916667	0	0	0	0	1828	411	0	0	745	891	0	0	0
LSG1	322.500000	0	0	0	0	1000	1190	0	0	562	1118	0	0	0
SCYL1	321.833333	127	79	0	0	1822	589	0	0	653	592	0	0	0
IMPA2	321.583333	0	0	0	0	891	473	0	0	457	843	774	421	0
ERN1	320.916667	0	0	0	0	1868	903	0	0	304	559	217	0	0
KCMF1	320.833333	127	0	0	0	1392	745	0	0	690	716	180	0	0
PDCD2	319.416667	0	0	0	0	1495	811	0	0	387	684	321	135	0
DCP1A	319.333333	0	0	0	0	1421	1405	0	0	270	599	137	0	0
PIP4P2	319.083333	0	0	0	0	1687	1060	0	0	329	753	0	0	0
ARHGEF7	319.083333	0	0	0	0	1504	1102	0	0	361	655	103	104	0
AHI1	318.166667	0	0	0	0	1684	1100	0	0	430	604	0	0	0
TRIM36	317.000000	0	0	0	0	1980	954	0	0	380	490	0	0	0
SEC24B	315.166667	0	0	0	0	2039	811	0	0	422	510	0	0	0
KDM3B	313.833333	103	0	0	0	1921	197	0	0	773	650	122	0	0
H4C15	313.166667	0	0	0	0	950	942	0	0	323	619	547	377	0
H4C14	313.166667	0	0	0	0	950	942	0	0	323	619	547	377	0
SH3GLB1	312.833333	0	0	0	0	1460	1069	0	0	301	620	179	125	0
CEP85L	312.416667	0	0	0	0	1623	814	0	0	425	887	0	0	0
ANKLE2	312.083333	0	0	0	0	1412	761	0	0	590	982	0	0	0
FER	310.916667	0	0	0	0	1645	1006	0	0	427	567	86	0	0
RAB32	310.416667	0	0	0	0	1816	582	0	0	468	586	273	0	0
PPFIA3	310.333333	0	0	0	0	1165	479	0	0	716	1191	173	0	0
C19orf73	310.333333	0	0	0	0	1165	479	0	0	716	1191	173	0	0
TSC22D2	310.000000	0	0	0	0	1194	882	0	0	564	739	203	138	0
EGLN1	309.750000	0	0	0	0	1707	763	0	0	379	718	150	0	0
ALDH3A2	309.583333	0	0	0	0	2125	1352	0	0	0	0	238	0	0
C2orf69	309.166667	0	0	0	0	2049	1116	0	0	81	283	181	0	0
ADPRHL1	309.166667	0	0	0	0	660	861	0	0	349	651	632	557	0
TRERF1	308.916667	0	0	0	0	1604	530	0	0	418	1155	0	0	0
BCAP29	308.750000	0	0	0	0	1453	1073	0	0	417	638	124	0	0
H4C11	308.500000	0	0	0	0	1196	1025	0	0	374	657	276	174	0
APBA1	308.000000	0	0	0	0	1180	926	476	323	234	557	0	0	0
RBM17	307.750000	0	105	0	0	1736	319	0	0	568	838	127	0	0
NT5DC1	307.416667	0	0	0	0	2009	812	0	0	250	445	173	0	0
PARP2	307.333333	0	0	0	0	1194	945	0	0	289	604	391	265	0
PROS1	307.250000	0	0	0	0	1838	484	0	0	624	741	0	0	0
LTBR	307.000000	0	0	0	0	1784	1082	0	0	286	532	0	0	0
GPCPD1	306.416667	0	0	0	0	2361	543	0	0	239	534	0	0	0
RNF14	306.250000	0	0	0	0	1462	1064	0	0	299	438	255	157	0
ZC3HC1	306.166667	0	0	0	0	766	812	0	0	760	1336	0	0	0
TMEM242	306.083333	0	0	0	0	1295	1149	0	0	339	763	127	0	0
SNRPG	305.833333	0	0	0	0	1362	731	0	0	556	1021	0	0	0
GADD45A	305.250000	0	0	0	0	1618	791	0	0	404	637	213	0	0
PSMG2	303.833333	0	0	0	0	1507	797	0	0	463	768	111	0	0
H4C12	303.083333	0	0	0	0	1181	1170	0	0	367	673	246	0	0
DDX1	302.166667	0	0	0	0	1464	1093	0	0	327	665	77	0	0
CAPN2	302.083333	0	0	0	0	1696	247	0	0	547	1135	0	0	0
RAD54L2	302.000000	0	0	0	0	1925	1123	0	0	196	380	0	0	0
ITGAV	301.833333	0	0	0	0	1574	1005	0	0	263	643	137	0	0
TMEM60	300.666667	0	0	0	0	1853	1017	0	0	227	511	0	0	0
PHTF2	300.666667	0	0	0	0	1853	1017	0	0	227	511	0	0	0
CCDC126	300.333333	0	0	0	0	1346	617	0	0	590	1051	0	0	0
PCBD2	297.500000	0	0	0	0	1704	663	0	0	197	346	394	266	0
ANKRD36B	297.166667	0	0	0	76	1709	897	0	0	195	501	188	0	0
CRTC1	297.000000	0	0	0	0	1282	433	0	0	529	1320	0	0	0
DNM1L	296.416667	0	0	0	0	1372	343	0	0	459	642	447	294	0
CERS6	296.333333	0	0	0	0	1600	640	0	0	405	911	0	0	0
LATS1	295.833333	0	0	0	0	1335	1048	0	0	474	693	0	0	0
JRK	295.666667	0	0	0	0	1223	939	0	0	494	892	0	0	0
CEP76	294.583333	0	0	0	0	1507	797	0	0	463	768	0	0	0
SLC39A13	294.000000	0	0	0	80	1471	476	0	0	402	596	352	151	0
MRPL40	293.833333	0	0	0	0	1063	747	0	0	524	764	205	223	0
HIRA	293.833333	0	0	0	0	1063	747	0	0	524	764	205	223	0
ABHD12	293.666667	0	0	0	0	1681	1378	0	0	194	271	0	0	0
ZSCAN22	293.250000	0	0	0	0	985	646	0	0	347	736	531	274	0
PLEKHM3	293.166667	0	0	0	0	1600	1167	0	0	235	516	0	0	0
NAA20	292.833333	0	0	0	0	1593	1376	0	0	141	341	63	0	0
TRDMT1	292.583333	0	0	0	0	1571	864	0	0	192	660	224	0	0
HDDC2	292.583333	0	0	0	0	2138	961	0	0	146	266	0	0	0
ZNF564	292.333333	0	0	0	0	1422	817	0	0	332	635	189	113	0
TOP2B	292.333333	62	82	0	114	1677	376	0	0	475	722	0	0	0
SLTM	292.333333	0	0	0	0	1245	842	0	0	482	799	140	0	0
NMI	292.333333	0	0	0	0	1627	870	0	0	432	579	0	0	0
WTAP	292.083333	0	0	0	0	1407	565	0	0	389	481	435	228	0
RALY	291.833333	0	0	0	0	1097	546	0	0	377	536	621	325	0
TP53I3	291.666667	0	0	0	0	1439	752	0	0	223	357	430	299	0
DRG2	291.250000	0	0	0	0	1506	1102	0	0	271	616	0	0	0
HEATR5A	291.083333	0	0	0	0	1655	854	0	0	347	637	0	0	0
H2BC17	290.166667	0	0	0	0	1733	652	0	0	277	517	160	143	0
H2AC17	290.166667	0	0	0	0	1733	652	0	0	277	517	160	143	0
NRF1	290.000000	0	82	0	0	1285	309	0	0	849	864	91	0	0
RIMBP3C	289.916667	0	0	0	0	1334	752	0	0	489	904	0	0	0
RIMBP3B	289.916667	0	0	0	0	1334	752	0	0	489	904	0	0	0
PON2	289.583333	0	0	0	0	1470	540	0	0	441	824	200	0	0
CCDC148	289.583333	0	0	0	0	1684	1208	0	0	0	583	0	0	0
TMC7	289.166667	0	0	0	0	1877	654	0	0	262	677	0	0	0
NFE2L2	289.083333	0	0	0	0	1181	923	0	0	205	652	315	193	0
INAFM2	288.750000	0	0	0	0	1086	736	0	0	961	682	0	0	0
TP53RK	288.500000	0	0	0	0	1931	566	0	0	426	539	0	0	0
ACYP2	287.750000	0	0	0	0	1671	892	0	0	329	561	0	0	0
TIPARP	287.666667	0	0	0	0	1431	739	0	0	354	766	162	0	0
NUPR1	286.750000	0	0	0	0	1953	1488	0	0	0	0	0	0	0
SOAT1	286.333333	0	0	0	0	1758	1029	0	0	244	405	0	0	0
H3-3A	285.750000	0	0	0	0	1191	877	0	0	409	757	195	0	0
WDR53	285.583333	0	0	78	143	1775	613	0	0	251	567	0	0	0
FBXO45	285.583333	0	0	78	143	1775	613	0	0	251	567	0	0	0
USPL1	285.416667	0	0	0	0	1179	1260	0	0	212	527	157	90	0
HMGB1	285.416667	0	0	0	0	1179	1260	0	0	212	527	157	90	0
USP18	285.250000	0	0	0	0	1219	457	0	0	642	1105	0	0	0
COL19A1	284.500000	0	0	0	0	2098	431	0	0	238	647	0	0	0
MAN2C1	283.916667	0	0	0	0	905	652	0	0	310	581	609	350	0
TNIP1	283.666667	0	0	0	0	1428	623	0	0	383	670	160	140	0
ACBD6	283.166667	0	0	0	0	1780	572	0	0	241	434	228	143	0
MIS18BP1	282.916667	0	0	0	0	1412	740	0	0	316	834	93	0	0
STX16	282.833333	0	0	0	0	1268	1066	0	0	100	434	286	240	0
FEM1C	282.833333	0	0	0	0	1715	864	0	0	244	571	0	0	0
DCUN1D1	282.750000	0	0	0	0	1551	578	0	0	560	704	0	0	0
MCM7	282.583333	0	0	0	0	1571	759	0	0	167	337	363	194	0
AP4M1	282.583333	0	0	0	0	1571	759	0	0	167	337	363	194	0
H2BC13	281.916667	0	0	0	0	1230	780	0	0	456	763	154	0	0
H2AC13	281.916667	0	0	0	0	1230	780	0	0	456	763	154	0	0
NOTCH2NLC	281.583333	0	0	0	0	1439	816	0	0	347	664	113	0	0
MTRNR2L2	280.833333	300	248	0	0	317	659	0	0	981	631	0	234	0
CLCC1	280.750000	0	0	0	0	1725	450	0	0	373	636	185	0	0
NDUFAF1	280.500000	0	0	0	0	1499	854	0	0	313	700	0	0	0
SCO1	280.333333	0	0	0	0	1559	934	0	0	268	457	146	0	0
ADPRM	280.333333	0	0	0	0	1559	934	0	0	268	457	146	0	0
FEZ2	279.666667	0	0	0	0	2091	930	0	0	124	211	0	0	0
CMPK2	279.583333	0	0	0	0	1458	495	0	0	496	906	0	0	0
IMP4	278.416667	0	0	0	0	1331	667	0	0	396	776	171	0	0
CCDC115	278.416667	0	0	0	0	1331	667	0	0	396	776	171	0	0
UBE2L3	278.333333	0	0	0	0	1334	655	0	0	447	904	0	0	0
DCAKD	277.833333	0	0	0	0	1371	242	0	0	172	460	606	483	0
CIZ1	277.750000	0	0	0	0	1209	387	0	0	739	998	0	0	0
PSME1	277.666667	0	0	0	0	1750	845	0	0	144	464	129	0	0
RASAL2	277.166667	0	0	0	0	1556	758	0	0	378	634	0	0	0
HNRNPLL	277.083333	0	0	0	0	1174	794	0	0	368	683	195	111	0
H3C4	277.083333	0	0	0	0	1262	670	0	0	591	624	178	0	0
H2BC7	277.083333	0	0	0	0	1262	670	0	0	591	624	178	0	0
H2AC7	277.083333	0	0	0	0	1262	670	0	0	591	624	178	0	0
ANKRD36C	277.083333	0	0	0	0	1448	935	0	0	278	429	235	0	0
PIK3C2B	276.583333	0	0	0	0	1385	669	0	0	376	889	0	0	0
NIPSNAP2	276.583333	0	0	0	0	1749	341	0	0	369	538	200	122	0
IL1R1	276.500000	0	0	0	0	1557	395	0	0	637	729	0	0	0
EXOSC8	274.250000	0	0	0	0	1474	813	0	0	419	585	0	0	0
RBM45	273.916667	0	0	0	0	1388	1129	0	0	218	552	0	0	0
LRRD1	273.916667	0	0	0	0	2149	1138	0	0	0	0	0	0	0
CNOT6L	273.000000	0	0	0	0	1562	377	0	0	614	723	0	0	0
NSFL1C	272.166667	0	0	0	0	1803	638	0	0	271	554	0	0	0
CPE	271.666667	0	0	0	0	1999	1261	0	0	0	0	0	0	0
PELI1	271.500000	0	0	0	0	1544	880	0	0	248	511	75	0	0
SCAND1	271.333333	0	0	0	0	1061	980	0	0	253	555	258	149	0
PPP1R9B	271.166667	0	0	0	0	1677	293	0	0	629	655	0	0	0
TMEM50B	270.916667	0	0	0	0	1140	679	0	0	437	700	209	86	0
SGK3	270.583333	0	0	0	0	1360	613	0	0	462	698	114	0	0
DEF8	270.583333	0	0	0	0	1437	526	0	0	395	889	0	0	0
HES3	269.916667	0	0	0	0	1289	669	0	0	475	806	0	0	0
NOXA1	269.666667	0	0	0	0	1459	563	0	0	291	787	136	0	0
CCNC	269.500000	0	0	0	0	1245	959	0	0	301	607	122	0	0
NOTCH2NLB	268.666667	0	0	0	0	1135	680	0	0	297	800	193	119	0
RTN4	268.333333	0	0	0	0	1155	674	0	0	238	483	423	247	0
MBTPS2	267.750000	77	0	0	0	1104	739	0	0	396	897	0	0	0
CAPRIN2	267.500000	0	0	0	0	1250	832	0	0	259	587	154	128	0
PIK3R1	267.000000	0	0	0	0	1732	649	0	0	216	455	152	0	0
CDKN2C	266.666667	0	0	0	0	1223	718	0	0	438	678	143	0	0
ARID3A	266.416667	0	0	0	0	311	147	0	0	1222	1517	0	0	0
ATP1B3	265.916667	0	0	0	0	1680	375	0	0	330	686	120	0	0
SRXN1	265.500000	0	0	0	0	2033	692	0	0	134	206	121	0	0
PCTP	265.333333	0	0	0	0	1635	950	0	0	174	425	0	0	0
DNAH14	265.083333	0	0	0	0	1538	571	0	0	254	818	0	0	0
SESN1	265.000000	0	0	0	0	1451	323	0	0	301	479	400	226	0
DESI2	265.000000	0	0	0	0	1822	231	0	0	309	466	236	116	0
ATAD2B	264.916667	0	0	0	0	1323	785	0	0	324	581	166	0	0
EPM2A	264.166667	0	0	0	0	1108	730	0	0	351	414	344	223	0
BARHL1	263.833333	0	0	0	0	1431	563	0	0	332	840	0	0	0
MTFR1	263.416667	0	0	0	0	993	603	0	0	647	918	0	0	0
TCTE3	263.333333	0	0	0	0	1394	991	0	0	184	421	170	0	0
ERMARD	263.333333	0	0	0	0	1394	991	0	0	184	421	170	0	0
MTOR	263.250000	0	0	0	0	560	662	0	0	475	1241	221	0	0
RMDN2	263.166667	0	0	0	0	979	1101	0	0	260	689	129	0	0
PHACTR2	263.166667	0	0	0	0	1740	790	0	0	274	354	0	0	0
TMBIM4	262.666667	0	0	0	0	1061	613	0	0	446	857	111	64	0
CLIP1	262.500000	0	0	0	0	1457	355	0	0	556	782	0	0	0
ACOT6	262.500000	0	0	0	0	2233	496	0	0	98	323	0	0	0
METTL8	262.000000	0	0	0	0	1121	638	0	0	290	551	302	242	0
DCAF17	262.000000	0	0	0	0	1121	638	0	0	290	551	302	242	0
SLC24A1	261.666667	0	0	0	0	1165	867	0	0	263	562	189	94	0
INTS14	261.666667	0	0	0	0	1165	867	0	0	263	562	189	94	0
PPP1R3C	261.583333	0	0	0	0	1795	1344	0	0	0	0	0	0	0
FBXO30	261.500000	0	0	0	0	1876	563	0	0	265	334	100	0	0
CLSPN	261.083333	0	0	0	0	1058	691	0	0	549	731	104	0	0
ACVR1	261.083333	0	0	0	0	1504	337	0	0	379	825	88	0	0
TRAM2	260.916667	0	0	0	0	2013	420	0	0	208	388	102	0	0
TMEM87B	260.916667	0	0	0	0	694	281	0	0	280	452	815	609	0
LRRC37A3	260.916667	0	0	0	0	1670	585	0	0	354	522	0	0	0
RRM2B	260.833333	0	0	0	0	1109	625	0	0	215	262	510	409	0
TAF5	260.750000	0	0	0	0	1345	885	0	0	223	526	150	0	0
ZNF638	260.583333	0	0	0	0	1774	999	0	0	99	255	0	0	0
DLD	260.416667	0	0	0	0	1259	483	0	0	260	720	281	122	0
ZFYVE16	260.250000	0	0	0	0	1087	791	0	0	459	678	108	0	0
FBXO6	260.250000	0	0	0	0	1356	559	0	0	376	832	0	0	0
AK3	260.250000	0	0	0	0	1621	553	0	0	312	523	114	0	0
CUL3	259.666667	0	91	0	0	1794	476	0	0	356	324	75	0	0
KIF21A	259.583333	0	0	0	0	1114	506	0	0	371	754	237	133	0
MTRNR2L8	259.083333	272	252	0	0	321	642	159	141	728	594	0	0	0
TATDN3	258.916667	0	0	102	0	1086	875	0	0	358	686	0	0	0
NSL1	258.916667	0	0	102	0	1086	875	0	0	358	686	0	0	0
C17orf75	258.833333	0	0	0	0	1015	838	0	0	409	844	0	0	0
NOCT	257.500000	0	0	0	0	1657	587	0	0	285	456	105	0	0
SLC25A40	257.333333	0	0	0	0	1097	768	0	0	290	756	177	0	0
DBF4	257.333333	0	0	0	0	1097	768	0	0	290	756	177	0	0
PDE11A	256.750000	0	0	0	0	1249	774	0	0	307	751	0	0	0
AGO3	256.750000	0	0	0	0	1219	686	0	0	253	444	280	199	0
OARD1	256.250000	0	96	0	0	867	251	0	0	510	598	418	335	0
NFYA	256.250000	0	96	0	0	867	251	0	0	510	598	418	335	0
NDFIP2	255.833333	0	0	0	0	1221	916	0	0	265	584	84	0	0
MRPL44	255.750000	0	0	0	0	1237	1138	0	0	191	503	0	0	0
AKAP9	255.500000	0	0	0	0	1152	735	0	0	450	729	0	0	0
THEM4	255.333333	0	0	0	0	1588	508	0	0	203	360	280	125	0
TSEN15	255.250000	0	0	0	0	1626	689	0	0	251	497	0	0	0
ALDH5A1	255.166667	0	0	0	0	1657	634	0	0	361	410	0	0	0
