Target_genes	JARID2|Average	SRX8171698|ES_cells	SRX8171699|ES_cells	SRX3230387|Hep_G2	SRX6416950|Hep_G2	SRX6416951|Hep_G2	SRX317571|iPS_cells	SRX317574|iPS_cells	SRX317578|iPS_cells	SRX317582|iPS_cells	SRX317588|iPS_cells	SRX317589|iPS_cells	SRX317593|iPS_cells	SRX317597|iPS_cells	SRX317601|iPS_cells	SRX317605|iPS_cells	SRX317609|iPS_cells	SRX10664185|MCF-7	SRX10664186|MCF-7	SRX10664187|MCF-7	SRX10664188|MCF-7	SRX5426122|NT2-D1	SRX5426123|NT2-D1	SRX6370176|NT2-D1	SRX6370177|NT2-D1	SRX6370178|NT2-D1	SRX6370207|NT2-D1	SRX6370208|NT2-D1	SRX6416958|THLE-2	SRX6416959|THLE-2	STRING
UBE2QL1	214.689655	0	0	0	0	0	825	1377	743	116	178	247	244	158	243	433	311	0	0	0	0	400	123	680	0	0	148	0	0	0	0
ADRB3	212.965517	0	0	0	0	0	1055	1454	991	283	222	334	471	199	319	363	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM43B	209.482759	0	0	78	0	0	774	1040	556	139	140	158	285	152	294	366	303	0	0	0	0	512	171	834	100	0	173	0	0	0	0
SIX3	209.275862	0	0	0	0	0	497	562	614	0	135	138	231	0	310	238	190	0	0	0	0	398	1116	799	431	211	199	0	0	0	0
PAH	208.137931	0	0	0	0	0	598	955	775	93	95	251	143	189	406	286	344	0	0	0	0	454	278	805	240	0	124	0	0	0	0
ASCL1	208.137931	0	0	0	0	0	598	955	775	93	95	251	143	189	406	286	344	0	0	0	0	454	278	805	240	0	124	0	0	0	0
SIX2	206.620690	0	0	0	0	0	206	231	256	0	0	0	0	0	167	92	133	0	0	0	0	622	1521	1591	767	131	275	0	0	0	0
BMI1	204.137931	0	0	0	0	0	904	1368	603	0	251	296	288	149	590	336	575	0	0	0	234	326	0	0	0	0	0	0	0	0	0
HOXD9	203.586207	0	0	0	0	0	478	662	911	0	103	164	302	138	318	404	255	0	0	0	0	556	672	442	344	155	0	0	0	0	0
IHH	199.896552	0	0	0	0	0	440	632	490	119	105	176	157	107	244	227	308	0	0	0	0	740	674	826	179	132	241	0	0	0	0
RTN4RL1	192.517241	0	0	0	0	0	703	984	464	132	192	245	273	159	300	289	345	0	0	0	0	638	0	736	0	0	123	0	0	0	0
GBX1	190.689655	0	0	0	0	0	855	1223	928	0	161	152	344	161	250	262	246	0	0	0	0	461	0	367	0	0	120	0	0	0	0
FIGLA	187.068966	115	0	113	0	0	754	1368	967	96	175	255	312	118	418	325	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTN1	186.448276	0	0	0	0	0	631	853	727	137	254	259	420	116	445	290	309	0	0	0	0	395	0	571	0	0	0	0	0	0	0
HOXC8	184.793103	0	0	0	0	0	213	274	262	0	0	0	0	0	0	128	0	0	0	0	0	501	1331	1140	771	507	232	0	0	0	0
HOXA13	184.689655	0	152	0	0	0	508	717	594	0	100	166	228	0	339	234	150	0	0	0	0	675	571	796	0	0	126	0	0	0	0
LMO1	183.931034	0	0	0	0	0	664	1169	901	78	113	283	300	132	307	323	346	0	0	0	0	191	133	394	0	0	0	0	0	0	0
TFAP2B	182.827586	0	0	0	0	0	576	1037	949	0	115	185	119	132	358	327	312	0	0	0	0	266	233	212	201	280	0	0	0	0	0
AVPR1A	182.344828	68	113	0	0	0	866	1208	670	114	148	248	209	257	383	353	226	0	0	0	0	264	0	161	0	0	0	0	0	0	0
NRG2	182.310345	0	0	0	0	0	912	1064	726	100	140	217	228	200	234	233	281	0	0	0	0	272	0	680	0	0	0	0	0	0	0
ESRRB	181.241379	100	87	0	0	0	653	982	771	90	156	223	283	115	289	344	304	0	0	0	0	464	99	296	0	0	0	0	0	0	0
NEUROG1	181.034483	0	0	0	0	0	626	995	689	0	108	160	193	0	275	241	259	0	0	0	0	687	406	339	272	0	0	0	0	0	0
PLXND1	180.793103	0	0	0	0	0	625	739	399	0	0	146	232	149	128	207	234	0	0	0	0	688	302	1078	168	0	148	0	0	0	0
VSX2	175.862069	0	0	0	0	0	678	862	804	0	185	219	301	194	426	373	437	0	0	0	0	267	158	196	0	0	0	0	0	0	0
FOXQ1	175.413793	0	0	122	0	0	531	782	515	92	0	162	210	86	364	234	228	0	0	0	0	532	0	971	123	0	135	0	0	0	0
FAM237B	174.586207	112	98	0	0	0	737	1394	976	94	128	194	229	174	399	280	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXNA4	173.862069	83	89	0	0	0	722	947	703	0	161	188	294	0	339	264	321	0	0	0	0	376	103	452	0	0	0	0	0	0	0
SMIM43	172.103448	80	0	0	0	0	856	1277	795	100	131	293	215	191	389	244	267	0	0	0	0	153	0	0	0	0	0	0	0	0	0
NPTX1	171.620690	0	0	0	0	0	543	554	393	0	109	243	258	0	232	113	260	0	0	0	0	1139	293	840	0	0	0	0	0	0	0
HR	171.620690	0	0	0	0	0	809	957	581	102	176	204	233	107	267	252	316	0	0	0	0	224	130	472	0	0	147	0	0	0	0
SLC35D3	170.068966	0	0	0	0	0	594	874	351	0	94	167	162	0	189	287	198	0	0	0	0	736	184	820	0	0	276	0	0	0	0
FFAR4	168.448276	0	100	0	0	0	568	1129	872	84	169	226	220	98	323	357	230	0	0	0	0	236	0	273	0	0	0	0	0	0	0
GPR88	168.137931	0	0	0	0	0	1039	1490	979	0	90	0	0	0	210	0	253	0	0	0	0	220	117	478	0	0	0	0	0	0	0
MGAT4D	167.655172	80	0	0	0	0	841	1193	897	97	122	266	242	323	379	199	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGDR	166.344828	0	103	0	0	0	725	1178	669	100	203	219	331	272	312	414	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH25H	165.482759	0	0	0	0	0	774	1165	785	103	117	124	257	173	429	492	158	0	0	0	0	222	0	0	0	0	0	0	0	0	0
FOXC2	164.931034	0	0	0	0	0	299	475	561	0	0	0	189	0	257	160	188	0	0	0	0	678	547	812	428	0	189	0	0	0	0
HOXC12	163.793103	0	0	0	0	0	411	455	617	0	0	195	180	0	217	192	170	0	0	0	0	582	599	652	399	0	81	0	0	0	0
FOXL1	163.758621	0	0	0	0	0	528	757	541	0	0	163	219	111	281	165	260	0	0	0	0	345	397	402	580	0	0	0	0	0	0
LHX6	163.379310	0	0	0	0	0	618	948	618	0	99	162	185	89	247	206	201	0	0	0	0	404	397	450	114	0	0	0	0	0	0
SIDT1	163.275862	0	142	0	0	0	710	1215	972	0	140	129	160	154	369	270	358	0	0	0	116	0	0	0	0	0	0	0	0	0	0
C11orf96	161.413793	0	0	0	0	0	540	668	402	0	91	165	137	99	179	232	215	0	0	0	0	653	158	797	86	0	259	0	0	0	0
SMIM32	160.965517	0	0	0	0	0	548	894	602	0	178	202	178	147	279	271	270	0	0	0	0	656	159	284	0	0	0	0	0	0	0
SLC30A2	160.620690	0	0	0	0	0	758	1288	724	0	196	340	242	127	334	375	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCC1	160.586207	0	0	0	0	0	666	944	543	141	114	149	262	168	323	188	455	0	0	0	0	397	0	307	0	0	0	0	0	0	0
CFAP92	160.586207	0	0	0	0	0	666	944	543	141	114	149	262	168	323	188	455	0	0	0	0	397	0	307	0	0	0	0	0	0	0
HOXC13	160.517241	0	101	0	0	0	379	596	388	0	0	0	0	0	221	0	202	0	0	0	0	581	567	984	428	0	208	0	0	0	0
AGAP2	159.758621	0	0	0	0	0	513	784	494	0	110	227	243	128	294	197	276	0	0	0	0	455	93	689	0	0	130	0	0	0	0
NTRK2	159.517241	0	0	0	0	0	699	989	627	0	147	211	293	144	328	350	266	0	0	0	0	374	0	198	0	0	0	0	0	0	0
GUCY1A1	159.413793	0	109	0	0	0	728	1343	685	0	137	233	276	138	293	388	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXD4L4	159.241379	104	191	0	0	0	557	1000	649	107	149	195	165	117	366	375	273	0	0	0	0	250	0	120	0	0	0	0	0	0	0
C1QL2	158.241379	0	0	0	0	0	448	659	364	0	99	228	203	130	196	193	214	0	0	0	0	873	352	630	0	0	0	0	0	0	0
MDGA1	157.724138	0	0	0	0	0	559	732	540	114	187	227	311	142	378	314	398	0	0	0	0	278	0	250	0	0	144	0	0	0	0
ANKRD63	157.689655	0	0	0	0	0	417	579	354	0	81	230	189	0	191	103	156	0	0	0	0	698	517	896	162	0	0	0	0	0	0
GPR101	156.310345	0	68	0	0	0	457	859	1178	109	136	148	183	207	472	301	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf80	156.103448	0	79	0	0	0	628	979	492	0	91	234	195	184	157	209	233	0	0	0	0	324	0	504	0	0	218	0	0	0	0
HOXD8	155.758621	0	78	0	0	0	346	677	514	0	0	162	183	86	314	122	171	0	0	0	0	496	401	649	128	0	190	0	0	0	0
GRP	155.241379	0	132	0	0	0	673	1040	812	163	141	230	248	132	258	405	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV2B	155.206897	0	0	0	0	0	783	1334	776	84	95	180	326	116	351	180	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTPA	155.172414	59	0	0	0	0	825	1104	901	136	144	162	244	239	315	202	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOWAHB	155.000000	0	0	0	0	0	613	964	492	0	113	190	251	166	252	320	271	0	0	0	0	596	0	267	0	0	0	0	0	0	0
LAMA3	154.793103	104	120	0	0	0	739	1213	724	0	121	266	312	163	254	215	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR3	153.620690	0	0	0	0	0	463	580	317	0	175	136	229	182	343	209	271	0	0	0	0	215	439	348	404	0	144	0	0	0	0
TRABD2A	153.517241	0	0	0	0	0	796	1318	717	117	109	171	347	204	221	265	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG1	153.344828	74	88	130	0	0	524	786	546	0	174	161	102	0	175	157	139	0	0	0	0	453	187	520	86	0	145	0	0	0	0
ZNF804A	152.827586	101	99	0	0	0	730	1051	661	0	93	173	164	127	330	131	110	0	130	0	0	363	0	169	0	0	0	0	0	0	0
PRDM13	152.689655	0	0	0	0	0	343	606	837	0	105	172	151	115	315	422	166	0	0	0	0	380	238	434	144	0	0	0	0	0	0
SLFN11	152.275862	0	0	0	0	0	908	1387	446	94	124	154	224	129	419	237	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRHR1	151.793103	0	0	0	0	0	809	1186	528	111	163	200	408	152	288	206	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKG2	151.310345	112	106	0	0	0	646	1051	894	79	115	162	119	150	400	318	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAFA	151.068966	0	0	0	0	0	515	728	497	0	0	0	256	0	273	197	314	0	0	0	0	602	0	840	0	0	159	0	0	0	0
PGM5	149.931034	79	170	0	0	0	625	1069	709	136	193	243	182	139	317	217	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLNR	149.896552	0	0	0	0	0	739	1111	742	133	177	267	242	189	313	180	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAGL1	149.724138	0	155	0	0	0	661	986	680	0	186	183	229	236	519	348	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRT2	149.413793	0	0	0	0	0	270	555	424	0	0	0	93	0	160	162	137	0	0	0	0	1175	326	538	352	0	141	0	0	0	0
EMX2	149.344828	0	0	0	0	0	121	251	253	0	0	0	0	0	0	174	0	0	0	0	0	623	876	1397	282	0	354	0	0	0	0
NKX2-1	149.275862	0	0	0	0	0	131	222	365	0	0	0	0	0	80	0	0	0	0	0	0	517	974	1094	575	203	168	0	0	0	0
C3orf70	149.103448	86	0	0	0	0	649	990	698	96	132	99	219	154	232	151	200	0	0	0	0	337	0	281	0	0	0	0	0	0	0
TBX21	148.655172	0	0	0	0	0	704	1182	725	0	112	181	257	122	295	273	277	0	0	0	0	183	0	0	0	0	0	0	0	0	0
COL15A1	147.379310	0	0	0	0	0	747	1191	670	0	101	243	229	223	337	271	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDA	147.275862	0	0	0	0	0	874	1348	398	0	180	226	279	142	277	222	187	0	0	0	0	138	0	0	0	0	0	0	0	0	0
PPP2R2C	146.586207	0	0	0	0	0	579	999	379	0	100	193	222	0	244	170	165	0	0	0	0	488	112	448	0	0	152	0	0	0	0
ABR	146.517241	0	0	118	0	0	771	1045	526	117	134	201	308	202	271	183	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ULBP1	146.448276	0	0	0	0	0	691	1067	371	120	199	174	240	152	442	420	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FREM3	146.344828	0	105	0	0	0	688	1018	571	153	155	226	270	115	271	356	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX18	145.758621	0	0	0	0	0	786	975	617	0	158	259	255	0	264	180	253	0	0	0	0	183	0	297	0	0	0	0	0	0	0
NR2F2	145.586207	0	0	0	0	0	339	500	236	0	0	123	0	0	186	245	151	0	0	0	0	396	614	937	225	0	177	93	0	0	0
POU3F2	145.344828	0	0	0	0	0	370	520	283	0	0	0	0	0	209	0	0	0	0	0	0	400	998	834	422	0	179	0	0	0	0
PGR	144.862069	70	0	0	0	0	620	832	701	0	169	181	190	175	378	314	256	110	78	0	0	127	0	0	0	0	0	0	0	0	0
CABP7	144.862069	0	0	0	0	0	527	783	333	0	134	133	213	0	166	0	143	0	0	0	0	788	0	804	0	0	177	0	0	0	0
SOWAHA	144.793103	0	0	0	0	0	613	861	484	0	93	166	172	0	226	221	191	0	0	0	0	592	0	580	0	0	0	0	0	0	0
RASGRF1	144.344828	0	0	0	0	0	451	703	422	0	122	148	151	130	134	175	162	0	0	0	0	696	377	292	223	0	0	0	0	0	0
BMP6	144.068966	0	79	0	0	0	618	913	457	0	128	107	183	0	296	166	287	0	0	0	0	504	147	293	0	0	0	0	0	0	0
CDKN2C	143.862069	0	101	132	0	0	535	970	388	0	118	93	172	85	261	269	151	0	0	0	0	402	0	495	0	0	0	0	0	0	0
BNC1	143.862069	0	0	0	0	0	690	1132	712	113	128	227	165	164	353	259	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA1	143.655172	0	0	0	0	0	595	918	397	0	172	235	248	121	272	220	194	0	0	0	0	547	0	247	0	0	0	0	0	0	0
SHC3	143.517241	0	0	0	0	0	481	723	533	0	0	99	0	0	139	0	177	0	0	0	0	667	371	801	0	0	171	0	0	0	0
GREM1	143.275862	0	0	0	0	0	707	925	550	117	173	167	225	138	390	260	173	0	0	0	0	211	0	119	0	0	0	0	0	0	0
TDRD10	142.862069	0	82	0	0	0	820	1272	486	0	171	217	256	151	313	212	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHE	142.862069	0	82	0	0	0	820	1272	486	0	171	217	256	151	313	212	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVX2	142.862069	0	0	0	0	0	209	302	275	0	0	73	0	0	146	0	114	0	0	0	0	475	840	682	589	438	0	0	0	0	0
KLHL35	142.827586	0	0	0	150	0	719	1114	619	0	127	182	331	0	277	251	258	0	0	0	0	0	0	114	0	0	0	0	0	0	0
SLC30A4	142.206897	0	0	0	0	0	807	1270	523	0	79	159	300	118	299	282	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D30	142.103448	120	109	0	89	0	642	936	498	0	78	136	213	151	212	221	160	0	0	0	91	281	0	184	0	0	0	0	0	0	0
INHBB	142.103448	0	0	0	0	0	427	690	580	158	145	193	318	90	256	335	277	0	0	0	0	318	0	334	0	0	0	0	0	0	0
MT1E	141.655172	0	0	0	0	0	651	1065	733	92	200	333	231	177	305	98	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA2	141.137931	0	0	0	0	0	595	913	723	0	157	175	246	146	286	217	177	0	0	0	0	281	0	177	0	0	0	0	0	0	0
WNT6	140.758621	0	0	0	0	0	433	546	426	0	89	169	0	0	267	159	301	0	0	0	0	837	319	367	0	0	169	0	0	0	0
HOPX	140.137931	91	132	0	0	0	632	1018	789	0	139	287	190	138	305	137	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIA	140.000000	0	0	0	0	0	384	869	396	0	0	123	129	109	276	422	266	0	0	0	0	722	0	364	0	0	0	0	0	0	0
HOXA3	139.655172	0	0	73	0	0	410	818	627	0	103	256	153	0	286	239	144	0	0	0	0	309	342	131	159	0	0	0	0	0	0
ST6GALNAC2	139.413793	0	0	0	0	0	772	1043	424	212	163	169	286	83	245	301	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF7	138.896552	0	0	0	0	0	632	836	400	0	177	279	281	148	240	205	471	0	0	0	0	359	0	0	0	0	0	0	0	0	0
WNT3A	138.034483	0	0	0	0	0	511	712	345	0	153	181	259	0	273	221	261	0	0	0	0	511	188	388	0	0	0	0	0	0	0
IGF2	137.482759	0	0	0	0	0	347	508	555	0	134	179	207	142	330	159	246	0	0	0	0	675	270	235	0	0	0	0	0	0	0
GGTA1	136.965517	0	0	0	0	0	629	1034	629	100	147	215	264	113	261	222	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB16	136.620690	0	99	0	0	0	538	691	636	0	160	241	270	0	293	229	248	0	0	0	0	293	0	264	0	0	0	0	0	0	0
FOXB2	136.482759	0	0	0	0	0	226	369	563	0	151	114	150	0	248	161	0	0	0	0	0	744	368	503	263	0	98	0	0	0	0
ALX3	136.413793	0	0	0	0	0	448	763	429	0	103	178	198	0	293	301	368	0	0	0	0	643	0	232	0	0	0	0	0	0	0
HOXA11	135.827586	0	0	0	0	0	194	235	343	0	0	0	0	0	101	151	110	0	0	0	0	355	890	845	193	299	223	0	0	0	0
SRD5A2	135.620690	84	93	0	0	0	763	1221	516	0	147	179	140	0	185	318	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1217	135.586207	0	0	0	0	0	715	930	490	135	105	278	190	246	280	319	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPBWR1	135.482759	0	0	0	0	0	610	1028	618	0	149	175	275	109	234	358	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRHBP	135.137931	0	0	0	0	0	711	1053	711	88	173	145	228	144	277	177	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM114	135.068966	0	95	0	0	0	628	1017	786	0	131	230	158	156	273	201	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSC2	134.862069	0	0	0	0	0	653	1032	581	101	125	289	271	170	273	180	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY8	134.655172	0	0	0	0	0	533	720	635	0	128	103	99	156	263	330	271	0	0	0	0	340	0	327	0	0	0	0	0	0	0
BAALC	134.517241	0	122	0	0	0	558	891	667	97	75	133	126	84	229	202	210	0	0	0	0	334	0	173	0	0	0	0	0	0	0
CNIH3	134.172414	0	0	0	0	0	596	920	585	107	144	184	209	150	420	230	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPR3	133.241379	0	0	0	0	0	594	778	629	0	158	205	258	159	340	363	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBF1	132.793103	0	0	0	0	0	355	485	419	0	0	117	119	0	156	193	135	0	0	0	0	757	419	523	173	0	0	0	0	0	0
RAB6C	132.413793	0	95	0	0	0	615	1133	430	0	0	129	232	139	144	228	262	140	153	0	140	0	0	0	0	0	0	0	0	0	0
CEBPA	132.241379	0	0	0	0	0	460	704	327	0	96	0	125	0	121	110	166	0	0	0	0	517	186	762	0	0	261	0	0	0	0
TRH	132.103448	0	86	0	0	0	567	923	805	104	135	152	244	114	263	216	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPP21	131.551724	75	0	0	0	0	528	1284	566	71	142	169	157	0	330	288	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD12	131.379310	0	0	0	0	0	407	586	699	0	181	213	287	97	338	273	258	0	0	0	0	246	225	0	0	0	0	0	0	0	0
SHISA8	131.241379	0	0	0	0	0	422	868	321	0	0	205	337	0	193	229	292	0	0	0	0	516	0	423	0	0	0	0	0	0	0
GABBR2	131.241379	0	0	0	0	0	648	946	452	0	0	0	90	0	127	0	231	0	0	0	0	499	109	399	0	0	305	0	0	0	0
TJP1	130.965517	0	0	0	0	0	831	1190	559	0	127	272	158	0	225	101	209	0	0	0	0	0	0	126	0	0	0	0	0	0	0
LONRF2	130.965517	88	97	0	0	0	706	1010	755	0	0	218	237	94	245	239	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIO3	130.827586	0	0	0	0	0	483	676	408	0	0	0	196	0	254	198	224	0	0	0	0	621	146	407	0	0	181	0	0	0	0
PRRT4	130.758621	0	0	0	0	0	803	1095	722	0	0	173	260	126	192	232	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX14	130.689655	0	0	0	0	0	187	184	352	0	0	0	0	0	93	0	0	0	0	0	0	512	827	940	444	91	160	0	0	0	0
CLEC14A	130.655172	0	0	0	0	0	544	1003	670	155	131	230	86	127	402	255	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TWIST2	130.275862	0	0	0	0	0	420	464	339	0	0	0	119	0	0	114	180	0	0	0	0	482	425	988	90	0	157	0	0	0	0
SPON1	130.000000	0	95	0	0	0	659	833	654	0	106	205	216	131	335	282	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC11	129.965517	0	0	0	0	0	269	446	387	0	0	0	0	0	170	0	179	0	0	0	0	318	655	655	339	242	109	0	0	0	0
RSPO1	129.827586	0	0	0	0	0	449	907	751	0	135	216	203	145	278	319	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB9	129.517241	0	0	0	0	0	275	497	398	0	0	0	136	0	138	112	141	0	0	0	0	522	393	909	141	0	94	0	0	0	0
CNNM1	129.275862	0	0	0	0	0	597	802	570	0	122	171	178	156	235	120	146	0	0	0	0	238	0	414	0	0	0	0	0	0	0
DMTN	129.034483	0	0	0	0	0	618	866	849	87	132	100	124	153	276	337	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVEP1	128.655172	0	77	0	0	0	668	1074	694	0	150	107	119	204	248	174	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXF1	128.034483	0	0	0	0	0	109	117	184	0	0	0	0	0	0	0	88	0	0	0	0	739	1004	872	429	0	171	0	0	0	0
PDE4B	127.931034	0	0	0	0	0	670	942	612	0	130	260	214	211	294	203	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5C1A	127.275862	0	78	0	0	0	626	874	752	0	139	157	214	85	209	318	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL19A1	126.827586	0	0	0	0	0	603	929	854	115	71	115	128	199	285	237	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB6D	126.482759	0	0	0	0	0	668	1248	613	0	0	168	124	119	160	108	161	194	105	0	0	0	0	0	0	0	0	0	0	0	0
PDZRN4	126.310345	0	120	0	0	0	552	845	734	0	108	164	166	128	369	212	152	0	0	0	0	113	0	0	0	0	0	0	0	0	0
DOCK10	126.310345	0	105	0	0	0	531	764	709	0	96	118	167	145	358	116	188	0	0	0	0	229	0	137	0	0	0	0	0	0	0
DSCAML1	126.068966	0	126	0	0	0	472	757	514	0	133	115	121	0	216	145	199	0	0	0	0	380	119	359	0	0	0	0	0	0	0
UCP1	125.896552	0	0	0	0	0	652	1081	504	0	184	158	175	205	240	220	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWD2	125.413793	0	0	0	0	0	525	857	602	0	93	147	188	151	321	259	209	0	0	0	0	150	0	135	0	0	0	0	0	0	0
DMRT1	125.310345	0	0	0	0	0	509	905	499	0	115	168	175	125	231	215	197	0	0	0	0	317	0	178	0	0	0	0	0	0	0
DIPK1C	125.103448	0	94	0	0	0	611	891	713	0	116	177	234	0	156	254	239	0	0	0	0	143	0	0	0	0	0	0	0	0	0
TCF24	124.965517	0	0	0	0	0	748	932	611	0	121	0	329	0	175	187	213	0	0	0	0	0	0	308	0	0	0	0	0	0	0
FOXL2NB	124.793103	0	0	0	0	0	299	319	289	0	0	142	116	0	151	0	0	0	0	0	0	828	261	1037	0	0	177	0	0	0	0
FOXL2	124.793103	0	0	0	0	0	299	319	289	0	0	142	116	0	151	0	0	0	0	0	0	828	261	1037	0	0	177	0	0	0	0
FGF5	124.655172	0	0	0	0	0	352	557	390	0	0	129	88	0	188	134	120	0	0	0	0	700	283	568	106	0	0	0	0	0	0
GLIS1	124.586207	0	111	0	0	0	672	1008	660	0	107	115	246	0	335	241	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4DIP	124.517241	0	99	0	0	0	471	948	579	0	148	133	188	123	240	305	181	0	0	96	100	0	0	0	0	0	0	0	0	0	0
OLIG1	124.103448	0	0	0	0	0	645	930	447	0	0	0	166	0	231	119	229	0	0	0	0	335	199	298	0	0	0	0	0	0	0
EPHB3	123.931034	0	0	0	0	0	567	942	539	0	0	142	257	149	365	334	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPC3	123.862069	101	153	0	0	0	543	852	721	81	126	100	156	136	249	156	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKS1B	123.827586	115	0	0	0	0	639	1011	705	0	0	154	115	82	222	232	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
