Target_genes	CHD7|Average	SRX3010215|A549	SRX3010216|A549	SRX1901615|CD34+	SRX9795022|Cerebellum	SRX3010108|GM12878	SRX3010109|GM12878	SRX116455|hESC_H1	SRX186669|hESC_H1	SRX3581475|iPSC_derived_neural_cells	SRX3581477|iPSC_derived_neural_cells	SRX3581509|iPSC_derived_neural_cells	SRX3581511|iPSC_derived_neural_cells	SRX702549|iPSC_derived_neural_cells	SRX3581513|iPSC_derived_neural_crests	SRX3581515|iPSC_derived_neural_crests	SRX3581504|iPS_cells	SRX3581507|iPS_cells	SRX116418|K-562	SRX186674|K-562	STRING
FOXP4	452.000000	323	304	1827	143	262	120	527	527	0	210	0	0	1394	0	0	0	0	1458	1493	0
MTRNR2L8	422.947368	549	1240	386	191	1191	1207	499	443	213	281	167	0	0	163	148	432	175	329	422	0
DOCK7	421.894737	370	215	1396	153	297	127	592	594	0	313	0	0	1372	0	0	0	106	1232	1249	0
GXYLT2	417.315789	384	275	1294	0	87	0	552	554	0	203	0	0	1473	0	0	0	354	1351	1402	0
DOK4	395.263158	222	278	1835	77	175	0	528	528	0	316	0	0	1162	0	0	0	0	1180	1209	0
RAB39B	389.947368	649	702	2307	178	0	0	829	831	0	257	0	0	1656	0	0	0	0	0	0	0
SLC10A7	386.157895	306	400	1248	199	276	229	463	462	0	220	0	0	936	0	0	0	0	1282	1316	0
UROD	369.947368	202	212	1592	107	231	153	523	523	0	143	0	0	863	0	0	0	0	1218	1262	0
HECTD3	369.947368	202	212	1592	107	231	153	523	523	0	143	0	0	863	0	0	0	0	1218	1262	0
APRT	369.263158	255	342	1570	253	166	0	335	337	0	231	0	0	1064	0	0	0	0	1200	1263	0
TAF11	367.789474	437	442	1182	194	202	178	336	338	0	71	0	0	707	0	0	0	0	1420	1481	0
ANKS1A	367.789474	437	442	1182	194	202	178	336	338	0	71	0	0	707	0	0	0	0	1420	1481	0
TBL1X	354.842105	343	129	1525	0	0	0	427	431	0	120	0	0	594	0	0	0	159	1491	1523	0
GAPDH	326.842105	267	279	1536	221	268	0	271	270	0	182	0	0	906	0	0	0	0	974	1036	0
DAB1	325.736842	0	0	1194	224	108	0	679	677	0	187	0	323	1638	0	0	0	0	574	585	0
NAV2	316.789474	504	506	229	261	0	0	485	486	0	284	0	0	1118	0	0	0	192	964	990	0
SLC35D1	311.263158	0	127	1151	358	0	0	713	713	0	290	0	0	1331	0	0	0	0	616	615	0
PIKFYVE	283.789474	281	229	1496	412	0	0	287	282	0	0	0	0	605	0	0	0	0	897	903	0
LURAP1L	267.578947	357	221	1286	153	0	0	516	514	0	219	0	0	969	0	0	0	0	412	437	0
BFSP1	265.052632	0	0	0	244	0	0	0	0	0	0	439	1175	84	0	181	1044	1869	0	0	0
C2CD4C	260.368421	0	353	1457	135	0	0	253	254	0	381	0	0	1379	0	0	0	0	355	380	0
PPP1R16B	257.947368	0	0	0	0	0	0	0	0	0	0	668	1502	165	0	0	785	1781	0	0	0
KLF15	246.052632	110	322	1224	144	0	0	142	142	0	207	0	0	951	0	0	0	0	695	738	0
SDK1	238.842105	264	293	1275	271	176	0	265	262	0	259	0	0	832	0	0	0	115	261	265	0
METTL11B	238.315789	0	0	0	0	0	0	0	0	67	0	583	1421	0	0	0	947	1510	0	0	0
LRRTM3	236.842105	0	0	0	148	0	0	0	0	0	0	0	282	0	0	0	1639	2431	0	0	0
DICER1	231.842105	0	0	0	244	0	0	0	0	71	0	1199	2576	196	0	0	0	119	0	0	0
PDPN	223.473684	0	0	0	0	0	0	0	0	0	0	250	993	0	0	0	1236	1767	0	0	0
LINGO2	221.105263	241	112	1500	0	0	0	284	284	0	332	0	0	1448	0	0	0	0	0	0	0
SLC7A5	217.473684	0	0	0	113	0	0	0	0	0	0	0	876	0	0	0	1223	1920	0	0	0
AKIRIN1	207.210526	0	0	0	134	0	0	0	0	0	0	0	311	0	0	0	1286	2206	0	0	0
METTL21A	206.000000	0	0	1243	170	0	0	0	0	0	104	0	0	556	0	0	0	118	830	893	0
CEP120	203.105263	267	208	1535	408	0	0	81	82	0	150	0	0	204	0	0	0	80	413	431	0
CCDC102A	201.631579	0	0	1015	322	215	0	382	384	0	0	0	0	0	0	0	0	0	759	754	0
CALD1	201.631579	476	373	616	211	0	0	263	262	0	0	0	219	540	0	138	0	216	252	265	0
TNC	200.842105	0	0	0	0	0	0	0	0	0	0	236	213	0	0	0	1290	2077	0	0	0
MUSK	200.789474	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	1314	2165	0	0	0
CCKBR	194.684211	95	103	683	0	0	0	519	519	0	0	0	0	1062	0	0	0	142	284	292	0
SOX6	191.947368	0	0	0	182	0	0	0	0	0	0	0	1121	0	0	0	935	1409	0	0	0
SACS	190.473684	0	0	0	206	0	0	0	0	0	0	304	606	133	0	0	801	1569	0	0	0
USP44	189.052632	0	0	0	86	0	0	0	0	0	0	0	368	0	0	0	1099	2039	0	0	0
PGAP3	184.315789	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	1169	1993	0	0	0
ERBB2	184.315789	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	1169	1993	0	0	0
ARRDC3	180.789474	131	166	651	202	0	0	116	116	0	0	0	0	495	0	0	0	0	758	800	0
OBI1	175.578947	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	938	2136	0	0	0
TTC27	175.052632	201	156	493	303	0	0	245	240	0	0	0	0	180	0	0	0	0	744	764	0
DHX32	170.947368	0	0	0	0	0	0	0	0	0	0	277	698	0	0	0	796	1477	0	0	0
PTK2B	170.421053	0	0	1463	208	0	0	0	0	0	0	0	0	0	0	0	0	0	767	800	0
PIPOX	170.000000	0	0	0	0	0	0	0	0	61	0	302	241	0	0	0	874	1752	0	0	0
RAD54B	168.842105	0	0	0	217	0	0	0	0	0	0	209	231	0	0	0	880	1671	0	0	0
MBNL3	168.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1165	2030	0	0	0
WFDC8	166.842105	0	0	0	0	0	0	0	0	0	0	684	1292	95	0	0	412	687	0	0	0
GDF3	164.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1300	1818	0	0	0
TMCC1	161.736842	0	0	0	161	0	0	0	0	0	0	96	0	0	0	0	1218	1598	0	0	0
RABGAP1L	161.578947	0	0	0	523	0	0	0	0	0	0	0	163	0	0	0	1079	1305	0	0	0
FSBP	161.526316	0	0	0	78	0	0	0	0	0	0	209	231	0	0	0	880	1671	0	0	0
DNMT3B	160.315789	0	0	0	273	0	0	0	0	0	0	0	1021	0	0	0	709	1043	0	0	0
FGD4	158.368421	0	0	0	376	0	0	0	0	0	0	0	216	0	0	241	762	1414	0	0	0
GSN	158.000000	0	0	0	260	0	0	0	0	0	0	273	686	0	278	328	440	737	0	0	0
RGPD2	154.157895	0	302	197	0	259	232	351	400	0	205	0	0	0	0	0	257	136	326	264	0
RGPD1	154.157895	0	302	197	0	259	232	351	400	0	205	0	0	0	0	0	257	136	326	264	0
FGFR2	153.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	1857	0	0	0
CRISPLD1	152.578947	0	0	0	229	0	0	0	0	0	0	437	1251	181	0	0	168	633	0	0	0
HESX1	150.368421	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	1143	1500	0	0	0
CER1	149.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	1768	0	0	0
PDZRN3	148.421053	0	175	220	150	0	0	480	478	0	214	0	0	1103	0	0	0	0	0	0	0
UGT2B10	147.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983	1817	0	0	0
CDH10	147.052632	0	0	0	177	0	0	0	0	0	0	0	299	0	0	0	874	1444	0	0	0
SLC16A3	146.789474	0	487	2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLFN12	146.000000	71	105	1440	0	0	0	0	0	0	0	0	459	141	0	0	138	420	0	0	0
FRRS1L	144.684211	0	0	0	122	0	0	0	0	0	0	233	1024	0	0	0	536	834	0	0	0
SYNPO2	143.947368	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	880	1701	0	0	0
SNX16	143.263158	140	262	457	88	0	121	0	0	125	171	0	220	0	0	138	381	619	0	0	0
UNC5D	143.052632	0	0	0	155	0	0	0	0	0	0	0	201	0	0	0	733	1629	0	0	0
ZNF398	141.789474	216	269	576	188	0	0	0	0	0	0	0	0	371	0	0	0	0	527	547	0
ZNF425	140.000000	216	269	576	154	0	0	0	0	0	0	0	0	371	0	0	0	0	527	547	0
KLHL4	139.421053	0	0	0	0	0	0	0	0	0	0	127	448	0	0	173	651	1250	0	0	0
PIK3C2B	138.052632	122	148	938	94	129	0	0	0	0	0	0	0	358	0	0	0	0	408	426	0
HNRNPU	137.684211	0	0	381	136	0	0	0	0	0	0	0	0	495	0	0	0	0	790	814	0
RCAN1	135.473684	136	0	795	250	0	0	0	0	0	0	207	387	161	114	234	0	0	146	144	0
H1-2	135.421053	121	177	891	0	104	83	75	74	0	0	0	0	204	0	0	145	389	153	157	0
HDAC9	135.210526	0	0	0	211	0	0	0	0	0	0	148	519	0	0	103	432	1156	0	0	0
PERP	135.105263	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	917	1549	0	0	0
TIMP4	133.473684	0	0	0	0	0	0	0	0	0	0	246	765	0	0	0	460	1065	0	0	0
NUDT4B	133.368421	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	830	1555	0	0	0
WDR49	132.789474	0	0	0	0	0	0	0	0	0	0	233	575	278	0	0	488	949	0	0	0
SMARCA2	127.473684	0	0	0	112	0	0	0	0	0	0	0	767	144	0	0	473	926	0	0	0
PRICKLE1	127.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	1493	0	0	0
FBXO40	126.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	1601	0	0	0
RFFL	124.684211	0	0	0	0	0	0	0	0	0	0	139	449	0	0	0	641	1140	0	0	0
ANK2	124.526316	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	688	1420	0	0	0
LIN28B	123.789474	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	885	1194	0	0	0
NFE2	123.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	1394	0	0	0
ARHGEF37	122.210526	0	0	0	131	0	0	0	0	0	0	608	600	0	0	0	420	563	0	0	0
CLNS1A	121.000000	0	119	778	328	0	0	0	0	0	0	0	0	227	0	0	0	0	406	441	0
MAP2K5	119.421053	0	0	0	210	0	0	0	0	0	0	378	590	0	0	0	323	768	0	0	0
MMP10	119.052632	0	0	0	0	0	0	0	0	0	0	484	1172	0	0	0	227	379	0	0	0
MAP3K8	118.842105	0	0	697	158	0	0	0	0	0	0	0	0	491	0	0	0	130	373	409	0
ZBED6CL	117.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	1472	0	0	0
GFRA1	117.842105	0	0	0	0	0	0	0	0	0	0	779	1229	231	0	0	0	0	0	0	0
SLC11A2	117.052632	0	0	509	233	0	0	0	0	0	0	0	123	0	0	0	149	375	404	431	0
TP53BP1	116.157895	0	0	0	305	0	0	0	0	0	0	0	95	0	0	0	624	1183	0	0	0
TNK2	115.157895	0	110	473	0	0	0	0	0	0	82	0	0	378	0	0	0	125	498	522	0
VEZT	114.052632	0	0	0	205	0	0	0	0	0	0	114	0	0	0	0	545	1303	0	0	0
LRRTM4	114.052632	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	746	1266	0	0	0
FGD6	114.052632	0	0	0	205	0	0	0	0	0	0	114	0	0	0	0	545	1303	0	0	0
SLC15A2	113.842105	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	853	1168	0	0	0
DACH2	113.736842	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	737	1274	0	0	0
PTPRD	113.105263	0	0	0	211	0	0	0	0	0	0	424	566	0	0	0	320	628	0	0	0
KCTD6	112.684211	0	0	0	179	0	0	0	0	0	0	343	483	183	0	0	367	586	0	0	0
PLPP2	111.842105	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	693	1260	0	0	0
MTCL1	111.157895	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	597	1373	0	0	0
NRG1	109.526316	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	649	1321	0	0	0
SNRPN	109.052632	0	0	0	143	0	0	0	0	0	0	0	224	0	0	0	550	1155	0	0	0
PCYT1B	108.631579	0	0	0	112	0	0	0	0	0	0	0	263	0	0	0	675	1014	0	0	0
CTNND2	107.947368	0	0	0	266	0	0	0	0	0	0	143	655	269	0	0	193	525	0	0	0
NUP54	107.684211	0	0	166	436	0	0	0	0	0	0	0	0	0	0	0	374	796	138	136	0
CCN2	107.421053	0	0	0	103	0	0	0	0	0	0	171	835	0	0	0	247	685	0	0	0
SF1	107.263158	0	0	1358	274	0	0	0	0	0	0	0	0	0	0	0	0	0	203	203	0
SPATA22	106.947368	0	0	0	0	0	0	0	0	0	0	412	894	0	0	0	249	477	0	0	0
TBC1D16	106.789474	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	678	1198	0	0	0
DLG2	106.631579	0	0	0	251	0	0	0	0	0	0	255	201	0	0	0	491	828	0	0	0
IGSF1	106.315789	0	0	200	0	0	0	315	313	0	0	0	0	417	0	0	0	0	384	391	0
TRPM3	105.052632	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	745	1094	0	0	0
OR51H1	104.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	1333	0	0	0
WLS	102.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	966	0	0	0
L3MBTL4	101.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	1305	0	0	0
SPAG9	100.315789	0	0	0	180	0	0	0	0	0	0	199	450	0	0	0	522	555	0	0	0
ZSCAN10	100.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	1239	0	0	0
FBP1	99.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	1205	0	0	0
RASAL2	99.105263	0	0	0	221	0	0	0	0	0	0	167	561	125	0	0	238	571	0	0	0
GADD45G	98.894737	0	0	0	107	0	0	0	0	0	0	0	358	0	0	0	401	1013	0	0	0
C1orf127	98.894737	0	0	0	0	0	0	0	0	0	0	455	900	0	0	0	223	301	0	0	0
FAM120B	98.789474	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	399	989	0	0	0
ACCS	97.631579	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	538	979	0	0	0
MTUS1	97.526316	0	0	0	122	0	0	0	0	0	0	0	245	91	0	0	533	862	0	0	0
DPPA4	96.947368	0	0	0	0	0	0	0	0	0	0	96	308	88	0	0	563	787	0	0	0
PIP4P2	96.263158	0	0	0	210	0	0	0	0	0	0	0	495	0	0	0	227	897	0	0	0
NEBL	95.631579	0	0	0	146	0	0	0	0	0	0	448	341	169	0	293	189	231	0	0	0
KCNN2	95.578947	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	573	1049	0	0	0
TFDP2	95.368421	0	0	0	298	0	0	0	0	0	0	201	399	163	0	0	207	544	0	0	0
DPYSL2	95.157895	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	479	1171	0	0	0
REST	94.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	1286	0	0	0
CCDC15	94.000000	0	0	545	374	0	0	81	81	0	0	0	0	255	0	0	0	0	226	224	0
RGS12	93.842105	0	0	0	142	0	0	0	0	0	0	320	890	68	0	0	0	363	0	0	0
NUP214	93.473684	0	0	0	389	0	0	0	0	0	0	350	761	0	0	0	0	0	131	145	0
PAM	93.315789	0	0	0	133	0	0	0	0	0	0	0	407	106	0	0	447	680	0	0	0
AJUBA	93.315789	0	0	0	142	0	0	0	0	0	0	182	979	0	0	0	0	470	0	0	0
PI4KB	92.842105	106	180	293	360	0	0	0	0	0	0	0	0	293	0	0	0	0	266	266	0
SYTL2	92.473684	0	0	0	134	0	0	0	0	0	0	0	471	0	0	182	390	580	0	0	0
S100A2	91.421053	0	0	0	0	0	0	0	0	0	0	186	805	0	280	347	0	119	0	0	0
DST	91.000000	0	0	0	145	0	0	0	0	0	0	0	0	0	0	127	435	1022	0	0	0
GCNT2	90.578947	0	0	0	111	0	0	0	0	0	0	130	744	0	0	0	224	512	0	0	0
ERMN	90.315789	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	587	848	0	0	0
NEDD9	88.736842	0	0	0	216	0	0	0	0	0	0	378	753	0	0	0	0	339	0	0	0
SET	88.368421	0	0	0	254	0	0	0	0	0	0	0	136	0	0	0	327	962	0	0	0
SASH1	87.473684	0	0	0	141	0	0	0	0	0	0	0	314	94	0	170	267	676	0	0	0
GSAP	87.263158	0	0	808	93	81	0	212	211	0	0	0	0	0	0	0	0	0	128	125	0
KCNIP4	87.157895	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	542	918	0	0	0
SSBP1	86.894737	0	0	258	409	0	0	157	156	0	0	0	0	109	0	0	0	0	279	283	0
CBX5	86.894737	0	0	0	418	0	0	0	0	0	0	0	284	102	169	115	156	407	0	0	0
JAKMIP1	86.578947	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	564	934	0	0	0
SGK3	86.473684	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	555	945	0	0	0
PTGS1	86.157895	0	0	0	0	0	0	0	0	0	0	148	622	0	0	0	232	635	0	0	0
IGDCC3	85.684211	0	0	0	0	0	0	0	0	0	0	141	419	0	0	0	309	759	0	0	0
GAS8	85.000000	0	0	0	97	0	0	0	0	0	0	293	0	0	0	0	398	827	0	0	0
CDHR3	84.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	1121	0	0	0
FOXP2	84.526316	92	0	218	0	0	0	197	196	0	151	0	0	752	0	0	0	0	0	0	0
CAMTA1	84.473684	0	0	0	281	0	0	0	0	0	0	320	830	0	0	0	0	174	0	0	0
DHRS3	83.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	458	1014	0	0	0
CCDC92	83.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	1069	0	0	0
NBDY	83.631579	73	179	664	0	0	0	187	190	0	0	0	0	296	0	0	0	0	0	0	0
ITGB8	82.947368	0	0	0	152	0	0	0	0	0	0	0	258	162	0	0	393	611	0	0	0
MEF2C	82.894737	0	0	0	99	0	0	0	0	0	0	206	516	0	0	145	285	324	0	0	0
DMD	82.263158	0	0	0	102	0	0	0	0	0	0	127	616	0	0	0	241	477	0	0	0
DCLK1	82.052632	0	0	0	133	0	0	0	0	0	0	0	315	0	0	0	410	701	0	0	0
SLC6A9	81.526316	0	0	0	264	0	0	0	0	0	0	0	1142	0	0	0	143	0	0	0	0
FDX2	81.368421	0	0	386	284	0	0	60	60	0	0	0	0	162	0	0	0	0	297	297	0
SELENOP	81.210526	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	592	847	0	0	0
GALNT8	80.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	910	0	0	0
ITPRIP	80.894737	0	0	0	119	0	0	0	0	0	0	157	550	100	0	0	231	380	0	0	0
CCDC169-SOHLH2	80.842105	0	0	0	224	0	0	0	0	0	0	0	276	0	0	0	167	869	0	0	0
CCDC169	80.842105	0	0	0	224	0	0	0	0	0	0	0	276	0	0	0	167	869	0	0	0
PHF3	80.736842	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	365	843	0	0	0
RGS5	80.421053	0	0	0	0	0	0	0	0	0	0	163	616	0	0	0	256	493	0	0	0
PDE4D	80.315789	0	0	0	187	0	0	0	0	0	0	178	227	97	0	0	266	571	0	0	0
CNN3	80.263158	0	0	0	188	0	0	0	0	0	0	170	383	79	0	0	196	509	0	0	0
RIF1	80.000000	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	347	877	0	0	0
DBNDD1	79.894737	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	398	827	0	0	0
PACSIN2	79.684211	0	0	0	189	0	0	0	0	0	0	266	973	0	0	0	0	86	0	0	0
PALM2AKAP2	79.631579	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	547	823	0	0	0
SLC2A14	79.578947	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	465	895	0	0	0
ADAR	79.315789	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	431	849	0	0	0
TDRP	78.631579	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	407	890	0	0	0
TBC1D22A	78.052632	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	418	804	0	0	0
RNF213	77.578947	0	0	0	109	0	0	0	0	0	0	140	524	0	0	0	182	519	0	0	0
RGMB	77.157895	0	0	0	0	0	0	0	0	0	0	70	450	0	0	0	352	594	0	0	0
HIP1	76.789474	0	0	0	250	0	0	0	0	0	0	0	181	0	0	0	311	717	0	0	0
DCAF10	76.578947	0	0	276	443	0	0	0	0	0	0	0	0	0	0	0	0	138	294	304	0
ANP32B	76.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	938	0	0	0
MAP3K12	75.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	872	0	0	0
RORA	75.789474	0	0	0	261	0	0	0	0	0	0	183	875	0	0	0	0	121	0	0	0
DESI2	75.315789	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	260	768	0	0	0
VOPP1	74.526316	0	0	0	0	0	0	0	0	0	0	0	261	0	0	105	325	725	0	0	0
MAP1B	74.473684	0	0	0	159	0	0	0	0	0	0	379	649	103	0	0	0	125	0	0	0
ZBTB20	74.421053	0	0	0	261	0	0	0	0	0	0	130	723	166	0	0	0	134	0	0	0
PPP2R1A	74.157895	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	405	641	0	0	0
PTPRZ1	73.894737	0	0	0	0	0	0	0	0	0	0	253	1011	0	0	0	0	140	0	0	0
ETS1	73.473684	0	0	0	257	0	0	310	310	0	168	0	0	351	0	0	0	0	0	0	0
WASHC1	73.368421	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	449	628	0
KLHL18	72.736842	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	323	543	0	0	0
KIF9	72.736842	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	323	543	0	0	0
PHLDB2	72.473684	0	0	0	177	0	0	0	0	0	0	0	131	0	0	0	435	634	0	0	0
SALL2	72.052632	0	0	0	153	0	0	0	0	0	0	0	81	0	0	0	346	789	0	0	0
ZBTB38	71.894737	0	0	0	178	0	0	0	0	0	0	142	743	0	0	94	0	209	0	0	0
RIPOR2	71.894737	0	0	0	114	0	0	0	0	0	0	0	353	0	0	0	391	508	0	0	0
CEACAM21	71.684211	0	0	0	0	0	0	0	0	0	0	149	935	104	0	0	0	174	0	0	0
ZNF202	71.473684	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	369	706	0	0	0
SLCO4C1	71.421053	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	454	802	0	0	0
ZNF343	71.315789	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	430	631	0	0	0
SMAD3	71.315789	0	0	0	107	0	0	0	0	0	0	0	0	0	294	0	233	721	0	0	0
SKIL	71.263158	0	0	0	143	0	0	0	0	94	0	0	211	0	288	0	206	412	0	0	0
HMGN1	71.210526	71	90	637	158	0	0	0	0	0	0	0	0	154	0	0	0	0	129	114	0
AHCYL2	71.210526	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	211	776	0	0	0
H4C11	71.105263	0	0	706	235	0	0	71	71	0	0	0	0	0	0	0	0	0	146	122	0
DNAH6	70.947368	119	0	163	392	0	0	0	0	0	0	0	0	449	0	0	0	0	108	117	0
PSMD9	70.789474	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	295	482	0	0	0
HPD	70.789474	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	295	482	0	0	0
FAM169A	70.631579	0	0	0	135	0	0	0	0	0	0	223	651	0	0	0	0	333	0	0	0
RBP1	70.526316	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	248	657	0	0	0
NIN	70.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	955	0	0	0
ABAT	70.421053	0	0	0	274	0	0	0	0	0	0	199	661	90	0	0	0	114	0	0	0
H2BC6	70.368421	0	0	136	106	0	0	0	0	0	0	0	0	0	0	0	328	767	0	0	0
TTC39B	70.210526	0	0	0	135	0	0	0	0	0	0	0	88	0	0	0	465	646	0	0	0
SLC44A2	70.105263	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	176	778	0	0	0
RGS3	70.105263	0	0	0	231	0	0	0	0	0	0	0	226	0	0	0	249	626	0	0	0
CNKSR3	69.947368	0	0	102	133	0	0	0	0	0	0	96	424	0	0	0	159	415	0	0	0
FOXP1	69.894737	0	93	0	241	0	0	0	0	0	0	0	203	86	0	0	283	422	0	0	0
TOP3B	69.789474	0	0	213	356	0	0	0	0	0	0	0	0	0	0	0	0	0	379	378	0
SEMA3C	69.421053	0	0	0	181	0	0	0	0	0	0	0	120	0	0	0	230	788	0	0	0
LRP10	69.421053	0	0	471	134	0	0	0	0	0	0	0	0	105	0	0	0	89	252	268	0
