Target_genes	TCF3|Average	SRX107286|CCRF-CEM	SRX190201|GM12878	SRX10477210|Hep_G2	SRX10477211|Hep_G2	SRX8736984|hESC_derived_neural_cells	SRX8736983|hESC_H1	SRX12024651|hESC_H9	SRX12024653|hESC_H9	SRX656347|ICN12	SRX128780|Jurkat_(Clone_E6-1)	SRX10478377|K-562	SRX10478378|K-562	SRX236115|Kasumi-1	SRX1212540|RAMOS	SRX7083392|RAMOS	SRX2043230|RCH-ACV	SRX158105|RPMI_8402	SRX158106|RPMI_8402	SRX2043226|SEM	STRING
CD2AP	440.368421	0	1086	0	0	0	0	0	0	1432	0	217	189	1057	159	179	3033	0	521	494	0
MYO18A	439.157895	0	317	0	0	71	0	0	0	0	0	900	1184	1807	0	0	2715	0	168	1182	0
ZNF451	436.105263	0	696	0	0	91	0	0	0	452	0	1939	2049	1167	0	0	1524	0	219	149	0
DENND4B	433.894737	0	970	0	0	0	0	0	0	1086	0	0	0	1310	0	0	2810	0	0	2068	0
C21orf58	433.157895	0	0	0	0	0	0	0	0	0	0	2017	2160	1268	0	0	600	205	1980	0	0
SVIP	423.157895	0	317	0	0	0	0	0	0	1272	0	0	138	2535	0	0	2103	218	1258	199	0
IQGAP2	422.894737	0	793	0	0	0	0	0	0	574	0	341	415	1139	0	0	1887	484	2121	281	0
MYO1C	413.473684	0	525	0	0	0	0	0	0	1044	0	1484	1696	390	0	0	1477	228	838	174	0
NIBAN3	413.210526	0	304	0	0	0	0	0	0	1534	0	0	0	2042	0	0	2869	0	275	827	0
DDIT4	411.894737	0	865	0	128	0	0	0	0	641	0	1465	1631	415	0	0	2425	0	0	256	0
PISD	403.157895	0	251	0	0	0	0	0	0	680	0	0	0	2009	0	158	3465	0	0	1097	0
NPAS4	401.368421	0	255	1456	1913	0	0	0	0	0	0	2156	1362	256	0	0	228	0	0	0	0
CAT	400.947368	0	118	0	0	0	0	0	0	630	0	1564	1671	1545	0	0	1808	0	0	282	0
ICAM2	400.842105	0	278	0	0	0	0	0	0	705	0	1406	1775	517	0	0	1613	94	1080	148	0
PPP1R18	400.578947	0	1352	0	0	0	0	0	0	1543	0	126	185	0	87	174	2241	0	0	1903	0
SERF2	399.631579	0	246	0	0	0	0	0	0	2039	0	0	120	972	0	0	3158	0	0	1058	0
UHRF2	398.894737	0	498	0	0	93	0	0	0	909	0	78	114	1528	112	190	3085	0	340	632	0
IGLL1	398.894737	0	0	0	0	0	0	0	0	1410	0	0	0	1800	0	0	1613	114	904	1738	0
SH3BP2	394.157895	0	285	0	0	0	0	0	0	1767	0	0	0	1525	0	0	2550	0	0	1362	0
ELL3	393.315789	0	246	0	0	0	0	0	0	2039	0	0	0	972	0	0	3158	0	0	1058	0
PIK3AP1	391.526316	0	484	0	0	0	0	0	0	1465	0	0	0	1267	0	0	2920	0	0	1303	0
RGL4	391.105263	0	113	0	0	0	0	0	0	1423	0	0	0	1999	0	0	3261	0	296	339	0
PRXL2B	389.473684	0	0	0	0	0	0	0	0	856	0	1432	1387	1545	0	0	2180	0	0	0	0
F2RL3	389.263158	0	1320	0	0	0	0	0	0	860	0	447	452	1611	0	0	1521	0	288	897	0
STAU2	387.157895	0	377	0	0	0	0	0	0	0	0	1520	1807	1366	0	0	1324	0	753	209	0
TACC1	386.947368	0	479	0	0	0	0	0	0	1201	0	0	0	2115	0	0	2731	0	0	826	0
ADA2	386.421053	0	92	0	0	0	0	0	0	1031	0	0	0	1778	0	0	3683	0	210	548	0
WAPL	386.263158	0	134	0	0	0	0	0	0	1363	0	0	74	247	0	0	3925	0	0	1596	0
PLSCR2	385.421053	0	365	0	0	0	0	0	0	374	0	1478	1931	0	0	0	3175	0	0	0	0
HHEX	385.315789	0	0	0	0	0	0	0	0	0	0	598	653	2151	0	0	666	452	2558	243	0
ARHGAP4	384.894737	0	0	0	0	0	0	0	0	1597	0	0	137	0	0	0	2341	284	1522	1432	0
OGG1	379.894737	0	335	0	0	0	0	0	0	1135	0	124	219	1646	0	0	3211	0	0	548	0
RFESD	373.947368	0	519	0	0	0	0	0	0	715	0	151	149	1778	0	0	3448	0	0	345	0
SLC39A3	373.315789	0	190	335	312	0	0	0	0	0	0	1601	1893	2246	0	0	349	0	167	0	0
GEMIN7	373.105263	0	904	0	0	0	0	0	0	1698	0	165	148	719	0	0	2516	0	0	939	0
MTRNR2L2	372.894737	0	771	621	976	695	631	0	0	0	0	890	1185	522	219	0	0	216	359	0	0
PRR5	371.947368	0	0	0	0	0	0	0	0	352	0	2155	2208	549	0	0	1803	0	0	0	0
SEPTIN9	370.157895	0	311	0	0	0	0	0	0	1074	0	646	694	1346	0	0	1956	0	158	848	0
VPREB1	365.736842	0	0	0	0	0	0	0	0	1349	0	0	0	249	0	0	2651	159	851	1690	0
ALDH3B1	365.421053	0	75	0	0	0	0	0	0	1614	0	882	1176	688	0	0	2350	0	0	158	0
C15orf62	364.842105	0	312	0	0	0	0	0	0	1494	0	0	0	771	98	0	2339	77	688	1153	0
CCDC114	362.947368	0	192	0	0	0	0	0	0	605	0	815	908	954	0	0	2382	106	510	424	0
CHCHD2	362.526316	0	251	0	0	0	0	0	0	92	0	1566	1780	459	0	0	482	360	1898	0	0
DAG1	362.157895	0	546	0	0	0	0	0	0	1038	0	0	0	0	0	0	4231	0	0	1066	0
KCNK3	362.052632	0	0	0	0	0	0	0	0	1829	0	0	0	0	0	0	3366	0	0	1684	0
CMIP	360.631579	0	0	0	0	0	0	0	0	0	0	2242	2339	1515	0	0	369	0	387	0	0
MAD2L2	359.842105	0	155	0	0	0	0	0	0	1361	0	146	214	886	0	0	3477	0	200	398	0
CYBC1	359.684211	0	546	0	0	0	0	0	0	1494	0	0	0	464	127	340	2593	0	357	913	0
LRRK2	359.421053	0	96	0	0	0	0	0	0	1339	0	0	0	761	0	0	3589	0	0	1044	0
ZSCAN31	358.421053	0	482	0	0	0	0	0	0	458	0	1692	1870	1283	0	0	630	0	276	119	0
CRKL	357.842105	0	239	0	0	0	0	0	0	145	0	1197	1691	1887	0	0	1448	0	0	192	0
ANK1	357.368421	0	0	0	206	0	0	0	0	78	0	1739	1941	168	0	0	2658	0	0	0	0
CD79A	357.157895	0	890	0	0	0	0	0	0	1851	0	0	0	208	135	0	2621	0	0	1081	0
PTCRA	356.526316	0	442	0	0	0	0	0	0	1711	0	0	0	132	0	0	3301	0	124	1064	0
CHPT1	353.736842	0	0	0	0	0	0	0	0	0	0	1774	1925	1904	0	0	988	0	0	130	0
PBXIP1	353.315789	0	220	0	0	0	0	0	0	1739	0	0	283	1976	0	0	1583	212	700	0	0
USP15	353.263158	0	292	0	96	0	0	0	0	1027	0	786	1119	1874	0	0	564	147	647	160	0
S100Z	352.421053	0	0	0	0	0	0	0	0	0	0	1937	2408	1153	0	0	0	178	1020	0	0
GHRL	351.210526	0	0	0	0	0	0	0	0	1019	0	307	441	1794	0	0	2897	0	0	215	0
MEF2C	349.789474	0	372	0	0	0	0	0	0	1003	0	604	741	1551	0	0	1701	0	270	404	0
INSC	349.789474	0	0	0	0	0	0	0	0	1201	0	0	0	2104	0	0	2733	0	0	608	0
UNC13D	348.947368	0	107	0	0	0	0	0	0	1510	0	194	213	1430	0	0	2180	177	399	420	0
CCL4L2	348.684211	0	211	0	0	0	0	0	0	1711	0	0	0	1925	0	0	2335	0	0	443	0
CCL4	348.684211	0	211	0	0	0	0	0	0	1711	0	0	0	1925	0	0	2335	0	0	443	0
SPN	347.894737	0	219	0	0	0	0	0	0	375	0	1362	1573	1382	0	0	1183	0	165	351	0
SPI1	347.736842	0	217	0	0	0	0	0	0	322	0	1583	2061	1461	0	0	887	0	0	76	0
CARHSP1	347.684211	0	703	0	0	0	0	0	0	356	0	501	673	949	0	0	2066	0	187	1171	0
GRHL3	346.578947	0	0	0	0	0	0	0	0	672	0	165	228	461	0	0	3394	0	0	1665	0
THAP1	345.789474	0	429	0	0	0	0	0	0	999	0	0	0	1466	0	0	2949	0	370	357	0
CLTC	345.736842	0	775	0	0	0	0	0	0	1375	0	105	154	807	0	0	3007	0	0	346	0
PALM2AKAP2	345.684211	0	88	0	0	0	0	0	0	1456	0	0	0	0	0	0	3243	0	0	1781	0
RFX1	343.210526	0	0	0	0	180	0	0	0	658	0	2354	2443	306	0	0	580	0	0	0	0
ARHGEF18	342.000000	0	166	0	0	0	0	0	0	893	0	0	0	1958	0	0	2454	0	492	535	0
EEF1AKMT2	341.842105	0	312	116	78	0	0	0	0	797	0	65	137	1066	0	0	3459	0	0	465	0
LDLRAD4	341.684211	0	525	0	0	0	0	0	0	1046	0	0	0	1179	0	0	2405	198	828	311	0
KIAA1586	340.631579	0	95	0	0	0	0	0	0	236	0	2167	2202	497	0	0	1175	0	0	100	0
ITGA4	340.421053	0	201	0	0	0	0	0	0	1110	0	0	0	1988	0	0	2241	0	212	716	0
TCF7	339.894737	0	0	0	0	0	0	0	0	782	0	0	0	365	0	0	2604	171	835	1701	0
HMBS	338.894737	0	97	0	0	0	0	0	0	137	0	1856	2036	1497	0	0	601	0	121	94	0
IL21R	338.684211	0	715	0	0	0	0	0	0	1258	0	0	0	1008	128	67	2626	0	146	487	0
ERLIN2	338.631579	0	429	0	0	0	0	0	0	1054	0	90	160	1856	0	0	2549	0	164	132	0
RIPOR3	338.578947	0	0	0	0	0	0	0	0	137	0	2159	2122	294	0	0	1567	0	0	154	0
ZNF296	337.947368	0	904	0	0	0	0	0	0	1698	0	0	0	364	0	0	2516	0	0	939	0
RPS29	337.210526	0	583	0	0	0	0	0	0	858	0	111	107	1636	0	0	2498	0	222	392	0
ANXA4	337.000000	0	223	0	0	0	0	0	0	1057	0	0	140	2304	0	0	2505	0	0	174	0
SPNS3	335.684211	0	0	0	0	0	0	0	0	797	0	0	0	2173	0	0	2161	232	685	330	0
MAP2K3	335.210526	0	0	0	0	0	0	0	0	1808	0	0	0	1168	0	0	2582	0	94	717	0
MTRNR2L8	334.157895	0	610	537	795	480	477	0	0	128	0	623	852	821	164	0	0	171	380	311	0
ADGRE2	334.105263	0	0	0	0	0	0	0	0	959	0	0	0	744	0	0	3198	0	717	730	0
RGS3	333.052632	0	1107	0	0	0	0	0	0	1024	0	0	0	1709	0	0	1986	0	0	502	0
YPEL1	331.947368	0	190	0	0	0	0	0	0	724	0	186	248	290	0	0	3578	0	324	767	0
LRR1	331.578947	0	583	0	0	0	0	0	0	858	0	111	0	1636	0	0	2498	0	222	392	0
AAK1	330.000000	0	90	0	0	0	0	0	0	1057	0	0	140	2304	0	0	2505	0	0	174	0
USP6NL	329.684211	0	168	0	0	0	0	0	0	0	0	1593	1935	850	0	0	1452	0	136	130	0
DYNC2I1	329.684211	0	913	0	0	360	92	0	0	903	0	167	446	117	146	153	2441	0	0	526	0
ATP2C1	328.578947	0	124	0	0	0	0	0	0	0	0	794	1237	1171	0	0	952	262	1563	140	0
USP4	328.526316	0	687	0	0	0	0	0	0	647	0	134	342	1844	0	0	2231	0	152	205	0
UBA6	328.263158	0	779	0	0	0	0	0	0	765	0	0	192	2482	0	0	1722	0	0	297	0
MPIG6B	327.631579	0	0	0	0	0	0	0	0	1484	0	0	0	0	0	0	3709	145	497	390	0
RAB4B	327.210526	0	673	0	0	0	0	0	0	1227	0	0	0	1850	0	0	2156	0	124	187	0
ZNF652	326.894737	0	135	0	0	0	0	0	0	1082	0	212	218	1055	0	0	2495	0	253	761	0
SEMA4B	326.842105	0	247	0	0	0	0	0	0	1519	0	159	490	161	0	0	2842	0	0	792	0
GIMAP8	326.578947	0	115	0	0	0	0	0	0	1814	0	0	0	0	0	0	3167	0	0	1109	0
RPS6KA1	326.263158	0	0	0	0	0	0	0	0	1216	0	160	349	1354	0	0	2673	0	0	447	0
IGFBP7	323.894737	0	0	0	0	0	0	0	0	1010	0	0	0	2113	0	0	2782	0	0	249	0
FIGNL2	323.631579	0	0	0	0	0	0	0	0	1237	0	0	0	722	0	0	2510	0	1132	548	0
RHBDD1	323.368421	0	214	0	114	0	0	0	0	160	0	1732	1783	594	0	0	1424	0	0	123	0
POLM	322.578947	0	221	0	0	0	0	0	0	0	0	2187	2478	0	0	0	1243	0	0	0	0
MPO	322.368421	0	0	0	0	0	0	0	0	1136	0	0	0	1311	0	0	2745	0	0	933	0
DHX9	322.157895	0	172	0	0	0	0	0	0	0	0	1501	1910	1377	0	0	1161	0	0	0	0
CLN6	319.789474	0	506	0	0	0	0	0	0	297	0	114	87	1038	108	0	3134	0	0	792	0
ABCB8	318.315789	0	398	0	0	0	0	0	0	213	0	1306	1654	1344	0	0	1043	0	0	90	0
EHBP1L1	318.105263	0	0	0	0	0	0	0	0	0	0	1590	1725	1259	0	0	1470	0	0	0	0
RASGRP3	316.842105	0	582	0	0	0	0	0	0	329	0	971	1359	1754	0	0	518	0	214	293	0
KAZALD1	316.789474	0	621	0	0	0	0	0	0	1072	0	0	0	755	0	80	2241	0	230	1020	0
CBFA2T3	314.157895	0	639	0	0	0	0	0	0	570	0	1257	1406	505	0	0	1287	0	0	305	0
ISG20	314.052632	0	826	0	0	216	0	0	0	316	0	845	1256	453	0	0	1710	0	192	153	0
RASSF2	313.947368	0	113	0	0	0	0	0	0	949	0	0	0	992	0	0	3547	0	0	364	0
LST1	313.736842	0	0	0	0	0	0	0	0	1125	0	0	0	1818	0	0	1542	0	1006	470	0
AFF3	313.736842	0	1638	0	0	0	0	0	0	1499	0	0	0	0	0	0	2152	0	202	470	0
MALT1	313.578947	0	721	0	0	0	0	0	0	607	0	0	0	565	0	0	3277	0	0	788	0
ATG4D	313.052632	0	176	0	0	238	0	0	0	0	0	2049	2346	0	0	0	998	0	141	0	0
RABEP2	313.000000	0	174	0	0	0	0	0	0	518	0	1295	1785	187	0	0	1788	0	0	200	0
RBL1	312.526316	0	588	106	173	0	0	0	0	227	0	91	140	1157	133	187	2283	0	183	670	0
MGAT1	312.526316	0	177	0	0	0	0	0	0	795	0	0	0	2065	0	0	2349	0	272	280	0
LRRC14B	312.315789	0	911	0	0	0	0	0	0	1600	0	0	0	0	154	75	2346	0	0	848	0
TMEM87B	311.105263	0	410	0	0	0	0	0	0	0	0	1857	2346	151	0	0	891	0	0	256	0
CLIC4	310.947368	0	281	0	0	0	0	0	0	789	0	101	190	466	0	0	3299	0	0	782	0
MOB1B	310.842105	0	0	0	0	0	0	0	0	0	0	2415	2577	306	0	0	502	0	0	106	0
CD59	310.473684	0	184	0	0	0	0	0	0	265	0	1645	1828	481	0	0	1347	0	0	149	0
ATP8B2	310.473684	0	112	0	0	0	0	0	0	1010	0	0	0	2003	0	0	1572	195	1007	0	0
SOD2	310.263158	0	919	101	115	84	0	0	0	676	0	245	249	1448	0	0	1311	0	295	452	0
CALR	309.157895	0	492	0	0	0	0	0	0	128	0	0	0	1774	0	0	1572	345	1295	268	0
RBM6	308.263158	0	457	0	0	96	0	0	0	536	0	82	134	1854	0	0	2326	0	0	372	0
SLC3A2	308.210526	0	310	0	0	0	0	0	0	966	0	97	181	1499	0	0	2392	0	0	411	0
BANK1	306.842105	0	389	0	0	0	0	0	0	1357	0	0	0	395	0	0	2816	0	0	873	0
TCP11L2	306.789474	0	0	0	0	0	0	0	0	0	0	2098	2278	320	0	0	510	0	623	0	0
DBNDD1	306.684211	0	0	0	0	0	0	0	0	1278	0	0	0	1976	0	0	2079	0	112	382	0
RIMBP3C	306.000000	0	578	0	0	182	0	0	0	517	0	234	357	113	0	0	2789	0	0	1044	0
RIMBP3B	306.000000	0	578	0	0	182	0	0	0	517	0	234	357	113	0	0	2789	0	0	1044	0
ERMAP	305.842105	0	95	0	0	0	0	0	0	0	0	1441	1496	656	0	0	2004	0	0	119	0
CD19	305.263158	0	167	0	0	0	0	0	0	1758	0	0	0	423	0	0	2600	0	0	852	0
PPOX	305.210526	0	204	0	0	0	0	0	0	169	0	2160	2358	373	0	0	535	0	0	0	0
TRPM2	305.157895	0	102	0	0	0	0	0	0	796	0	0	0	1809	0	0	2381	0	0	710	0
FXYD2	305.052632	0	0	0	0	0	0	0	0	1076	0	0	0	708	0	0	2859	175	714	264	0
DOK3	303.684211	0	328	0	0	0	0	0	0	967	0	754	895	1169	0	0	1281	0	212	164	0
TMEM64	303.473684	0	0	0	0	0	0	0	0	0	0	1735	1843	958	0	0	1103	0	0	127	0
WTAP	302.157895	0	919	101	115	84	0	0	0	676	0	245	249	1448	0	0	1311	0	141	452	0
MBNL1	302.157895	0	234	0	0	0	0	0	0	0	0	855	1104	1517	0	0	1143	92	697	99	0
TMEM229B	302.052632	0	651	0	0	0	0	0	0	922	0	0	0	891	0	0	2882	0	0	393	0
PPFIBP2	301.631579	0	0	0	0	0	0	0	0	765	0	356	355	1030	0	0	2195	0	391	639	0
THRAP3	301.210526	0	145	0	0	0	0	0	0	323	0	648	710	1409	0	0	2260	0	0	228	0
SIGLECL1	301.105263	0	0	0	0	0	0	0	0	1158	0	238	339	2383	0	0	1425	0	0	178	0
H6PD	300.421053	0	228	0	0	0	0	0	0	677	0	0	0	1843	0	0	1507	258	906	289	0
MC1R	300.210526	0	163	0	139	0	0	0	0	1046	0	0	0	839	0	0	2805	0	222	490	0
CYB561	299.105263	0	95	0	0	0	0	0	0	95	0	0	87	2087	0	0	2191	169	825	134	0
CHRNA5	297.631579	0	112	0	0	0	0	0	0	0	0	637	538	909	0	0	582	384	2493	0	0
AMPD3	297.421053	0	198	0	0	0	0	0	0	367	0	951	1290	1164	131	153	839	0	422	136	0
PPP6R1	297.368421	0	381	0	134	0	0	0	0	180	0	218	408	1661	91	0	2344	0	0	233	0
MAN2A2	296.947368	0	0	0	0	0	0	0	0	319	0	2208	2391	207	0	0	517	0	0	0	0
PRPSAP1	296.894737	0	102	0	0	0	0	0	0	190	0	1462	1806	1377	0	0	582	0	0	122	0
MZB1	296.368421	0	700	0	0	0	0	0	0	1444	0	0	0	1009	0	0	1905	0	162	411	0
VILL	296.210526	0	0	0	107	0	0	0	0	0	0	2486	2811	0	0	0	0	0	224	0	0
CPXM1	295.894737	0	0	0	0	0	0	0	0	0	0	1207	1637	2386	0	0	230	0	0	162	0
BIN2	295.842105	0	278	0	0	0	0	0	0	847	0	0	0	0	0	0	3364	0	257	875	0
SYNRG	295.421053	0	630	0	0	0	0	0	0	126	0	789	1055	976	0	0	1639	0	0	398	0
LPXN	295.105263	0	671	0	0	0	0	0	0	847	0	118	0	1585	0	0	969	0	1131	286	0
UCHL5	294.315789	0	794	0	0	0	0	0	0	828	0	349	537	965	0	0	1909	0	0	210	0
RO60	294.315789	0	794	0	0	0	0	0	0	828	0	349	537	965	0	0	1909	0	0	210	0
CNKSR3	294.315789	0	0	0	0	0	0	0	0	0	0	1310	1740	822	0	0	1375	0	197	148	0
LGR6	293.894737	0	0	0	0	0	0	0	0	711	0	987	1527	605	0	0	1460	0	0	294	0
CCDC88A	293.105263	0	608	133	160	0	0	0	0	254	0	116	317	644	85	0	2721	0	0	531	0
KRI1	292.894737	0	125	0	0	0	0	0	0	768	0	0	103	1288	0	0	2197	103	358	623	0
ODC1	292.578947	0	1098	86	218	0	0	0	0	518	0	181	292	254	130	0	2413	0	0	369	0
ORAI3	292.263158	0	170	0	0	0	0	0	0	717	0	339	351	1428	0	0	1894	0	475	179	0
RINL	291.210526	0	0	0	0	0	0	0	0	1316	0	0	0	924	0	0	2446	0	0	847	0
RILP	291.210526	0	473	0	0	0	0	0	0	0	0	1123	1382	0	0	0	2302	0	0	253	0
TIPARP	290.052632	0	432	0	0	0	0	0	0	735	0	116	203	1085	0	0	2673	0	0	267	0
NDUFAF3	289.578947	0	429	0	0	182	0	0	0	835	0	0	0	481	143	231	2309	0	0	892	0
DALRD3	289.578947	0	429	0	0	182	0	0	0	835	0	0	0	481	143	231	2309	0	0	892	0
ULK4	289.105263	0	98	0	0	0	0	0	0	480	0	134	287	2052	0	0	2245	0	0	197	0
STARD10	288.526316	0	151	0	0	0	0	0	0	186	0	191	159	2702	0	0	1846	0	0	247	0
MX2	288.526316	0	522	0	0	0	0	0	0	910	0	0	0	865	0	0	2177	0	517	491	0
XKR7	288.368421	0	106	1292	1795	0	0	0	0	0	0	1323	755	0	0	0	208	0	0	0	0
ZBTB12	288.105263	0	431	0	0	0	0	0	0	1044	0	0	102	876	0	0	2770	0	0	251	0
ST6GAL1	288.052632	0	171	0	0	0	0	0	0	214	0	2098	2271	332	0	0	387	0	0	0	0
CCRL2	287.947368	0	0	0	0	0	0	0	0	102	0	1967	2094	129	0	0	1043	0	136	0	0
IQSEC3	287.842105	0	0	1141	1640	0	0	0	0	0	0	1003	769	395	0	0	521	0	0	0	0
NOS3	287.263158	0	0	0	0	0	0	0	0	0	0	1790	1962	1165	0	0	320	0	221	0	0
DENND2D	286.684211	0	285	0	0	0	0	0	0	516	0	0	0	617	0	0	2924	0	191	914	0
FLT3	286.157895	0	0	0	0	0	0	0	0	1323	0	0	0	0	0	0	2340	0	0	1774	0
TRAPPC9	286.105263	0	258	0	0	76	0	0	0	402	0	0	129	1398	0	0	2849	0	135	189	0
STX7	286.000000	0	108	0	79	0	0	0	0	514	0	799	713	215	0	0	2485	0	0	521	0
SDHAF2	285.947368	0	279	0	0	0	0	0	0	550	0	99	0	1461	0	0	2833	0	0	211	0
CPSF7	285.947368	0	279	0	0	0	0	0	0	550	0	99	0	1461	0	0	2833	0	0	211	0
POLDIP3	285.157895	0	1294	90	220	0	0	0	0	398	0	173	363	2032	0	0	848	0	0	0	0
UGP2	283.000000	0	164	0	84	0	0	0	0	759	0	284	314	1134	0	0	2095	0	0	543	0
HDAC6	281.631579	0	0	0	0	0	0	0	0	0	0	2075	2095	0	0	0	936	0	0	245	0
TMEM9	281.578947	0	174	0	0	0	0	0	0	0	0	1969	2193	674	0	0	340	0	0	0	0
ZNF341	281.157895	0	370	0	0	94	0	0	0	0	0	151	161	2320	107	0	1716	0	0	423	0
COX7A2L	280.631579	0	0	0	0	0	0	0	0	0	0	1394	1634	1786	0	0	518	0	0	0	0
SNU13	280.421053	0	0	0	0	0	0	0	0	905	0	85	79	927	0	0	3120	0	0	212	0
GUK1	279.736842	0	165	0	0	66	0	0	0	285	0	2053	2399	0	0	0	347	0	0	0	0
ARHGAP25	279.315789	0	350	0	0	0	0	0	0	613	0	168	197	2106	0	0	1258	0	0	615	0
FKBP8	279.263158	0	0	0	0	0	0	0	0	0	0	2125	2485	200	0	0	496	0	0	0	0
PSD4	279.157895	0	0	0	0	0	0	0	0	827	0	0	142	1580	0	0	2188	0	333	234	0
TRABD	279.052632	0	483	0	0	0	0	0	0	930	0	0	0	1151	0	0	1504	0	0	1234	0
DHTKD1	278.052632	0	198	0	0	0	0	0	0	377	0	0	139	2454	0	0	1416	0	0	699	0
NUF2	277.789474	0	949	0	255	0	0	0	0	414	0	402	391	1213	0	0	1519	0	0	135	0
SLC22A16	277.578947	0	0	0	0	0	0	0	0	1310	0	0	0	1945	0	0	832	0	1043	144	0
MDC1	277.421053	0	993	0	0	0	0	0	0	415	0	206	350	2188	0	0	1119	0	0	0	0
ABCB6	277.157895	0	445	0	0	0	0	0	0	0	0	1039	1660	1357	0	0	629	0	0	136	0
KCNAB2	276.894737	0	304	0	0	0	0	0	0	698	0	0	0	996	0	0	2591	0	143	529	0
FKBP1A	276.368421	0	209	0	0	0	0	0	0	271	0	0	0	1421	0	0	2519	0	394	437	0
HERC1	276.315789	0	311	0	0	0	0	0	0	144	0	2065	2212	0	0	0	518	0	0	0	0
GPT2	275.736842	0	0	0	0	0	0	0	0	269	0	0	204	2149	0	0	2264	0	0	353	0
BTNL10	274.736842	0	0	0	0	0	0	0	0	0	0	2189	2255	776	0	0	0	0	0	0	0
PLEC	274.210526	0	259	0	0	0	0	0	0	1089	0	0	0	993	0	0	1600	165	591	513	0
GPR146	273.473684	0	0	0	0	0	0	0	0	456	0	648	945	884	0	0	1873	0	241	149	0
CELSR3	273.210526	0	0	841	1004	0	0	0	0	0	0	683	329	0	0	0	2334	0	0	0	0
ELOVL1	272.842105	0	88	0	0	0	0	0	0	232	0	1372	1416	439	0	0	1533	0	0	104	0
PTPRCAP	272.684211	0	743	0	0	0	0	0	0	297	0	128	0	271	0	0	2372	0	279	1091	0
TMPPE	271.263158	0	110	0	0	0	0	0	0	0	0	2033	2327	129	0	0	464	0	0	91	0
GLB1	271.263158	0	110	0	0	0	0	0	0	0	0	2033	2327	129	0	0	464	0	0	91	0
CA13	270.842105	0	156	0	0	0	0	0	0	1018	0	0	0	206	0	0	3558	0	0	208	0
