Target_genes	NR5A2|Average	SRX10478059|A549	SRX10478060|A549	SRX702035|hESC_derived_mesendodermal_cells	SRX702034|hESC_HUES64	SRX359877|LoVo	SRX278609|MCF-7	STRING
MACROH2A1	358.666667	1509	643	0	0	0	0	0
ACAD9	354.833333	1111	1018	0	0	0	0	0
SLC4A8	354.000000	1068	1056	0	0	0	0	0
CELF3	352.666667	0	0	1041	1075	0	0	0
SFXN5	351.500000	1061	1048	0	0	0	0	0
EGLN1	350.333333	1091	1011	0	0	0	0	0
SETX	349.500000	1169	928	0	0	0	0	0
C1RL	345.333333	1076	996	0	0	0	0	0
SLC24A1	345.000000	1238	832	0	0	0	0	0
INTS14	345.000000	1238	832	0	0	0	0	0
NOP16	344.833333	1036	1033	0	0	0	0	0
HIGD2A	344.833333	1036	1033	0	0	0	0	0
P4HB	340.666667	979	1065	0	0	0	0	0
TSPAN13	333.166667	1055	944	0	0	0	0	0
NUDT3	331.000000	1136	850	0	0	0	0	0
BMF	329.166667	0	0	1051	924	0	0	0
POLE4	328.000000	1166	713	89	0	0	0	0
SMG1	327.666667	1028	938	0	0	0	0	0
KLHL18	327.500000	1032	933	0	0	0	0	0
KIF9	327.500000	1032	933	0	0	0	0	0
SPAG9	322.000000	858	1074	0	0	0	0	0
MPV17L2	321.000000	958	968	0	0	0	0	0
KPNA7	319.166667	1005	910	0	0	0	0	0
PFKM	318.833333	946	967	0	0	0	0	0
VPS26C	318.000000	1141	767	0	0	0	0	0
ADAMTS10	317.833333	1104	803	0	0	0	0	0
HSP90B1	317.000000	865	1037	0	0	0	0	0
GPRC5A	317.000000	1010	892	0	0	0	0	0
C19orf33	314.500000	913	974	0	0	0	0	0
GDI2	312.000000	1300	572	0	0	0	0	0
PSMC3IP	311.000000	905	961	0	0	0	0	0
MAN2C1	310.666667	995	869	0	0	0	0	0
JARID2	307.000000	0	0	965	877	0	0	0
LDHB	303.500000	971	850	0	0	0	0	0
AHCY	302.000000	897	915	0	0	0	0	0
RBM34	301.666667	952	858	0	0	0	0	0
GOT1	300.000000	975	825	0	0	0	0	0
ZCCHC14	299.666667	920	878	0	0	0	0	0
MED26	299.500000	937	860	0	0	0	0	0
ZNF582	297.000000	944	838	0	0	0	0	0
DECR1	293.666667	928	834	0	0	0	0	0
MYL5	293.000000	929	829	0	0	0	0	0
ATP5ME	293.000000	929	829	0	0	0	0	0
TK1	292.666667	973	783	0	0	0	0	0
ARHGEF12	290.500000	1087	656	0	0	0	0	0
ZNF444	288.166667	880	849	0	0	0	0	0
USP19	288.166667	1099	630	0	0	0	0	0
WDR36	287.833333	984	743	0	0	0	0	0
DGAT1	284.333333	923	783	0	0	0	0	0
ZNF446	283.500000	902	799	0	0	0	0	0
MIDN	282.166667	880	813	0	0	0	0	0
HNRNPUL1	279.500000	912	765	0	0	0	0	0
TRIP11	278.500000	789	882	0	0	0	0	0
CD99L2	277.500000	734	931	0	0	0	0	0
CENPN	275.666667	965	689	0	0	0	0	0
PXMP2	272.166667	0	0	870	763	0	0	0
POLE	272.166667	0	0	870	763	0	0	0
TTI2	271.500000	1074	555	0	0	0	0	0
NDUFS7	271.500000	780	849	0	0	0	0	0
AFG3L2	271.333333	1144	484	0	0	0	0	0
MKRN2	271.166667	996	631	0	0	0	0	0
ARID3A	270.833333	0	0	973	652	0	0	0
REEP3	269.666667	982	636	0	0	0	0	0
JMJD1C	269.666667	982	636	0	0	0	0	0
METTL18	263.166667	862	717	0	0	0	0	0
C1orf112	263.166667	862	717	0	0	0	0	0
PREX1	262.333333	389	251	479	455	0	0	0
ISOC2	261.166667	762	805	0	0	0	0	0
SPTLC2	260.833333	863	702	0	0	0	0	0
NT5C2	260.833333	0	0	797	768	0	0	0
ZNF76	260.333333	874	688	0	0	0	0	0
ATP5MF-PTCD1	258.000000	766	782	0	0	0	0	0
ATP5MF	258.000000	766	782	0	0	0	0	0
RFT1	257.500000	783	762	0	0	0	0	0
KRT80	255.333333	841	691	0	0	0	0	0
ERRFI1	255.333333	747	785	0	0	0	0	0
PPIA	254.500000	826	701	0	0	0	0	0
CHCHD10	254.333333	773	753	0	0	0	0	0
CCS	253.333333	908	612	0	0	0	0	0
CCDC87	253.333333	908	612	0	0	0	0	0
MSANTD4	252.666667	672	844	0	0	0	0	0
PANK2	252.500000	1028	487	0	0	0	0	0
NOXA1	252.000000	1063	449	0	0	0	0	0
PPP3CB	251.166667	0	0	790	717	0	0	0
GTPBP8	250.833333	855	650	0	0	0	0	0
CHD2	249.833333	612	887	0	0	0	0	0
PPP6R3	249.666667	824	674	0	0	0	0	0
TATDN1	248.833333	774	719	0	0	0	0	0
NDUFB9	248.833333	774	719	0	0	0	0	0
HADHB	248.500000	830	661	0	0	0	0	0
HADHA	248.500000	830	661	0	0	0	0	0
MICOS10-NBL1	247.500000	852	633	0	0	0	0	0
MICOS10	247.500000	852	633	0	0	0	0	0
C15orf61	247.500000	781	704	0	0	0	0	0
MRPL28	246.666667	0	0	831	649	0	0	0
BLOC1S1	246.333333	822	656	0	0	0	0	0
MTRNR2L8	245.833333	0	0	453	206	0	816	0
ANKRD39	245.166667	860	611	0	0	0	0	0
FAM234A	245.000000	750	720	0	0	0	0	0
NHLRC1	242.833333	827	630	0	0	0	0	0
SCARB1	242.666667	870	586	0	0	0	0	412
CLUL1	241.500000	797	652	0	0	0	0	0
KIAA0895L	240.166667	831	610	0	0	0	0	0
TNRC6B	239.333333	812	624	0	0	0	0	0
RXFP4	239.000000	784	650	0	0	0	0	0
CHRFAM7A	238.166667	676	753	0	0	0	0	0
EEF1A1	236.333333	0	0	648	770	0	0	0
HERC2	235.166667	771	640	0	0	0	0	0
AMN1	234.500000	0	0	832	575	0	0	0
DDIT3	234.333333	495	481	220	210	0	0	0
SMU1	234.000000	723	681	0	0	0	0	0
CCDC106	232.000000	0	0	763	629	0	0	0
IBTK	231.666667	670	720	0	0	0	0	0
LEMD3	231.500000	418	382	358	231	0	0	0
TXNRD1	230.500000	688	695	0	0	0	0	0
ABCA5	230.500000	708	675	0	0	0	0	0
SFXN4	230.166667	659	722	0	0	0	0	0
FBXL5	230.166667	695	686	0	0	0	0	0
RELA	228.666667	0	0	771	601	0	0	0
NUP50	228.666667	747	625	0	0	0	0	0
ANKRD18A	228.666667	641	518	213	0	0	0	0
ESRRA	228.333333	629	741	0	0	0	0	0
TRIQK	228.000000	696	672	0	0	0	0	0
SNX15	227.500000	0	0	726	639	0	0	0
TXN2	226.833333	872	489	0	0	0	0	0
SMAD7	226.000000	866	490	0	0	0	0	0
MED23	223.166667	745	594	0	0	0	0	0
PXMP4	222.500000	582	753	0	0	0	0	0
MSI2	222.500000	701	634	0	0	0	0	0
NT5E	222.333333	746	588	0	0	0	0	0
LOC100289561	221.833333	0	0	806	525	0	0	0
NDUFA6	221.666667	747	583	0	0	0	0	0
RBCK1	221.000000	719	607	0	0	0	0	0
VPS29	219.666667	418	401	256	243	0	0	0
RAD9B	219.666667	418	401	256	243	0	0	0
LARP1	218.833333	664	649	0	0	0	0	0
DLD	218.500000	726	585	0	0	0	0	0
GPR3	218.166667	718	591	0	0	0	0	0
ABHD17C	217.833333	808	499	0	0	0	0	0
E2F4	217.333333	0	0	645	659	0	0	0
TSKU	217.166667	0	0	601	702	0	0	0
SLF2	216.666667	770	530	0	0	0	0	0
MTFP1	216.333333	179	159	547	413	0	0	0
DHX40	216.166667	582	589	126	0	0	0	0
ARL2BP	216.000000	793	503	0	0	0	0	0
FZD1	214.166667	0	0	665	620	0	0	0
TMEM63C	213.166667	0	0	676	603	0	0	0
DNAH7	212.666667	803	473	0	0	0	0	0
B4GALT5	212.166667	181	0	566	526	0	0	0
NME2	212.000000	713	559	0	0	0	0	0
STPG1	211.666667	624	646	0	0	0	0	0
NIPAL3	211.666667	624	646	0	0	0	0	0
MTRNR2L2	211.333333	0	0	417	248	0	603	0
AVPI1	211.333333	788	480	0	0	0	0	0
TMEM184C	210.500000	657	606	0	0	0	0	0
CAPRIN2	210.500000	732	531	0	0	0	0	0
TRAF4	210.333333	706	556	0	0	0	0	0
VCL	209.000000	647	607	0	0	0	0	0
GSTM4	208.833333	671	582	0	0	0	0	0
SCARA5	208.666667	713	539	0	0	0	0	0
PDCD5	208.500000	889	362	0	0	0	0	0
ZNF341	207.500000	989	256	0	0	0	0	0
SHBG	207.500000	663	582	0	0	0	0	0
SAT2	207.500000	663	582	0	0	0	0	0
PHF8	207.500000	693	552	0	0	0	0	0
ALDH3B1	207.166667	611	632	0	0	0	0	0
MTX2	207.000000	664	578	0	0	0	0	0
WDR82	206.833333	598	643	0	0	0	0	0
ARNTL	205.833333	743	492	0	0	0	0	0
CCDC71L	205.500000	730	503	0	0	0	0	0
PON3	205.000000	716	514	0	0	0	0	0
MYO18A	204.833333	730	499	0	0	0	0	0
STEAP1	204.500000	748	479	0	0	0	0	0
LIG3	204.500000	724	503	0	0	0	0	0
POM121	204.333333	0	0	711	515	0	0	0
C1orf53	204.333333	704	522	0	0	0	0	0
TBC1D15	203.166667	367	564	155	133	0	0	0
ZBTB49	203.000000	630	588	0	0	0	0	0
LYAR	203.000000	630	588	0	0	0	0	0
PPIF	202.500000	607	608	0	0	0	0	0
PDE8A	202.333333	815	399	0	0	0	0	0
CYRIB	202.000000	682	530	0	0	0	0	0
PUSL1	201.666667	0	0	623	587	0	0	0
ACAP3	201.666667	0	0	623	587	0	0	0
C1GALT1	201.333333	685	523	0	0	0	0	0
COX6A1	201.166667	592	615	0	0	0	0	0
NEK3	200.333333	360	284	331	227	0	0	0
ZFYVE27	199.333333	392	448	204	152	0	0	0
SRXN1	199.333333	621	575	0	0	0	0	0
C20orf27	199.333333	639	557	0	0	0	0	0
ZC3H10	197.833333	474	713	0	0	0	0	0
TEX264	197.333333	719	465	0	0	0	0	0
LAMTOR5	197.166667	630	553	0	0	0	0	0
RBAK-RBAKDN	197.000000	0	0	656	526	0	0	0
RBAK	197.000000	0	0	656	526	0	0	0
GOLGA1	197.000000	716	466	0	0	0	0	0
RRP9	196.833333	624	557	0	0	0	0	0
RILPL1	196.833333	664	517	0	0	0	0	0
PARP3	196.833333	624	557	0	0	0	0	0
OGFOD2	196.000000	0	0	648	528	0	0	0
PRADC1	194.500000	591	576	0	0	0	0	0
LMTK3	194.500000	615	552	0	0	0	0	0
CCT7	194.500000	591	576	0	0	0	0	0
PLP2	194.166667	557	608	0	0	0	0	0
RHBDD3	193.666667	0	0	581	581	0	0	0
EWSR1	193.666667	0	0	581	581	0	0	0
EPHX2	193.500000	801	360	0	0	0	0	0
XPC	193.000000	753	405	0	0	0	0	0
LSM3	193.000000	753	405	0	0	0	0	0
KHDRBS3	192.833333	624	533	0	0	0	0	0
C6orf136	192.333333	563	591	0	0	0	0	0
ZFP1	192.166667	0	0	607	546	0	0	0
NDUFB1	191.833333	598	553	0	0	0	0	0
CPSF2	191.833333	598	553	0	0	0	0	0
CAPN1	190.500000	630	513	0	0	0	0	0
CDC25B	188.833333	497	636	0	0	0	0	0
AP3M2	187.500000	494	631	0	0	0	0	0
PGP	187.166667	668	455	0	0	0	0	0
IFNAR1	187.000000	538	584	0	0	0	0	0
NIPAL2	185.333333	540	572	0	0	0	0	0
WDR13	185.000000	581	529	0	0	0	0	0
ELP5	184.833333	575	534	0	0	0	0	0
CTDNEP1	184.833333	575	534	0	0	0	0	0
H4C8	184.500000	551	556	0	0	0	0	0
CHKA	183.666667	645	457	0	0	0	0	0
NBR1	182.166667	602	491	0	0	0	0	0
RBL1	181.500000	718	371	0	0	0	0	0
TMEM185B	180.833333	646	439	0	0	0	0	0
NR2F6	180.833333	600	485	0	0	0	0	0
PDHX	180.666667	553	531	0	0	0	0	0
APIP	180.666667	553	531	0	0	0	0	0
CLUH	179.666667	551	527	0	0	0	0	0
AASDH	179.500000	611	466	0	0	0	0	0
MB	179.333333	609	467	0	0	0	0	0
NDUFAF5	179.166667	648	427	0	0	0	0	0
ESF1	179.166667	648	427	0	0	0	0	0
H4C9	178.500000	523	548	0	0	0	0	0
TPRA1	178.166667	0	0	569	500	0	0	0
USP42	177.500000	240	116	356	353	0	0	0
TCTEX1D4	177.333333	664	400	0	0	0	0	0
BUD13	177.333333	646	418	0	0	0	0	0
BTBD19	177.333333	664	400	0	0	0	0	0
FZD4	177.000000	397	325	171	169	0	0	0
IL13RA1	176.666667	558	502	0	0	0	0	0
CLPX	176.500000	556	503	0	0	0	0	0
COX14	175.500000	604	449	0	0	0	0	0
CRYZL2P-SEC16B	174.333333	537	509	0	0	0	0	0
PDK1	173.666667	403	639	0	0	0	0	0
UBR1	173.500000	0	0	513	528	0	0	0
MAP4K1	173.333333	530	510	0	0	0	0	0
EIF3K	173.333333	530	510	0	0	0	0	0
GPT2	172.333333	437	597	0	0	0	0	0
ATP2B1	172.333333	554	480	0	0	0	0	0
ITPR2	171.666667	574	456	0	0	0	0	0
ATP5MC2	170.833333	534	491	0	0	0	0	0
AKAP11	169.833333	274	324	194	227	0	0	0
CD46	169.500000	567	450	0	0	0	0	0
NOC3L	169.166667	458	392	165	0	0	0	0
PBDC1	168.833333	600	413	0	0	0	0	0
COQ10B	168.666667	555	457	0	0	0	0	0
TRUB1	168.500000	417	594	0	0	0	0	0
PTPRH	168.333333	631	379	0	0	0	0	0
ODC1	167.500000	534	347	124	0	0	0	0
RBM18	167.166667	433	459	111	0	0	0	0
MRRF	167.166667	433	459	111	0	0	0	0
DOLPP1	166.333333	405	593	0	0	0	0	0
PIAS3	166.166667	0	0	496	501	0	0	0
JUNB	166.000000	614	382	0	0	0	0	0
TIMMDC1	165.833333	504	491	0	0	0	0	0
RCOR3	165.833333	588	407	0	0	0	0	0
SDF4	165.333333	531	364	97	0	0	0	0
B3GALT6	165.333333	531	364	97	0	0	0	0
MUL1	165.166667	451	540	0	0	0	0	0
MTUS1	165.000000	561	429	0	0	0	0	0
CCNL1	164.166667	639	346	0	0	0	0	0
TPI1	163.333333	593	387	0	0	0	0	0
POLR2D	163.166667	544	435	0	0	0	0	0
VWA5A	163.000000	0	0	532	446	0	0	0
OGDH	162.833333	638	339	0	0	0	0	0
EPS8L2	162.666667	548	428	0	0	0	0	0
DEAF1	162.666667	548	428	0	0	0	0	0
BAZ2A	162.666667	585	391	0	0	0	0	0
PPIP5K2	162.333333	543	431	0	0	0	0	0
GIN1	162.333333	543	431	0	0	0	0	0
SDHD	162.000000	532	440	0	0	0	0	0
SPATA17	161.333333	492	476	0	0	0	0	0
SLFN13	161.333333	560	408	0	0	0	0	0
GPATCH2	161.333333	492	476	0	0	0	0	0
ARID4A	161.333333	512	456	0	0	0	0	0
ACSS2	161.000000	563	403	0	0	0	0	0
ANO6	160.500000	570	393	0	0	0	0	0
UCKL1	160.166667	660	301	0	0	0	0	0
TMEM268	159.166667	551	404	0	0	0	0	0
PELATON	159.000000	452	502	0	0	0	0	0
TTC32	158.833333	589	364	0	0	0	0	0
RABEP1	157.666667	484	462	0	0	0	0	0
REXO5	157.166667	499	444	0	0	0	0	0
RABEP2	157.166667	543	400	0	0	0	0	0
PROCA1	157.166667	571	372	0	0	0	0	0
ERI2	157.166667	499	444	0	0	0	0	0
ZNF23	157.000000	520	422	0	0	0	0	0
CLYBL	156.666667	610	330	0	0	0	0	0
SRP19	156.333333	249	198	336	155	0	0	0
MAFK	156.333333	438	500	0	0	0	0	0
PHF7	155.500000	525	408	0	0	0	0	0
NAPEPLD	155.500000	542	391	0	0	0	0	0
BAP1	155.500000	525	408	0	0	0	0	0
MLLT11	154.833333	584	345	0	0	0	0	0
CDC42SE1	154.833333	584	345	0	0	0	0	0
TRIP4	154.666667	528	400	0	0	0	0	0
SMIM12	154.666667	480	448	0	0	0	0	0
HSPA6	153.333333	516	404	0	0	0	0	0
TARS1	152.500000	477	438	0	0	0	0	0
DMPK	152.333333	529	385	0	0	0	0	0
AXL	151.833333	617	294	0	0	0	0	0
IFRD1	151.500000	506	403	0	0	0	0	0
CPNE2	151.500000	651	258	0	0	0	0	0
ST8SIA1	150.833333	552	353	0	0	0	0	0
C12orf65	150.833333	543	362	0	0	0	0	0
BACE2	150.333333	653	249	0	0	0	0	0
SPPL2A	150.000000	542	358	0	0	0	0	0
FEM1B	149.666667	504	394	0	0	0	0	0
PGM1	149.500000	472	425	0	0	0	0	0
MGAT5	149.500000	0	0	493	404	0	0	0
SRRM2	148.833333	390	503	0	0	0	0	0
CAAP1	148.833333	420	473	0	0	0	0	0
NUP62CL	148.666667	442	450	0	0	0	0	0
DNAAF6	148.666667	442	450	0	0	0	0	0
RUSC1	147.833333	499	388	0	0	0	0	0
CYB5B	147.666667	492	394	0	0	0	0	0
ATXN7	147.666667	600	286	0	0	0	0	0
PAFAH1B1	147.333333	525	359	0	0	0	0	0
H2BC21	147.333333	550	334	0	0	0	0	0
H2AC21	147.333333	550	334	0	0	0	0	0
H2AC20	147.333333	550	334	0	0	0	0	0
SLC25A10	146.666667	579	301	0	0	0	0	0
RPP25	146.666667	371	509	0	0	0	0	0
FTCDNL1	146.166667	516	361	0	0	0	0	0
CDK9	145.666667	456	418	0	0	0	0	0
ANTXR1	145.500000	429	444	0	0	0	0	0
SIRT4	145.166667	353	518	0	0	0	0	0
ADRM1	145.166667	510	361	0	0	0	0	0
DUS2	144.833333	357	512	0	0	0	0	0
DDX28	144.833333	357	512	0	0	0	0	0
CCNT1	144.833333	530	339	0	0	0	0	0
COX5B	144.666667	547	321	0	0	0	0	0
B3GALT5	144.666667	0	0	501	367	0	0	0
HENMT1	144.500000	536	331	0	0	0	0	0
SMARCD3	144.166667	0	0	455	410	0	0	0
STOML2	143.833333	430	433	0	0	0	0	0
ARRB1	143.166667	594	265	0	0	0	0	0
CD59	142.833333	675	182	0	0	0	0	0
FUNDC2	142.666667	487	369	0	0	0	0	0
EP400	142.166667	548	305	0	0	0	0	0
GSTA4	141.333333	406	442	0	0	0	0	0
MXRA7	141.166667	541	306	0	0	0	0	0
NAGLU	140.666667	475	369	0	0	0	0	0
STXBP3	140.166667	447	394	0	0	0	0	0
CACYBP	140.166667	474	367	0	0	0	0	0
TFRC	139.833333	426	413	0	0	0	0	0
ZCCHC7	139.666667	321	169	202	146	0	0	0
SETD1A	139.166667	488	347	0	0	0	0	0
IER3IP1	138.833333	492	341	0	0	0	0	0
FAM199X	138.833333	504	329	0	0	0	0	0
ATL3	138.666667	195	129	270	238	0	0	0
NARS1	137.500000	384	441	0	0	0	0	0
UBE2D2	137.333333	489	335	0	0	0	0	0
POM121C	137.333333	0	0	474	350	0	0	0
BZW1	136.833333	0	0	486	335	0	0	0
ANKRD13D	136.833333	601	220	0	0	0	0	0
ZFP36L2	136.666667	474	346	0	0	0	0	0
FGL1	136.666667	455	365	0	0	0	0	0
MEST	136.500000	424	395	0	0	0	0	0
FDXACB1	136.500000	487	332	0	0	0	0	0
C11orf1	136.500000	487	332	0	0	0	0	0
SPIN1	136.333333	500	318	0	0	0	0	0
NAGK	135.666667	373	441	0	0	0	0	0
ZFP3	134.833333	452	357	0	0	0	0	0
YEATS4	134.333333	421	385	0	0	0	0	0
EEF2K	134.333333	460	346	0	0	0	0	0
CA2	134.166667	476	329	0	0	0	0	0
UBE2S	134.000000	440	364	0	0	0	0	0
RPL17-C18orf32	134.000000	0	0	502	302	0	0	0
RPL17	134.000000	0	0	502	302	0	0	0
ATP5MC1	134.000000	383	421	0	0	0	0	0
MRS2	133.833333	487	316	0	0	0	0	0
PDE4A	133.666667	445	357	0	0	0	0	0
LZTS3	133.666667	384	418	0	0	0	0	0
LRRC73	133.666667	501	301	0	0	0	0	0
MMACHC	133.333333	516	284	0	0	0	0	0
CCDC163	133.333333	516	284	0	0	0	0	0
IQSEC3	133.000000	403	395	0	0	0	0	0
PTMS	132.833333	423	374	0	0	0	0	0
OXNAD1	132.833333	437	360	0	0	0	0	0
DPH3	132.833333	437	360	0	0	0	0	0
ACADM	132.666667	434	362	0	0	0	0	0
CNOT6L	132.166667	440	353	0	0	0	0	0
CHAC2	132.000000	486	306	0	0	0	0	0
DENND4B	131.500000	447	342	0	0	0	0	0
TIGAR	131.000000	603	183	0	0	0	0	0
TMEM9	130.666667	87	102	320	275	0	0	0
TAPBPL	130.666667	426	358	0	0	0	0	0
UNKL	130.166667	396	385	0	0	0	0	0
RXRA	130.166667	485	296	0	0	0	0	0
PDE2A	129.833333	312	467	0	0	0	0	0
NUDT5	129.666667	426	352	0	0	0	0	0
CDC123	129.666667	426	352	0	0	0	0	0
BCL3	129.000000	399	375	0	0	0	0	0
SKIDA1	128.833333	452	321	0	0	0	0	0
STK25	128.500000	273	158	187	153	0	0	0
SLC39A10	128.333333	445	325	0	0	0	0	0
FAM193A	128.166667	435	334	0	0	0	0	0
JADE2	127.500000	420	345	0	0	0	0	0
CDKN2AIP	127.500000	452	313	0	0	0	0	0
BECN1	127.500000	445	320	0	0	0	0	0
TRMT12	127.333333	368	396	0	0	0	0	0
LUC7L2	127.333333	439	325	0	0	0	0	0
FMC1-LUC7L2	127.333333	439	325	0	0	0	0	0
FMC1	127.333333	439	325	0	0	0	0	0
ZNF805	127.166667	296	467	0	0	0	0	0
RAB35	127.166667	451	312	0	0	0	0	0
BDH1	127.000000	392	370	0	0	0	0	0
AJM1	127.000000	407	355	0	0	0	0	0
TIMM17A	126.333333	391	367	0	0	0	0	0
STEAP1B	126.000000	455	301	0	0	0	0	0
COQ7	125.833333	356	399	0	0	0	0	0
STAMBPL1	125.666667	434	320	0	0	0	0	0
MUC5B	125.666667	310	444	0	0	0	0	0
VDAC3	125.500000	328	425	0	0	0	0	0
RUNDC3B	125.500000	407	346	0	0	0	0	0
CAVIN3	125.500000	510	243	0	0	0	0	0
EGFR	125.333333	473	279	0	0	0	0	0
CNOT1	125.333333	351	401	0	0	0	0	0
MRPS30	125.166667	375	376	0	0	0	0	0
CIAO2A	125.000000	422	328	0	0	0	0	0
RNASEH1	124.666667	417	331	0	0	0	0	0
GAPDH	124.666667	397	351	0	0	0	0	0
CENPBD1	124.666667	487	261	0	0	0	0	0
AP3S1	124.500000	0	0	414	333	0	0	0
TRIM11	124.166667	320	425	0	0	0	0	0
BNIP1	123.833333	360	383	0	0	0	0	0
CIITA	123.666667	0	0	442	300	0	0	0
TMEM102	123.333333	340	400	0	0	0	0	0
NIPA2	123.333333	407	333	0	0	0	0	0
ZMAT5	123.000000	368	370	0	0	0	0	0
UQCR10	123.000000	368	370	0	0	0	0	0
ALDH3A2	122.333333	363	371	0	0	0	0	0
PAIP2	122.000000	437	295	0	0	0	0	0
NKIRAS2	122.000000	383	349	0	0	0	0	0
DNAJC7	122.000000	383	349	0	0	0	0	0
LCOR	121.666667	451	279	0	0	0	0	0
NIBAN2	121.500000	443	286	0	0	0	0	0
PER1	121.166667	428	299	0	0	0	0	0
NFE2L1	121.000000	389	337	0	0	0	0	0
ZNF181	120.500000	389	334	0	0	0	0	0
RERG	120.333333	368	354	0	0	0	0	0
ARID2	120.000000	0	0	322	398	0	0	0
MERTK	119.500000	394	323	0	0	0	0	0
PIGO	119.333333	334	382	0	0	0	0	0
PEPD	119.000000	381	333	0	0	0	0	0
MED17	119.000000	343	371	0	0	0	0	0
POLR1D	118.666667	414	298	0	0	0	0	0
LNX2	118.666667	414	298	0	0	0	0	0
SRSF6	118.500000	452	259	0	0	0	0	0
MFSD5	118.500000	322	389	0	0	0	0	0
TRIM44	118.333333	226	255	229	0	0	0	0
SLC25A45	118.333333	424	286	0	0	0	0	0
C6orf47	118.166667	505	204	0	0	0	0	0
ARMC5	118.166667	448	261	0	0	0	0	0
SYNGR2	117.666667	0	0	358	348	0	0	0
SLC22A4	117.166667	341	362	0	0	0	0	0
DKK1	117.166667	394	309	0	0	0	0	0
CBFA2T2	117.000000	400	302	0	0	0	0	0
RNF227	116.666667	336	238	126	0	0	0	0
TTC21A	116.000000	416	280	0	0	0	0	0
GORASP1	116.000000	416	280	0	0	0	0	0
