Target_genes	SOX2|Average	SRX130061|BJ	SRX5286338|ES_cells	SRX5286339|ES_cells	SRX5286342|ES_cells	SRX5286343|ES_cells	SRX10407083|Esophageal_squamous_carcinoma_cell_line	SRX10407084|Esophageal_squamous_carcinoma_cell_line	SRX11904439|H29	SRX11904440|H29	SRX6852812|HCC2814	SRX277137|HCC95	SRX6852810|HCC95	SRX3205373|Head_and_neck_squamous_cell_carcinoma_	SRX702105|hESC_derived_mesendodermal_cells	SRX702106|hESC_derived_mesendodermal_cells	SRX702108|hESC_derived_mesendodermal_cells	SRX1047416|hESC_derived_neural_cells	SRX11919277|hESC_derived_neuromesodermal_cells	SRX011616|hESC_H1	SRX1047413|hESC_H9	SRX277140|hESC_H9	SRX6101128|hESC_H9	SRX6101129|hESC_H9	SRX266860|hESC_HUES64	SRX266861|hESC_HUES64	SRX702107|hESC_HUES64	SRX702109|hESC_HUES64	SRX20532164|hESC_HUES8	SRX20532165|hESC_HUES8	SRX5286340|hESC_WIBR2	SRX5286341|hESC_WIBR2	SRX5286344|hESC_WIBR2	SRX10101684|hESC_WIBR3	SRX10101685|hESC_WIBR3	SRX8026053|hESC_WIBR3	SRX8026055|hESC_WIBR3	SRX968908|iPSC_derived_neural_cells	SRX968909|iPSC_derived_neural_cells	SRX968910|iPSC_derived_neural_cells	SRX968911|iPSC_derived_neural_cells	SRX968912|iPSC_derived_neural_cells	SRX1813586|iPS_cells	SRX1813587|iPS_cells	SRX20140858|iPS_cells	SRX20140859|iPS_cells	SRX512370|iPS_cells	SRX6852811|KNS-62	SRX10035162|KYSE-140	SRX10407085|KYSE-70	SRX277131|KYSE-70	SRX6852808|LK-2	SRX6852813|LK-2	SRX6852814|LK-2	SRX026880|LN-229	SRX359955|LoVo	ERX2260038|Lung_cancer	ERX2260040|Lung_cancer	ERX2260044|Lung_cancer	ERX2260046|Lung_cancer	SRX2731713|Lung_cancer_cell_line	SRX6750797|MDA-MB-231	SRX6750798|MDA-MB-231	SRX1813580|MRC-5	SRX1813581|MRC-5	SRX1813582|MRC-5	SRX1813583|MRC-5	SRX1813584|MRC-5	SRX1813585|MRC-5	SRX2732210|MRC-5	SRX2732211|MRC-5	SRX5771664|N2102Ep	SRX5771666|N2102Ep	SRX5771668|N2102Ep	SRX11904443|NCI-H1836	SRX11904444|NCI-H1836	SRX6852809|NCI-H520	SRX11904441|NCI-H82	SRX11904442|NCI-H82	SRX10445285|Neural_crest_cells	SRX10445293|Neural_crest_cells	SRX10445303|Neural_crest_cells	SRX10445312|Neural_crest_cells	SRX20140860|Neural_progenitor_cells	SRX20140861|Neural_progenitor_cells	SRX20140862|Neural_progenitor_cells	SRX20140890|Neural_progenitor_cells	SRX20140891|Neural_progenitor_cells	SRX20140892|Neural_progenitor_cells	SRX5716451|Neural_progenitor_cells	SRX5716452|Neural_progenitor_cells	SRX5716453|Neural_progenitor_cells	SRX330107|ReN-VM	SRX330108|ReN-VM	SRX3367070|TE-5	SRX277134|T.T	STRING
NDUFB5	168.042105	0	0	0	0	0	706	995	0	0	444	202	624	562	0	0	0	1137	0	0	614	0	150	91	0	0	0	0	601	801	0	157	236	0	0	0	0	131	0	0	132	229	0	0	0	0	1185	198	871	1651	1420	171	664	662	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	156	114	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	123	0	0	451	0
MRPL47	168.042105	0	0	0	0	0	706	995	0	0	444	202	624	562	0	0	0	1137	0	0	614	0	150	91	0	0	0	0	601	801	0	157	236	0	0	0	0	131	0	0	132	229	0	0	0	0	1185	198	871	1651	1420	171	664	662	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	156	114	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	123	0	0	451	0
HMGB1	160.442105	0	0	0	0	0	513	455	0	0	0	0	378	436	182	0	0	1829	0	0	1636	0	0	120	153	194	0	0	825	1286	0	131	373	0	0	0	0	0	202	0	0	211	0	0	0	0	1148	0	663	658	350	0	624	448	0	0	0	0	0	0	0	117	175	0	0	0	0	0	0	0	0	201	248	220	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	335	0	153	240	0	0	551	0
PTMA	148.652632	0	0	0	75	0	608	518	0	0	0	87	397	588	0	0	0	785	126	0	720	0	177	242	0	0	0	0	804	1195	0	172	370	0	0	0	188	105	119	0	116	256	0	0	0	0	652	107	409	455	274	289	1168	1065	0	0	0	0	0	0	0	159	126	0	0	0	0	0	0	0	0	136	173	158	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	295	0	265	121	0	0	443	0
NRG1	147.315789	145	112	238	0	0	0	0	0	0	0	0	0	0	197	0	0	404	851	305	514	0	708	1547	0	204	0	0	381	592	0	1018	605	382	0	311	199	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	108	0	0	0	0	0	0	0	0	97	116	0	0	0	0	0	0	0	0	1276	1276	1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC9	145.863158	0	0	0	0	0	189	261	0	0	153	0	200	200	125	0	0	1807	290	0	1359	0	180	607	0	181	0	0	491	894	0	179	379	0	0	0	190	0	290	133	174	287	0	0	0	0	780	247	758	215	311	0	516	274	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	342	552	732	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	198	0	0	207	0	0	0	0
SRRM4	128.778947	0	0	132	213	133	0	0	0	0	0	0	0	0	142	0	0	520	617	0	917	137	192	678	200	148	0	0	1492	1600	0	222	606	0	305	135	333	0	157	0	115	251	0	0	0	0	1502	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	407	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBI1	124.010526	0	0	0	0	0	0	0	0	0	0	0	0	81	137	0	0	0	409	185	1314	0	613	1559	222	236	0	0	704	1460	0	168	380	193	419	163	343	0	0	0	0	0	0	0	0	0	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	104	0	0	0	0	0	0	0	0	501	595	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE1	122.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	958	114	582	0	509	1220	0	249	0	0	910	1257	0	451	486	159	196	247	213	0	0	0	0	0	0	0	0	0	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	70	0	0	0	0	0	0	0	0	577	997	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUZ	121.294737	0	0	0	0	0	642	672	0	0	240	138	376	174	0	0	0	977	0	0	754	0	88	218	0	0	0	0	335	573	0	0	284	0	132	0	0	0	185	118	212	289	0	0	0	0	877	0	583	644	600	200	626	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	121	0	0	500	0
SNRPN	118.747368	0	0	232	153	140	0	152	0	0	0	0	0	0	134	0	0	535	493	0	670	0	362	937	0	0	0	0	705	1111	0	504	301	0	223	0	147	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	186	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	856	1181	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	114	0	0	0	0	0	0	0
GRK6	114.315789	0	0	0	0	0	297	330	0	0	0	0	454	352	117	0	0	1260	0	0	742	0	137	360	0	0	0	0	403	707	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	592	0	768	543	308	0	830	492	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	172	318	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	562	0	302	0	0	0	203	0
FLAD1	114.105263	0	284	301	102	0	0	132	0	0	0	0	0	0	185	0	0	230	0	167	207	0	474	1019	154	165	0	145	187	308	0	1177	588	197	0	260	0	0	0	0	0	0	0	0	0	0	1122	0	127	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	993	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0
NOTCH1	112.368421	0	0	0	0	0	477	284	0	0	202	0	293	742	0	0	0	435	152	0	338	0	310	647	0	0	0	0	427	605	0	0	146	0	0	0	0	0	139	0	210	164	0	0	0	0	582	0	293	472	551	205	1123	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	693	0
PLPP2	110.873684	0	0	0	0	0	547	698	0	0	0	0	316	271	74	0	0	0	757	0	971	0	0	0	0	0	0	0	1010	882	0	0	250	0	306	0	252	0	0	0	0	0	0	0	0	0	769	224	312	0	0	126	1189	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	259	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0
IFRD1	110.052632	0	0	0	135	0	251	287	0	0	0	0	221	222	175	0	0	454	355	0	874	0	280	773	0	0	0	0	283	318	0	290	380	0	256	187	187	0	0	0	0	0	0	0	0	0	687	0	463	298	468	169	709	441	0	0	0	0	0	0	0	84	76	0	0	0	0	0	0	0	0	180	253	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0
DDX17	107.810526	0	0	0	93	73	329	727	0	0	0	93	274	390	0	0	0	947	0	119	721	0	0	135	0	0	0	0	692	999	0	0	291	0	0	0	183	0	208	0	225	181	0	0	0	0	955	0	373	487	300	0	452	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	146	0	0	244	0
GSN	105.768421	0	0	110	0	0	91	156	0	0	0	0	125	404	0	0	0	1217	788	160	393	0	471	996	0	148	0	0	0	151	0	337	0	0	149	0	195	0	0	0	0	0	0	0	0	0	217	0	285	114	162	163	614	166	0	0	0	0	0	0	0	102	120	0	0	0	0	0	0	0	0	416	714	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	132	0
MED12	103.568421	0	180	397	158	138	0	0	0	0	0	0	0	0	104	0	0	145	288	159	204	0	883	1666	0	186	0	0	0	183	0	1162	201	287	0	384	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	1005	1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HESX1	102.442105	0	0	189	95	70	0	0	0	0	0	0	0	0	281	0	151	0	738	0	712	0	120	414	196	209	173	0	348	655	0	442	689	0	162	0	237	0	0	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	127	0	0	0	0	0	0	0	0	732	990	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV1	100.357895	0	0	0	0	0	139	95	0	0	0	0	265	166	0	0	0	653	234	0	461	0	112	525	0	0	0	0	318	546	0	0	141	0	0	0	112	0	0	0	0	0	0	0	0	0	305	0	820	133	163	86	390	372	0	0	0	0	0	0	0	88	79	0	0	0	0	0	0	0	0	932	958	938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	206	0
TDGF1	99.189474	0	88	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	486	632	0	374	920	0	0	0	0	371	491	0	703	271	185	0	167	0	0	0	0	0	0	0	0	0	0	771	0	204	321	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	880	1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTX	98.336842	0	172	0	503	365	0	0	0	0	0	0	0	0	244	0	0	0	1989	0	130	0	146	467	0	0	0	0	267	254	0	1033	414	0	0	258	187	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676	984	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMEPA1	98.084211	0	0	0	0	0	0	337	0	0	0	74	147	187	0	0	0	916	752	0	414	0	431	934	0	0	0	0	589	541	0	187	300	0	174	0	123	0	0	0	0	0	0	0	0	0	667	0	130	99	169	0	422	164	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	329	456	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0
NADK	97.989474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	434	0	675	0	449	1321	0	0	0	0	857	1024	0	0	174	0	141	0	142	0	0	0	0	0	0	0	0	0	1035	0	0	0	0	0	418	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	636	671	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD9	94.884211	0	0	141	95	0	0	0	0	0	0	0	0	102	220	0	0	166	1211	0	778	0	154	222	0	0	0	0	438	742	0	491	478	0	0	0	115	0	0	0	0	0	0	0	0	0	983	0	0	0	0	0	126	0	0	0	0	0	0	0	0	106	165	0	0	0	0	0	0	0	0	486	821	974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPD	94.884211	0	0	141	95	0	0	0	0	0	0	0	0	102	220	0	0	166	1211	0	778	0	154	222	0	0	0	0	438	742	0	491	478	0	0	0	115	0	0	0	0	0	0	0	0	0	983	0	0	0	0	0	126	0	0	0	0	0	0	0	0	106	165	0	0	0	0	0	0	0	0	486	821	974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC8	93.042105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2494	241	0	565	0	0	0	0	0	0	0	0	0	0	542	210	0	0	0	168	0	0	0	0	0	0	0	0	0	197	0	163	0	0	0	888	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	1035	1086	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
ZNF343	92.147368	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	0	155	0	611	1837	0	121	0	0	0	262	0	309	390	141	159	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	81	0	0	0	0	0	0	0	0	737	1038	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF3	91.852632	0	0	0	99	0	0	170	0	0	0	0	0	127	0	0	0	929	227	0	566	0	150	627	183	0	0	199	455	575	0	0	369	0	0	0	0	0	0	0	147	0	0	0	0	0	405	0	511	0	268	333	1226	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0
FGD4	90.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1469	0	0	531	0	348	953	0	117	0	0	465	604	0	168	0	0	0	0	147	0	0	0	0	0	0	0	0	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	991	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0
ZSCAN2	90.568421	0	0	0	0	0	475	494	0	0	0	0	230	472	0	0	0	958	123	0	389	0	213	536	0	0	0	0	297	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	393	565	418	0	736	549	0	0	0	0	0	0	0	100	102	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	83	0	0	390	0
ARID2	89.073684	0	0	0	0	0	0	358	0	0	0	0	313	571	0	0	0	768	143	0	332	0	0	0	0	0	0	0	518	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	475	345	360	290	1340	665	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	139	152	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	326	0
CER1	88.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	2427	187	731	0	0	0	0	127	0	0	520	735	0	170	364	0	388	0	369	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	687	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF5A	88.747368	0	0	0	0	0	253	632	0	0	0	0	259	352	0	0	0	1136	0	0	957	0	0	0	0	139	0	0	506	377	0	0	361	0	0	0	0	0	0	0	0	155	0	0	0	0	524	0	448	821	324	0	431	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	313	0
ACO2	88.747368	0	0	0	0	0	253	632	0	0	0	0	259	352	0	0	0	1136	0	0	957	0	0	0	0	139	0	0	506	377	0	0	361	0	0	0	0	0	0	0	0	155	0	0	0	0	524	0	448	821	324	0	431	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	313	0
GADD45G	88.621053	0	0	0	0	0	0	168	0	0	0	0	410	195	0	0	0	1121	337	0	532	0	178	382	0	0	0	0	498	694	0	0	244	0	161	0	174	0	169	0	0	0	0	0	0	0	721	0	242	0	0	0	343	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	451	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0
IER5L	88.021053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	588	0	545	0	350	1088	0	133	0	0	632	952	0	0	0	0	198	0	216	0	0	0	0	0	0	0	0	0	1252	0	128	184	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	437	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0
DNMT3B	87.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2135	0	0	1283	0	0	0	0	0	0	0	0	0	0	0	822	0	231	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	733	1075	1148	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAGLB	87.252632	0	118	170	235	183	0	0	0	0	0	0	183	0	0	0	0	455	361	0	906	0	271	630	164	0	0	0	348	536	0	500	546	0	0	200	145	0	0	0	0	0	0	0	0	0	720	0	352	0	133	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	208	289	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNPY1	86.505263	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1219	562	158	725	0	0	0	145	241	262	0	724	729	0	0	0	0	198	0	336	0	0	145	0	222	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	520	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTRNR2L8	86.231579	680	160	0	210	324	215	0	0	0	0	277	188	446	0	0	0	0	0	237	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	177	0	170	0	0	0	0	0	0	83	108	121	0	0	0	0	547	0	0	0	0	0	147	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	342	0	0	188	0	0	0	777	799	769	0	0	437	110	0
LIN28B	84.715789	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	379	1390	0	834	70	0	0	138	0	0	0	562	617	0	0	0	0	226	0	274	0	130	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	1064	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
