Target_genes	KDM5B|Average	SRX3285563|C49R	SRX3285565|C70R	SRX3285588|C70R	SRX3285589|C70R	SRX3285613|C70R	SRX3285614|C70R	SRX3285576|FULR	SRX3285591|FULR	SRX3285592|FULR	SRX3285604|FULR	SRX3285605|FULR	SRX3285606|FULR	SRX3285608|FULR	SRX265432|HCC2157	SRX10475115|Hep_G2	SRX10475116|Hep_G2	SRX116461|hESC_H1	SRX116462|hESC_H1	SRX186653|hESC_H1	SRX3009990|hESC_H1	SRX3009991|hESC_H1	SRX116428|K-562	SRX116438|K-562	SRX116439|K-562	SRX186782|K-562	SRX055308|MCF-7	SRX055309|MCF-7	SRX055310|MCF-7	SRX055311|MCF-7	SRX055312|MCF-7	SRX265412|MCF-7	SRX265413|MCF-7	SRX265414|MCF-7	SRX3285561|MCF-7	SRX3285578|MCF-7	SRX3285580|MCF-7	SRX3285582|MCF-7	SRX3285584|MCF-7	SRX3285594|MCF-7	SRX3285595|MCF-7	SRX3285610|MCF-7	SRX3285611|MCF-7	SRX265430|MDA-MB-231	SRX265425|SUM_159PT	SRX265422|SUM_185PE	SRX265423|SUM_185PE	SRX265420|T-47D	SRX3285586|TAMR	SRX3285597|TAMR	SRX3285598|TAMR	SRX055303|U-937	SRX055304|U-937	SRX055305|U-937	SRX055306|U-937	STRING
AURKA	757.166667	1761	1391	211	364	493	1178	1239	292	803	1476	1087	1447	580	1251	176	680	0	0	0	0	0	0	196	0	155	232	198	93	131	0	1564	1495	1351	1850	617	1725	636	727	1630	1737	1934	1064	1562	457	395	1672	1599	1212	926	1018	0	282	0	0	0
ARL4A	755.500000	1388	923	292	584	644	779	1268	331	687	1462	865	1213	640	1463	125	353	0	0	0	0	0	0	1137	0	1030	0	0	0	0	0	1394	1470	1143	1033	925	1770	862	685	2083	2404	1777	849	1582	734	401	1213	1451	1630	1057	1150	0	0	0	0	0
CYB561	753.648148	1336	1142	343	567	729	785	1801	499	953	1311	1237	1625	919	1490	0	227	0	0	0	0	0	0	346	0	294	0	0	0	0	0	1151	1141	936	1119	1363	2066	1449	885	1929	2239	1632	805	1195	243	195	1177	1207	1834	1253	1274	0	0	0	0	0
ZBBX	750.629630	1345	731	265	642	689	958	1104	250	539	1196	518	825	378	484	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1713	2031	1787	1008	982	2521	1060	609	2715	2898	1942	799	1021	1411	612	1910	2022	1455	825	908	0	0	0	0	0
YARS1	742.111111	1629	1239	153	322	458	855	1090	159	690	1320	703	1153	371	1731	171	577	0	0	0	0	0	0	335	0	286	118	0	0	0	0	2027	2197	1852	1690	525	1391	399	553	1519	1204	1880	599	1922	1124	1238	1859	1671	1189	801	773	0	301	0	0	0
S100PBP	742.111111	1629	1239	153	322	458	855	1090	159	690	1320	703	1153	371	1731	171	577	0	0	0	0	0	0	335	0	286	118	0	0	0	0	2027	2197	1852	1690	525	1391	399	553	1519	1204	1880	599	1922	1124	1238	1859	1671	1189	801	773	0	301	0	0	0
FAM183A	742.074074	1119	1045	322	596	800	1094	1469	291	426	1520	528	1316	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2413	2447	2166	964	805	1987	969	717	1990	2426	1828	847	82	1054	261	2189	2133	1732	1068	1078	0	0	0	0	0
CFAP43	741.148148	1054	708	164	380	519	641	1261	237	513	1267	758	1135	311	1743	172	687	0	0	0	0	0	0	367	0	348	108	0	0	0	0	1956	2134	2020	866	616	1545	636	354	1594	2072	1448	373	2029	1307	849	2065	2071	1695	959	1060	0	0	0	0	0
VPS13D	739.981481	2016	1496	124	184	407	795	1093	0	596	1149	702	1134	458	1999	0	302	0	0	0	0	0	0	173	0	151	0	0	0	0	0	2404	2235	1878	1729	634	1443	828	720	1333	1139	1426	681	2139	1133	954	1983	1832	1373	514	802	0	0	0	0	0
PTCD1	731.314815	1646	1526	0	225	453	787	1174	271	574	1366	736	1268	466	1641	94	422	0	0	0	0	0	0	537	0	444	0	0	0	0	0	1939	1966	1722	1688	674	1445	562	666	967	1014	1622	654	1894	952	1148	1925	1931	1435	842	815	0	0	0	0	0
CPSF4	731.314815	1646	1526	0	225	453	787	1174	271	574	1366	736	1268	466	1641	94	422	0	0	0	0	0	0	537	0	444	0	0	0	0	0	1939	1966	1722	1688	674	1445	562	666	967	1014	1622	654	1894	952	1148	1925	1931	1435	842	815	0	0	0	0	0
FBXL13	731.185185	1059	826	272	541	423	886	1578	359	583	1384	680	1200	587	1111	130	412	0	0	0	0	0	0	699	0	601	0	0	0	0	0	1237	1535	1486	1169	1008	2146	1034	784	1926	2143	1641	750	1519	638	221	1343	1676	1757	994	1146	0	0	0	0	0
ARMC10	731.185185	1059	826	272	541	423	886	1578	359	583	1384	680	1200	587	1111	130	412	0	0	0	0	0	0	699	0	601	0	0	0	0	0	1237	1535	1486	1169	1008	2146	1034	784	1926	2143	1641	750	1519	638	221	1343	1676	1757	994	1146	0	0	0	0	0
ACOX3	724.425926	1209	528	210	306	312	577	783	161	393	944	433	729	303	1808	141	413	0	0	0	0	0	0	649	0	519	912	381	344	378	0	1742	2224	1933	710	639	1356	488	370	1579	1731	1280	665	2132	1287	958	2067	2022	1099	468	512	236	1065	123	0	0
DAGLA	718.833333	1020	893	294	410	618	647	1181	274	550	1434	676	1204	386	1826	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1718	2118	1341	946	965	1933	1019	544	2173	2239	1368	856	1946	1084	565	1625	1590	1762	715	725	0	0	0	0	0
SNX18	718.500000	1299	1050	102	237	352	518	879	228	531	1185	648	845	401	2001	0	424	0	0	0	0	0	0	636	0	507	0	0	0	0	0	2207	2182	1989	1248	477	1476	677	614	1400	1332	1548	612	1823	1788	1380	1893	1579	1359	640	732	0	0	0	0	0
TBC1D14	718.240741	1786	1312	0	199	464	611	1455	191	612	1165	764	1038	391	1498	0	287	0	0	0	0	0	0	419	0	279	204	182	139	0	0	1886	1782	1960	1752	604	1496	525	669	1002	1149	1498	555	1985	1007	720	1755	1732	1776	601	820	0	515	0	0	0
CEP112	693.018519	927	1001	375	562	610	856	1393	381	680	1440	899	1115	732	1166	90	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1416	1601	1375	856	874	1685	1079	714	2020	2007	1347	681	1546	661	289	1358	1468	1868	1022	976	0	0	0	0	0
KLHDC10	687.722222	1382	1127	136	286	493	779	1058	247	591	1150	826	979	262	1400	0	308	0	0	0	0	0	0	468	0	388	0	0	0	0	0	1777	1715	1649	1405	612	1659	607	628	1666	1718	1609	766	1670	788	810	1810	1722	1118	700	695	0	133	0	0	0
VPS28	685.925926	1543	1377	127	187	401	603	1319	257	635	1062	735	1182	435	1477	113	321	0	0	0	0	0	0	298	0	246	0	0	0	0	0	1669	1649	1522	1265	765	1715	798	702	1712	1876	1730	615	1477	567	594	1380	1385	1487	814	1000	0	0	0	0	0
ABI2	681.555556	1248	823	208	403	630	680	1334	277	579	1304	639	1036	473	975	128	458	0	0	0	0	0	0	120	0	101	0	0	0	0	0	1221	1438	1366	1107	1135	1792	1077	636	1706	2155	1458	825	1676	808	247	1762	1818	1566	853	742	0	0	0	0	0
POFUT2	677.703704	880	458	0	295	477	426	1516	278	673	786	505	851	253	1594	0	256	0	0	0	0	0	0	581	0	494	293	165	178	0	0	1265	1459	1391	960	1088	1880	1230	639	1707	1902	1247	511	1610	1470	740	1645	1447	1769	822	736	0	119	0	0	0
NPHP1	676.444444	1013	759	183	445	457	726	857	100	470	1025	490	588	388	1615	104	696	0	0	0	0	0	0	613	0	481	176	0	0	0	0	1497	1786	1933	787	602	1643	828	517	1933	1745	1443	600	1856	893	576	1739	2052	1332	755	825	0	0	0	0	0
WDR35	674.907407	946	476	301	434	449	783	1156	217	454	1017	453	1038	351	1376	409	930	0	0	0	0	0	0	102	0	80	0	0	0	0	0	1579	1818	1641	714	783	1795	661	493	1738	2121	1557	625	1700	920	652	1613	1995	1653	663	752	0	0	0	0	0
DPH1	673.314815	1521	1164	0	290	525	650	1155	0	882	1045	557	880	378	1526	0	291	0	0	0	0	0	0	292	0	221	401	124	195	0	0	1671	1704	1798	1543	345	1222	519	592	1222	1553	1692	655	1699	980	812	1873	1508	1156	555	781	0	382	0	0	0
TTC23L	671.518519	921	420	126	306	434	743	895	231	543	1090	490	908	389	1779	146	621	0	0	0	0	0	0	684	0	546	0	0	0	0	0	1226	1549	1612	697	667	1652	810	432	2242	2258	1490	668	1831	1175	638	1605	1710	1393	636	699	0	0	0	0	0
CCDC83	668.111111	1095	824	157	259	400	600	1060	194	426	976	622	864	481	1538	240	940	0	0	0	0	0	0	313	0	237	0	0	0	0	0	1688	1633	1623	1023	558	1506	667	491	1374	1779	1617	572	1946	1166	794	1857	1765	1429	576	788	0	0	0	0	0
EIF2B3	668.092593	1278	1060	0	0	254	499	729	136	557	1129	585	886	296	1682	223	762	0	0	0	0	0	0	896	0	763	0	0	0	0	0	2005	1895	1830	1553	361	1232	281	432	1404	1040	1403	539	1974	995	887	1990	1914	1034	543	842	0	188	0	0	0
FAM120B	666.888889	890	651	169	581	475	543	1423	329	492	1002	508	890	307	1220	296	803	0	0	0	0	0	0	1037	0	907	232	122	120	0	0	1379	1381	1442	761	1061	1826	936	736	1756	1946	1172	598	1406	246	127	1174	1624	1689	817	761	0	177	0	0	0
RASAL2	659.629630	1368	825	0	439	504	844	1146	305	745	1282	704	1308	460	994	134	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1115	1227	1744	1169	910	1495	839	672	1654	1797	1641	835	1677	287	383	1617	1856	1412	919	1030	0	0	0	0	0
PSMD6	656.351852	916	855	595	717	1006	1322	882	566	657	1135	785	632	384	380	174	609	0	0	0	0	0	0	249	0	239	1274	1061	1077	944	0	1118	1039	959	565	682	1034	601	584	1111	1436	1148	1136	1415	229	157	827	1378	926	736	1063	255	585	0	0	0
SPG21	653.981481	1057	576	169	395	561	530	1257	148	523	1143	646	956	452	1280	0	331	0	0	0	0	0	0	674	0	612	0	0	0	0	0	1377	1864	1668	1065	917	1460	695	562	1647	1989	1219	624	1894	721	243	1045	1703	1576	697	1039	0	0	0	0	0
PKIG	652.277778	1124	774	155	441	565	795	1065	307	492	1117	653	815	456	1890	278	781	0	0	0	0	0	0	98	0	99	0	0	0	0	0	1220	1533	1171	846	756	1620	1025	506	1875	2001	1580	840	1810	438	152	1318	1855	1419	618	735	0	0	0	0	0
NEK10	651.333333	645	644	269	435	412	846	1220	207	465	1350	566	1028	329	1758	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1869	2147	2172	806	678	1356	588	513	1961	1756	1127	477	2180	0	716	2318	0	1784	1065	1071	0	0	0	0	0
PTPN13	648.703704	756	477	140	374	363	550	1087	235	602	1025	433	872	212	1702	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1668	1795	1883	961	684	1821	578	433	1761	1940	1469	491	1892	1421	536	1821	1840	1521	736	839	0	0	0	0	0
SEMA4B	645.907407	1076	814	214	499	595	941	1197	189	522	972	651	970	425	1351	103	275	0	0	0	0	0	0	580	0	495	0	0	0	0	0	1352	1412	1443	862	643	1695	772	400	1925	2061	1574	841	1677	605	206	1141	1514	1491	724	672	0	0	0	0	0
DCLRE1B	645.388889	1448	999	0	180	544	843	1084	460	607	902	644	1061	413	1260	0	419	0	0	0	0	0	0	710	0	596	248	189	245	132	0	1303	1243	1049	1321	716	1525	566	690	1283	1375	1571	664	1778	766	476	1281	1779	1178	705	598	0	0	0	0	0
AP4B1	645.388889	1448	999	0	180	544	843	1084	460	607	902	644	1061	413	1260	0	419	0	0	0	0	0	0	710	0	596	248	189	245	132	0	1303	1243	1049	1321	716	1525	566	690	1283	1375	1571	664	1778	766	476	1281	1779	1178	705	598	0	0	0	0	0
PSMD3	642.203704	1319	897	0	0	367	557	733	107	378	790	499	677	251	2241	315	992	0	0	0	0	0	0	450	0	384	476	379	189	194	0	2100	2028	1960	901	315	1040	267	460	1086	878	1415	402	1876	1420	840	1938	1682	867	420	326	0	263	0	0	0
LRRC6	641.203704	908	666	218	462	511	1092	653	215	551	1372	751	834	361	1980	98	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408	1673	1757	575	475	1262	406	286	2022	2140	1412	797	1912	604	398	1597	2004	1083	841	809	0	0	0	0	0
RFC5	640.907407	520	279	0	163	281	366	1093	201	264	867	244	662	151	1650	162	543	0	0	0	0	0	0	828	0	698	251	246	234	130	0	1704	2288	2028	728	524	1484	569	444	1356	1463	815	555	2138	1302	802	1982	1874	1181	418	579	0	440	102	0	0
C1orf159	640.759259	838	544	0	319	340	414	1531	177	468	966	388	959	282	1953	0	175	0	0	0	0	0	0	123	131	0	0	0	0	0	0	1544	1839	1588	803	872	1868	783	630	1484	1868	1112	469	1945	1337	763	1850	1688	1441	540	468	0	101	0	0	0
HSDL1	637.925926	920	598	181	414	496	646	1356	322	333	857	521	738	341	1381	0	228	0	0	0	0	0	0	391	0	254	0	0	0	0	0	1148	1520	1596	640	998	1863	1212	700	1892	1929	1364	517	1820	1134	344	1398	1611	1421	748	616	0	0	0	0	0
DNAAF1	637.925926	920	598	181	414	496	646	1356	322	333	857	521	738	341	1381	0	228	0	0	0	0	0	0	391	0	254	0	0	0	0	0	1148	1520	1596	640	998	1863	1212	700	1892	1929	1364	517	1820	1134	344	1398	1611	1421	748	616	0	0	0	0	0
